faction_key,character_id,subtype_key,force_id,is_primary,world_x,world_y,logical_x,logical_y,start_region_key,nearest_land_region_key,nearest_land_distance,position_kind,binary_world_x,binary_world_y,binary_logical_x,binary_logical_y,binary_region_key,esf_offset,script_rule_indexes,stage
wh2_dlc09_skv_clan_rictus,96,wh2_dlc09_skv_tretch_craventail,53,1,555.8037719726562,407.2878112792969,832,528,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_crookback_mountain,0.0,land_raster_point,555.8037719726562,407.2878112792969,832,528,wh3_main_combi_region_crookback_mountain,4049940,[],human startup statically evaluated; runtime not observed
wh2_dlc09_tmb_exiles_of_nehek,108,wh2_dlc09_tmb_khatep,59,1,15.364767074584961,511.8096008300781,23,663,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_clarak_spire,0.0,land_raster_point,15.364767074584961,511.8096008300781,23,663,wh3_main_combi_region_clarak_spire,4318383,[],human startup statically evaluated; runtime not observed
wh2_dlc09_tmb_followers_of_nagash,110,wh2_dlc09_tmb_arkhan,60,1,298.61090087890625,233.3419952392578,447,302,wh3_main_combi_region_lashiek,wh3_main_combi_region_lashiek,0.0,land_raster_point,298.61090087890625,233.3419952392578,447,302,wh3_main_combi_region_lashiek,4361281,[],human startup statically evaluated; runtime not observed
wh2_dlc09_tmb_khemri,104,wh2_dlc09_tmb_settra,57,1,417.5208435058594,224.85682678222656,625,291,wh3_main_combi_region_khemri,wh3_main_combi_region_khemri,0.0,land_raster_point,417.5208435058594,224.85682678222656,625,291,wh3_main_combi_region_khemri,4232377,[],human startup statically evaluated; runtime not observed
wh2_dlc09_tmb_lybaras,106,wh2_dlc09_tmb_khalida,58,1,535.7627563476562,235.2704315185547,802,305,wh3_main_combi_region_lybaras,wh3_main_combi_region_lybaras,0.0,land_raster_point,535.7627563476562,235.2704315185547,802,305,wh3_main_combi_region_lybaras,4276112,[],human startup statically evaluated; runtime not observed
wh2_dlc11_cst_noctilus,114,wh2_dlc11_cst_noctilus,62,1,120.24600219726562,398.0312805175781,180,516,,wh3_main_combi_region_vauls_anvil_ulthuan,11.382557820524548,maritime_point_no_distinct_region,120.24600219726562,398.0312805175781,180,516,,4453235,[],human startup statically evaluated; runtime not observed
wh2_dlc11_cst_pirates_of_sartosa,118,wh2_dlc11_cst_aranessa,64,1,339.3609619140625,307.0086364746094,508,398,wh3_main_combi_region_luccini,wh3_main_combi_region_luccini,0.0,land_raster_point,339.3609619140625,307.0086364746094,508,398,wh3_main_combi_region_luccini,4542049,[],human startup statically evaluated; runtime not observed
wh2_dlc11_cst_the_drowned,116,wh2_dlc11_cst_cylostra,63,1,130.26651000976562,546.5216064453125,195,708,wh3_main_combi_region_the_twisted_glade,wh3_main_combi_region_the_twisted_glade,0.0,land_raster_point,130.26651000976562,546.5216064453125,195,708,wh3_main_combi_region_the_twisted_glade,4497344,[],human startup statically evaluated; runtime not observed
wh2_dlc11_cst_vampire_coast,112,wh2_dlc11_cst_harkon,61,1,188.38540649414062,207.5008087158203,282,269,wh3_main_combi_region_the_awakening,wh3_main_combi_region_the_awakening,0.0,land_raster_point,188.38540649414062,207.5008087158203,282,269,wh3_main_combi_region_the_awakening,4408076,[],human startup statically evaluated; runtime not observed
wh2_dlc11_def_the_blessed_dread,84,wh2_dlc11_def_lokhir,46,1,896.5007934570312,456.6560363769531,1342,592,wh3_main_combi_region_zhizhu,wh3_main_combi_region_zhizhu,0.0,land_raster_point,896.5007934570312,456.6560363769531,1342,592,wh3_main_combi_region_zhizhu,3821950,[],human startup statically evaluated; runtime not observed
wh2_dlc11_def_the_blessed_dread,85,wh2_main_def_black_ark_blessed_dread,47,0,911.8655395507812,459.3558654785156,1365,595,,wh3_main_combi_region_zhizhu,5.179629641286658,maritime_point_no_distinct_region,911.8655395507812,459.3558654785156,1365,595,,3822393,[],human startup statically evaluated; runtime not observed
wh2_dlc11_vmp_the_barrow_legion,156,wh_main_vmp_heinrich_kemmler,83,1,301.9510803222656,477.4832763671875,452,619,wh3_main_combi_region_blackstone_post,wh3_main_combi_region_blackstone_post,0.0,land_raster_point,301.9510803222656,477.4832763671875,452,619,wh3_main_combi_region_blackstone_post,5390306,[],human startup statically evaluated; runtime not observed
wh2_dlc12_lzd_cult_of_sotek,71,wh2_dlc12_lzd_tehenhauin,39,1,141.62307739257812,86.3943862915039,212,112,wh3_main_combi_region_kaiax,wh3_main_combi_region_kaiax,0.0,land_raster_point,141.62307739257812,86.3943862915039,212,112,wh3_main_combi_region_kaiax,3517507,[],human startup statically evaluated; runtime not observed
wh2_dlc13_emp_golden_order,121,wh_main_emp_balthasar_gelt,66,1,759.553955078125,348.2773742675781,1137,451,wh3_main_combi_region_temple_of_elemental_winds,wh3_main_combi_region_temple_of_elemental_winds,0.0,land_raster_point,759.553955078125,348.2773742675781,1137,451,wh3_main_combi_region_temple_of_elemental_winds,4636160,[],human startup statically evaluated; runtime not observed
wh2_dlc13_emp_the_huntmarshals_expedition,125,wh2_dlc13_emp_cha_markus_wulfhart,68,1,86.17630004882812,278.8533020019531,129,361,wh3_main_combi_region_temple_of_kara,wh3_main_combi_region_temple_of_kara,0.0,land_raster_point,86.17630004882812,278.8533020019531,129,361,wh3_main_combi_region_temple_of_kara,4721545,[],human startup statically evaluated; runtime not observed
wh2_dlc13_lzd_spirits_of_the_jungle,75,wh2_dlc13_lzd_nakai,41,1,876.4597778320312,284.6386413574219,1312,369,wh3_main_combi_region_tower_of_ashung,wh3_main_combi_region_tower_of_ashung,0.0,land_raster_point,876.4597778320312,284.6386413574219,1312,369,wh3_main_combi_region_tower_of_ashung,3606617,[],human startup statically evaluated; runtime not observed
wh2_dlc14_brt_chevaliers_de_lyonesse,201,wh2_dlc14_brt_repanse,105,1,325.3322448730469,258.7974548339844,487,335,wh3_main_combi_region_copher,wh3_main_combi_region_copher,0.0,land_raster_point,325.3322448730469,258.7974548339844,487,335,wh3_main_combi_region_copher,6346612,[],human startup statically evaluated; runtime not observed
wh2_dlc15_grn_bonerattlaz,146,wh_main_grn_azhag_the_slaughterer,78,1,529.7504272460938,534.1795654296875,793,692,wh3_main_combi_region_khazid_irkulaz,wh3_main_combi_region_khazid_irkulaz,0.0,land_raster_point,529.7504272460938,534.1795654296875,793,692,wh3_main_combi_region_khazid_irkulaz,5165041,[],human startup statically evaluated; runtime not observed
