table,field,type,meaning
campaign_army_starts,faction_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,character_id,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,subtype_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,force_id,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,is_primary,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,world_x,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,world_y,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,logical_x,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,logical_y,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,start_region_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,nearest_land_region_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,nearest_land_distance,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,position_kind,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,binary_world_x,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,binary_world_y,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,binary_logical_x,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,binary_logical_y,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,binary_region_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,esf_offset,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,script_rule_indexes,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_army_starts,stage,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_start_rules,rule_index,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_start_rules,rule_json,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_start_partner_overrides,faction_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_start_partner_overrides,partner_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_start_partner_overrides,world_x,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_start_partner_overrides,world_y,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_start_partner_overrides,logical_x,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_start_partner_overrides,logical_y,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
campaign_start_partner_overrides,start_region_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,faction_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,character_id,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,subtype_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,force_id,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,is_primary,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,world_x,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,world_y,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,logical_x,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,logical_y,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,start_region_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,nearest_land_region_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,nearest_land_distance,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,position_kind,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,binary_world_x,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,binary_world_y,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,binary_logical_x,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,binary_logical_y,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,binary_region_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,esf_offset,INTEGER,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,script_rule_indexes,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,stage,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,faction_name,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,capital_region_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,culture_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,subculture_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,province_key,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,centroid_x,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,centroid_y,REAL,"See starting_positions/README.md; blanks mean unavailable, never zero"
faction_army_start_reference,start_region_name,TEXT,"See starting_positions/README.md; blanks mean unavailable, never zero"
