game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,Occupied Imperial Palace,wh2_main_special_altdorf_imperial_palace_brt,Altdorf Landmark,wh2_main_special_altdorf_imperial_palace_brt,0,5,10000,6,0,false,,,,,10,,,,,true
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,City of Bronze,wh2_dlc15_special_ka_sabar_city_of_bronze,Ancient Foundries,wh2_dlc15_special_ka_sabar_city_of_bronze,0,2,4000,4,0,false,,,300,,,,,-10,,true
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,Flame of Asuryan,wh2_main_special_shrine_of_asuryan_1_other,Asuryan Worship,wh2_main_special_shrine_of_asuryan_other,0,1,2000,3,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,Training Field,wh_main_brt_barracks_1,Barracks,wh_main_BRETONNIA_barracks,0,1,750,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,Rally Field,wh_main_brt_barracks_2,Barracks,wh_main_BRETONNIA_barracks,1,2,1500,2,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,Barracks,wh_main_brt_barracks_3,Barracks,wh_main_BRETONNIA_barracks,2,3,2500,3,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,Royal Barracks,wh_main_brt_barracks_4,Barracks,wh_main_BRETONNIA_barracks,3,4,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,Occupied Bastion Gatehouse,wh3_main_special_settlement_bastion_other_1,Bastion,wh3_main_special_settlement_bastion_other,1,0,1000,3,0,false,,,,40,,,,,,true
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,Occupied Bastion Tower,wh3_main_special_settlement_bastion_other_2,Bastion,wh3_main_special_settlement_bastion_other,2,0,2000,4,0,false,,,,50,,,,,,true
warhammer_3,8.1.1,24237342,Bretonnia,bretonnia,wh_main_brt_bretonnia,wh_main_sc_brt_bretonnia,Bordeleaux Errant,wh_main_brt_bordeleaux,,Occupied Bastion Citadel,wh3_main_special_settlement_bastion_other_3,Bastion,wh3_main_special_settlement_bastion_other,3,0,4000,5,0,false,,,,60,,,,,,true
