game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,{{tr:building_culture_variants_name_wh2_main_special_hall_of_dragons}},wh3_dlc25_special_hall_of_dragons_dwf,{{tr:building_chains_chain_tooltip_wh2_main_special_hall_of_dragons}},wh3_dlc25_special_hall_of_dragons_dwf,0,4,8000,4,0,false,,,,,,res_animals,20,,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,Basic Airship Frame,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_1,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,0,0,0,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,Hardened Hull,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_2,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,1,0,2500,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,Rune Inscribed Frame,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_3,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,2,0,5000,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,Reinforced Airship Frame,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_4,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,3,0,7500,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,Rune-Etched Hull,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_5,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,4,0,10000,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,City of Bronze,wh2_dlc15_special_ka_sabar_city_of_bronze,Ancient Foundries,wh2_dlc15_special_ka_sabar_city_of_bronze,0,2,4000,4,0,false,,,300,,,,,-10,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,Compact Forge,wh3_dlc25_dwarf_spirit_of_grungni_artillery_workshop_1,Artillery Workshop,wh3_dlc25_dwf_spirit_of_grungni_artillery_workshop,0,1,4000,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,Streamlined Smelters,wh3_dlc25_dwarf_spirit_of_grungni_artillery_workshop_2,Artillery Workshop,wh3_dlc25_dwf_spirit_of_grungni_artillery_workshop,1,2,6000,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Masters of Innovation,wh3_dlc25_dwf_malakai,,Automated Foundry,wh3_dlc25_dwarf_spirit_of_grungni_artillery_workshop_3,Artillery Workshop,wh3_dlc25_dwf_spirit_of_grungni_artillery_workshop,2,3,8000,1,0,false,,,,,,,,,,false
