game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,{{tr:building_culture_variants_name_wh2_main_special_hall_of_dragons}},wh3_dlc25_special_hall_of_dragons_dwf,{{tr:building_chains_chain_tooltip_wh2_main_special_hall_of_dragons}},wh3_dlc25_special_hall_of_dragons_dwf,0,4,8000,4,0,false,,,,,,res_animals,20,,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Basic Airship Frame,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_1,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,0,0,0,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Hardened Hull,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_2,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,1,0,2500,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Rune Inscribed Frame,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_3,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,2,0,5000,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Reinforced Airship Frame,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_4,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,3,0,7500,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Rune-Etched Hull,wh3_dlc25_dwarf_spirit_of_grungni_airship_hull_5,Air Frame,wh3_dlc25_dwf_spirit_of_grungni_main_chain,4,0,10000,1,0,false,,,,10,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,City of Bronze,wh2_dlc15_special_ka_sabar_city_of_bronze,Ancient Foundries,wh2_dlc15_special_ka_sabar_city_of_bronze,0,2,4000,4,0,false,,,300,,,,,-10,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Compact Forge,wh3_dlc25_dwarf_spirit_of_grungni_artillery_workshop_1,Artillery Workshop,wh3_dlc25_dwf_spirit_of_grungni_artillery_workshop,0,1,4000,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Streamlined Smelters,wh3_dlc25_dwarf_spirit_of_grungni_artillery_workshop_2,Artillery Workshop,wh3_dlc25_dwf_spirit_of_grungni_artillery_workshop,1,2,6000,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Automated Foundry,wh3_dlc25_dwarf_spirit_of_grungni_artillery_workshop_3,Artillery Workshop,wh3_dlc25_dwf_spirit_of_grungni_artillery_workshop,2,3,8000,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Flame of Asuryan,wh2_main_special_shrine_of_asuryan_1_other,Asuryan Worship,wh2_main_special_shrine_of_asuryan_other,0,1,2000,3,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Sparring Chamber,wh_main_dwf_barracks_1,Barracks,wh_main_DWARFS_barracks,0,1,1000,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Bunks,wh3_dlc25_dwarf_spirit_of_grungni_barracks_1,Barracks,wh3_dlc25_dwf_spirit_of_grungni_barracks,0,0,2000,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Clan Barracks,wh_main_dwf_barracks_2,Barracks,wh_main_DWARFS_barracks,1,2,2000,2,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Billets,wh3_dlc25_dwarf_spirit_of_grungni_barracks_2,Barracks,wh3_dlc25_dwf_spirit_of_grungni_barracks,1,1,4000,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Mustering Hall,wh_main_dwf_barracks_3,Barracks,wh_main_DWARFS_barracks,2,3,3000,3,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Barracks,wh3_dlc25_dwarf_spirit_of_grungni_barracks_3,Barracks,wh3_dlc25_dwf_spirit_of_grungni_barracks,2,2,6000,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Occupied Bastion Gatehouse,wh3_main_special_settlement_bastion_other_1,Bastion,wh3_main_special_settlement_bastion_other,1,0,1000,3,0,false,,,,40,,,,,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Occupied Bastion Tower,wh3_main_special_settlement_bastion_other_2,Bastion,wh3_main_special_settlement_bastion_other,2,0,2000,4,0,false,,,,50,,,,,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Occupied Bastion Citadel,wh3_main_special_settlement_bastion_other_3,Bastion,wh3_main_special_settlement_bastion_other,3,0,4000,5,0,false,,,,60,,,,,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Occupied Bastion Stronghold,wh3_main_special_settlement_bastion_other_4,Bastion,wh3_main_special_settlement_bastion_other,4,0,8000,6,0,false,,,,70,,,,,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Occupied Bastion Fortress,wh3_main_special_settlement_bastion_other_5,Bastion,wh3_main_special_settlement_bastion_other,5,0,16000,7,0,false,,,,80,,,,,,true
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Beer Hall,wh3_dlc25_dwarf_spirit_of_grungni_beer_hall_1,Beer Taps,wh3_dlc25_dwf_spirit_of_grungni_beer_hall,0,0,1500,1,0,false,,,,,,res_beer,5,,-5,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Mess Hall,wh3_dlc25_dwarf_spirit_of_grungni_beer_hall_2,Beer Taps,wh3_dlc25_dwf_spirit_of_grungni_beer_hall,1,1,3000,1,0,false,,,,,,res_beer,10,,-10,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Air Distillery,wh3_dlc25_dwarf_spirit_of_grungni_beer_hall_3,Beer Taps,wh3_dlc25_dwf_spirit_of_grungni_beer_hall,2,3,5000,1,0,false,,,,,,res_beer,20,,-15,false
warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_dwf_dwarfs,wh_main_sc_dwf_dwarfs,Karaz-a-Karak,wh_main_dwf_dwarfs,,Morceaux Valley Orchards,wh_main_special_bordeleaux_vineyards_1,Bordeleaux Winemaking,wh_main_special_bordeleaux_vineyards,0,1,2000,2,0,false,,,,,3,res_rom_wine,42,,,true
