game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Altdorf (Hamlet),wh_main_special_settlement_altdorf_1_emp,Altdorf,wh_main_special_settlement_altdorf,1,0,1000,2,0,false,,,100,10,1,,,,,true
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Altdorf (Village),wh_main_special_settlement_altdorf_2_emp,Altdorf,wh_main_special_settlement_altdorf,2,0,2000,3,0,false,,,150,20,2,,,,,true
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Altdorf (Town),wh_main_special_settlement_altdorf_3_emp,Altdorf,wh_main_special_settlement_altdorf,3,0,4000,4,0,false,,,200,30,3,,,,,true
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Altdorf (City),wh_main_special_settlement_altdorf_4_emp,Altdorf,wh_main_special_settlement_altdorf,4,0,8000,5,0,false,,,250,40,4,,,,,true
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Altdorf (City-State),wh_main_special_settlement_altdorf_5_emp,Altdorf,wh_main_special_settlement_altdorf,5,0,16000,6,0,false,,,300,50,5,,,,,true
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Imperial Palace,wh2_main_special_altdorf_imperial_palace,Altdorf Landmark,wh2_main_special_altdorf_imperial_palace,0,5,10000,6,0,false,,,,,10,,,,,true
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,City of Bronze,wh2_dlc15_special_ka_sabar_city_of_bronze,Ancient Foundries,wh2_dlc15_special_ka_sabar_city_of_bronze,0,2,4000,4,0,false,,,300,,,,,-10,,true
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Flame of Asuryan,wh2_main_special_shrine_of_asuryan_1_other,Asuryan Worship,wh2_main_special_shrine_of_asuryan_other,0,1,2000,3,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Training Field,wh_main_emp_barracks_1,Barracks,wh_main_EMPIRE_barracks,0,1,750,1,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Rally Field,wh_main_emp_barracks_2,Barracks,wh_main_EMPIRE_barracks,1,2,1500,2,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Empire,empire,wh_main_emp_empire,wh_main_sc_emp_empire,Reikland,wh_main_emp_empire,,Barracks,wh_main_emp_barracks_3,Barracks,wh_main_EMPIRE_barracks,2,3,2500,3,0,false,,,,,,,,,,false
