game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,Terradon Hatchery,wh2_main_lzd_terradons_1_tiktakto,Aeries,wh2_main_lzd_terradons_tiktakto,0,2,1500,3,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,Ripperdactyl Hatchery,wh2_main_lzd_terradons_2_tiktakto,Aeries,wh2_main_lzd_terradons_tiktakto,1,3,2500,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,Altar of Enlightenment,wh2_dlc13_horde_lizardmen_skink_priest_1,Altar,wh2_dlc13_horde_lizardmen_skink_priest,0,2,6000,1,0,false,,,,1,,,,,,false
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,City of Bronze,wh2_dlc15_special_ka_sabar_city_of_bronze,Ancient Foundries,wh2_dlc15_special_ka_sabar_city_of_bronze,0,2,4000,4,0,false,,,300,,,,,-10,,true
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,Stone Marker,wh2_main_lzd_energy_1,Annex,wh2_main_lzd_energy_minor,0,2,1000,2,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,Lodestone,wh2_main_lzd_energy_2,Annex,wh2_main_lzd_energy_minor,1,3,1500,3,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,Training Hall,wh2_dlc13_horde_lizardmen_support_rrank_1,Arena,wh2_dlc13_horde_lizardmen_support_rrank,0,0,2000,1,0,false,,,,1,,,,,,false
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,Sacred Arena,wh2_dlc13_horde_lizardmen_support_rrank_2,Arena,wh2_dlc13_horde_lizardmen_support_rrank,1,2,6000,1,0,false,,,,2,,,,,,false
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,Flame of Asuryan,wh2_main_special_shrine_of_asuryan_1_other,Asuryan Worship,wh2_main_special_shrine_of_asuryan_other,0,1,2000,3,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_lzd_lizardmen,wh2_main_sc_lzd_lizardmen,Tlaqua,wh2_main_lzd_tlaqua,,Occupied Bastion Gatehouse,wh3_main_special_settlement_bastion_other_1,Bastion,wh3_main_special_settlement_bastion_other,1,0,1000,3,0,false,,,,40,,,,,,true
