game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Flame of Asuryan,wh2_main_special_shrine_of_asuryan_1_other,Asuryan Worship,wh2_main_special_shrine_of_asuryan_other,0,1,2000,3,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Occupied Bastion Gatehouse,wh3_main_special_settlement_bastion_other_1,Bastion,wh3_main_special_settlement_bastion_other,1,0,1000,3,0,false,,,,40,,,,,,true
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Occupied Bastion Tower,wh3_main_special_settlement_bastion_other_2,Bastion,wh3_main_special_settlement_bastion_other,2,0,2000,4,0,false,,,,50,,,,,,true
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Occupied Bastion Citadel,wh3_main_special_settlement_bastion_other_3,Bastion,wh3_main_special_settlement_bastion_other,3,0,4000,5,0,false,,,,60,,,,,,true
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Occupied Bastion Stronghold,wh3_main_special_settlement_bastion_other_4,Bastion,wh3_main_special_settlement_bastion_other,4,0,8000,6,0,false,,,,70,,,,,,true
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Occupied Bastion Fortress,wh3_main_special_settlement_bastion_other_5,Bastion,wh3_main_special_settlement_bastion_other,5,0,16000,7,0,false,,,,80,,,,,,true
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Carnivorous Compost,wh3_main_nur_9_1,Carnivorous Compost,wh3_main_nur_9,0,2,1500,2,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Detritus Pit,wh3_main_nur_9_2,Carnivorous Compost,wh3_main_nur_9,1,4,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Court of the Covenant,wh3_main_special_court_of_the_covenant_nur,Court of the Covenant,wh3_main_special_court_of_the_covenant_nur,0,5,10000,8,0,false,,,,,3,,,,,true
warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_nur_nurgle,wh3_main_sc_nur_nurgle,Tallymen of Pestilence,wh3_dlc25_nur_epidemius,,Pestilence Spreader,wh3_main_nur_cult_corruption_1,Cult Corruption,wh3_main_nur_cult_corruption_1,0,1,1000,2,0,false,,,,,,,,,,false
