game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Abandoned Sky-Titan Hold,wh3_main_special_abandoned_sky_titan_hold,Abandoned Sky-Titan Hold,wh3_main_special_abandoned_sky_titan_hold,0,3,6000,7,0,false,,,,5,2,,,,,true
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Gut Stone,wh3_main_ogr_camp_upkeep_1,Army Support,wh3_main_ogr_camp_upkeep,0,0,0,2,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Plate Store,wh3_main_ogr_camp_upkeep_2,Army Support,wh3_main_ogr_camp_upkeep,1,1,0,3,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Gut Henge,wh3_main_ogr_camp_upkeep_3,Army Support,wh3_main_ogr_camp_upkeep,2,3,0,5,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Flame of Asuryan,wh2_main_special_shrine_of_asuryan_1_other,Asuryan Worship,wh2_main_special_shrine_of_asuryan_other,0,1,2000,3,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Bull Pen,wh3_main_ogr_barracks_1,Barracks,wh3_main_ogr_barracks,0,2,1500,2,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Bull Pen,wh3_main_ogr_camp_barracks_1,Barracks,wh3_main_ogr_camp_barracks,0,1,0,2,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Weapon Pile,wh3_main_ogr_barracks_2,Barracks,wh3_main_ogr_barracks,1,3,3500,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Weapon Pile,wh3_main_ogr_camp_barracks_2,Barracks,wh3_main_ogr_camp_barracks,1,2,0,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Bestest Weapon Pile,wh3_main_ogr_camp_barracks_3,Barracks,wh3_main_ogr_camp_barracks,2,3,0,6,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Occupied Bastion Gatehouse,wh3_main_special_settlement_bastion_other_1,Bastion,wh3_main_special_settlement_bastion_other,1,0,1000,3,0,false,,,,40,,,,,,true
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Occupied Bastion Tower,wh3_main_special_settlement_bastion_other_2,Bastion,wh3_main_special_settlement_bastion_other,2,0,2000,4,0,false,,,,50,,,,,,true
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Occupied Bastion Citadel,wh3_main_special_settlement_bastion_other_3,Bastion,wh3_main_special_settlement_bastion_other,3,0,4000,5,0,false,,,,60,,,,,,true
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Occupied Bastion Stronghold,wh3_main_special_settlement_bastion_other_4,Bastion,wh3_main_special_settlement_bastion_other,4,0,8000,6,0,false,,,,70,,,,,,true
warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_ogr_ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Disciples of the Maw,wh3_main_ogr_disciples_of_the_maw,,Occupied Bastion Fortress,wh3_main_special_settlement_bastion_other_5,Bastion,wh3_main_special_settlement_bastion_other,5,0,16000,7,0,false,,,,80,,,,,,true
