game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,City of Bronze,wh2_dlc15_special_ka_sabar_city_of_bronze,Ancient Foundries,wh2_dlc15_special_ka_sabar_city_of_bronze,0,2,4000,4,0,false,,,300,,,,,-10,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Murder Holes,wh2_dlc12_under_empire_discovery_assassins_1,Assassination,wh2_dlc12_under_empire_discovery_assassins,0,1,1500,1,100,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Kill-Perches,wh2_dlc12_under_empire_discovery_assassins_2,Assassination,wh2_dlc12_under_empire_discovery_assassins,1,3,3500,3,200,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Hidden Lair,wh2_main_skv_assassins_1,Assassins,wh2_main_skv_assassins,0,2,1000,2,0,false,,,60,,,,,,,false
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Assassin's Hideout,wh2_main_skv_assassins_2,Assassins,wh2_main_skv_assassins,1,3,2000,3,0,false,,,70,,,,,,,false
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Den of Secrets,wh2_main_skv_assassins_3,Assassins,wh2_main_skv_assassins,2,4,3000,4,0,false,,,80,,,,,,,false
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Flame of Asuryan,wh2_main_special_shrine_of_asuryan_1_other,Asuryan Worship,wh2_main_special_shrine_of_asuryan_other,0,1,2000,3,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Occupied Bastion Gatehouse,wh3_main_special_settlement_bastion_other_1,Bastion,wh3_main_special_settlement_bastion_other,1,0,1000,3,0,false,,,,40,,,,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Occupied Bastion Tower,wh3_main_special_settlement_bastion_other_2,Bastion,wh3_main_special_settlement_bastion_other,2,0,2000,4,0,false,,,,50,,,,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Occupied Bastion Citadel,wh3_main_special_settlement_bastion_other_3,Bastion,wh3_main_special_settlement_bastion_other,3,0,4000,5,0,false,,,,60,,,,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Occupied Bastion Stronghold,wh3_main_special_settlement_bastion_other_4,Bastion,wh3_main_special_settlement_bastion_other,4,0,8000,6,0,false,,,,70,,,,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Occupied Bastion Fortress,wh3_main_special_settlement_bastion_other_5,Bastion,wh3_main_special_settlement_bastion_other,5,0,16000,7,0,false,,,,80,,,,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Morceaux Valley Orchards,wh_main_special_bordeleaux_vineyards_1,Bordeleaux Winemaking,wh_main_special_bordeleaux_vineyards,0,1,2000,2,0,false,,,,,3,res_rom_wine,42,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Morceaux Valley Vineyards,wh_main_special_bordeleaux_vineyards_2,Bordeleaux Winemaking,wh_main_special_bordeleaux_vineyards,1,2,4000,3,0,false,,,,,4,res_rom_wine,64,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Morceaux Valley Vintners,wh_main_special_bordeleaux_vineyards_3,Bordeleaux Winemaking,wh_main_special_bordeleaux_vineyards,2,3,6000,4,0,false,,,,,5,res_rom_wine,96,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Bordeleaux Wine Market,wh_main_special_bordeleaux_vineyards_4,Bordeleaux Winemaking,wh_main_special_bordeleaux_vineyards,3,4,8000,5,0,false,,,,,8,res_rom_wine,144,,,true
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Ratling Warrens,wh2_main_skv_farm_1,Breeding,wh2_main_skv_farm,0,1,250,1,0,false,,,80,20,,,,,,false
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Nest-Nursery,wh2_main_skv_farm_2,Breeding,wh2_main_skv_farm,1,2,500,2,0,false,,,120,30,,,,,,false
warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_skv_skaven,wh2_main_sc_skv_skaven,Clan Rictus,wh2_dlc09_skv_clan_rictus,,Breeding Pit,wh2_main_skv_farm_3,Breeding,wh2_main_skv_farm,2,3,1000,3,0,false,,,160,40,,,,,,false
