game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,City of Bronze,wh2_dlc15_special_ka_sabar_city_of_bronze_tmb,Ancient Foundries,wh2_dlc15_special_ka_sabar_city_of_bronze_tmb,0,2,4000,4,0,false,,,100,,,,,,,true
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,Occupied Bastion Gatehouse,wh3_main_special_settlement_bastion_other_1,Bastion,wh3_main_special_settlement_bastion_other,1,0,1000,3,0,false,,,,40,,,,,,true
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,Occupied Bastion Tower,wh3_main_special_settlement_bastion_other_2,Bastion,wh3_main_special_settlement_bastion_other,2,0,2000,4,0,false,,,,50,,,,,,true
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,Occupied Bastion Citadel,wh3_main_special_settlement_bastion_other_3,Bastion,wh3_main_special_settlement_bastion_other,3,0,4000,5,0,false,,,,60,,,,,,true
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,Occupied Bastion Stronghold,wh3_main_special_settlement_bastion_other_4,Bastion,wh3_main_special_settlement_bastion_other,4,0,8000,6,0,false,,,,70,,,,,,true
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,Occupied Bastion Fortress,wh3_main_special_settlement_bastion_other_5,Bastion,wh3_main_special_settlement_bastion_other,5,0,16000,7,0,false,,,,80,,,,,,true
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,Black Tower of Arkhan,wh2_dlc09_special_black_tower_of_arkhan_other,Black Tower,wh2_dlc09_special_black_tower_of_arkhan_other,0,4,8000,5,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,Morceaux Valley Orchards,wh_main_special_bordeleaux_vineyards_tmb_1,Bordeleaux Winemaking,wh_main_special_bordeleaux_vineyards_tmb,0,1,2000,2,0,false,,,,20,3,res_rom_wine,10,,,true
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,Morceaux Valley Vineyards,wh_main_special_bordeleaux_vineyards_tmb_2,Bordeleaux Winemaking,wh_main_special_bordeleaux_vineyards_tmb,1,2,4000,3,0,false,,,,30,4,res_rom_wine,20,,,true
warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_tmb_tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Khemri,wh2_dlc09_tmb_khemri,,Morceaux Valley Vintners,wh_main_special_bordeleaux_vineyards_tmb_3,Bordeleaux Winemaking,wh_main_special_bordeleaux_vineyards_tmb,2,3,6000,4,0,false,,,,40,5,res_rom_wine,30,,,true
