game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Ruined Altdorf,wh_main_special_settlement_altdorf_ruin_vmp,Altdorf,wh_main_special_settlement_altdorf_vampires,0,0,0,1,0,false,,,,,,,,,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Occupied Altdorf (Crumbling Hamlet),wh_main_special_settlement_altdorf_1_vmp,Altdorf,wh_main_special_settlement_altdorf_vampires,1,0,1000,2,0,false,,,250,10,,,,,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Occupied Altdorf (Corrupted Village),wh_main_special_settlement_altdorf_2_vmp,Altdorf,wh_main_special_settlement_altdorf_vampires,2,0,2000,3,0,false,,,375,20,,,,,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Occupied Altdorf (Shady Township),wh_main_special_settlement_altdorf_3_vmp,Altdorf,wh_main_special_settlement_altdorf_vampires,3,0,4000,4,0,false,,,500,30,,,,,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Occupied Altdorf (Accursed City),wh_main_special_settlement_altdorf_4_vmp,Altdorf,wh_main_special_settlement_altdorf_vampires,4,0,8000,5,0,false,,,625,40,,,,,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Occupied Altdorf (Dark Castle),wh_main_special_settlement_altdorf_5_vmp,Altdorf,wh_main_special_settlement_altdorf_vampires,5,0,16000,6,0,false,,,750,50,,,,,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Occupied Imperial Palace,wh2_main_special_altdorf_imperial_palace_vmp,Altdorf Landmark,wh2_main_special_altdorf_imperial_palace_vmp,0,5,10000,6,0,false,,,,,10,,,,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,City of Bronze,wh2_dlc15_special_ka_sabar_city_of_bronze,Ancient Foundries,wh2_dlc15_special_ka_sabar_city_of_bronze,0,2,4000,4,0,false,,,300,,,,,-10,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Lost Necropolis of Mourkain,wh2_dlc15_special_morgheim_necropolis_vmp,Ancient Ruins,wh2_dlc15_special_morgheim_necropolis_vmp,0,3,6000,4,0,false,,,500,,,,,,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Ruins of Mourkain,wh2_main_special_galbaraz_mourkain_vmp_1,Ancient Ruins,wh2_main_special_galbaraz_mourkain_vmp,0,3,6000,4,0,false,,,,,,,,,,true
warhammer_3,8.1.1,24237342,Vampire Counts,vampire_counts,wh_main_vmp_vampire_counts,wh_main_sc_vmp_vampire_counts,Sylvania,wh_main_vmp_schwartzhafen,,Ancient Armoury,wh_main_vmp_armoury_1,Armoury,wh_main_VAMPIRES_armoury,0,2,3000,3,0,false,,,,,,,,,,false
