game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Asrai Forge,wh_dlc05_wef_armoury_1,Armoury,wh_dlc05_wef_armoury,0,2,3000,5,0,false,,,,,,,,-5,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Asrai Armoury,wh_dlc05_wef_armoury_2,Armoury,wh_dlc05_wef_armoury,1,3,4000,6,0,false,,,,,,,,-10,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Flame of Asuryan,wh2_main_special_shrine_of_asuryan_1_other,Asuryan Worship,wh2_main_special_shrine_of_asuryan_other,0,1,2000,3,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Delliandra,wh_dlc05_wef_tree_delliandra_1,Athel Loren,wh_dlc05_wef_tree_delliandra,0,3,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Druthandor,wh_dlc05_wef_tree_druthandor_1,Athel Loren,wh_dlc05_wef_tree_druthandor,0,3,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Talrennic,wh_dlc05_wef_tree_talrennic_1,Athel Loren,wh_dlc05_wef_tree_talrennic,0,3,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Threllock,wh_dlc05_wef_tree_threllock_1,Athel Loren,wh_dlc05_wef_tree_threllock,0,3,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Overgrown Temple of Isha,wh2_main_special_everqueen_court_wef,Avelorn Landmark,wh2_main_special_everqueen_court_wef,0,3,6000,5,0,false,,,,,,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Occupied Bastion Gatehouse,wh3_main_special_settlement_bastion_other_1,Bastion,wh3_main_special_settlement_bastion_other,1,0,1000,3,0,false,,,,40,,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Wargrove of Woe,wh2_dlc16_wef_drycha,,Occupied Bastion Tower,wh3_main_special_settlement_bastion_other_2,Bastion,wh3_main_special_settlement_bastion_other,2,0,2000,4,0,false,,,,50,,,,,,true
