game,patch,steam_build_id,race,race_slug,culture_key,subculture_key,faction_name,faction_key,campaign_key,building_name,building_key,building_chain_name,building_chain_key,building_level,settlement_tier_requirement,construction_cost,construction_turns,building_upkeep,only_in_capital,resource_requirement_key,required_building_key,income,growth,control,trade_resource_key,trade_resource_quantity,recruitment_cost_modifier,upkeep_modifier,is_unique
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Asrai Forge,wh_dlc05_wef_armoury_1,Armoury,wh_dlc05_wef_armoury,0,2,3000,5,0,false,,,,,,,,-5,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Asrai Armoury,wh_dlc05_wef_armoury_2,Armoury,wh_dlc05_wef_armoury,1,3,4000,6,0,false,,,,,,,,-10,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Flame of Asuryan,wh2_main_special_shrine_of_asuryan_1_other,Asuryan Worship,wh2_main_special_shrine_of_asuryan_other,0,1,2000,3,0,false,,,,,5,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Delliandra,wh_dlc05_wef_tree_delliandra_1,Athel Loren,wh_dlc05_wef_tree_delliandra,0,3,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Druthandor,wh_dlc05_wef_tree_druthandor_1,Athel Loren,wh_dlc05_wef_tree_druthandor,0,3,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Talrennic,wh_dlc05_wef_tree_talrennic_1,Athel Loren,wh_dlc05_wef_tree_talrennic,0,3,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Threllock,wh_dlc05_wef_tree_threllock_1,Athel Loren,wh_dlc05_wef_tree_threllock,0,3,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Temple of Isha,wh2_main_special_everqueen_court_wef,Avelorn Landmark,wh2_main_special_everqueen_court_wef,0,3,6000,5,0,false,,,,,,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Occupied Bastion Gatehouse,wh3_main_special_settlement_bastion_other_1,Bastion,wh3_main_special_settlement_bastion_other,1,0,1000,3,0,false,,,,40,,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Occupied Bastion Tower,wh3_main_special_settlement_bastion_other_2,Bastion,wh3_main_special_settlement_bastion_other,2,0,2000,4,0,false,,,,50,,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Occupied Bastion Citadel,wh3_main_special_settlement_bastion_other_3,Bastion,wh3_main_special_settlement_bastion_other,3,0,4000,5,0,false,,,,60,,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Occupied Bastion Stronghold,wh3_main_special_settlement_bastion_other_4,Bastion,wh3_main_special_settlement_bastion_other,4,0,8000,6,0,false,,,,70,,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Occupied Bastion Fortress,wh3_main_special_settlement_bastion_other_5,Bastion,wh3_main_special_settlement_bastion_other,5,0,16000,7,0,false,,,,80,,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Muster Stone,wh_dlc05_wef_cavalry_1,Cavalry,wh_dlc05_wef_cavalry,0,2,2000,3,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Grove of the Horse,wh_dlc05_wef_cavalry_2,Cavalry,wh_dlc05_wef_cavalry,1,3,3000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Pastures of Skymark,wh_dlc05_wef_cavalry_3,Cavalry,wh_dlc05_wef_cavalry,2,4,5000,5,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Arboreal Paddock,wh_dlc05_wef_cavalry_4,Cavalry,wh_dlc05_wef_cavalry,3,5,10000,6,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Craftmen's Tree,wh_dlc05_wef_public_order_1,Crafting,wh_dlc05_wef_public_order,0,1,1500,1,0,false,,,300,5,2,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Sculptor's Cavern,wh_dlc05_wef_public_order_2,Crafting,wh_dlc05_wef_public_order,1,2,2000,2,0,false,,,400,10,3,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Artisan's Nexus,wh_dlc05_wef_public_order_3,Crafting,wh_dlc05_wef_public_order,2,3,2500,3,0,false,,,500,15,4,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Cinnabar Mining Pit,wh_dlc05_wef_resource_dyes_1,Dye Production,wh_dlc05_wef_resource_dyes,0,1,1000,3,0,false,,,50,,,res_dyes,20,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Verdant Heart of Laurelorn,wh2_main_special_salzenmund_laurelorn_wef_1,Elven Enclave,wh2_main_special_salzenmund_laurelorn_wef,0,3,6000,3,0,false,,,,,,,,,,true
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Sacred Grounds of Anath Raema,wh_dlc05_wef_temple_anath_raema_0,Elven Gods,wh_dlc05_wef_temple_anath_raema,0,2,3000,3,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Temple of Ereth Khial,wh_dlc05_wef_temple_ereth_khial_1,Elven Gods,wh_dlc05_wef_temple_ereth_khial,0,3,4000,4,0,false,,,,,3,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Temple of Isha,wh_dlc05_wef_temple_isha_1,Elven Gods,wh_dlc05_wef_temple_isha,0,3,4000,4,0,false,,,,,,,,,,false
warhammer_3,8.1.1,24237342,Wood Elves,wood_elves,wh_dlc05_wef_wood_elves,wh_dlc05_sc_wef_wood_elves,Argwylon,wh_dlc05_wef_argwylon,,Temple of Kurnous,wh_dlc05_wef_temple_kurnous_1,Elven Gods,wh_dlc05_wef_temple_kurnous,0,3,4000,4,0,false,,,,,,,,,,false
