unit_key,unit_name,candidate_binding_count,retrieval_status
wh2_dlc09_skv_cha_tretch_craventail,Tretch Craventail,273,potential_relationships_only
wh2_dlc09_tmb_art_casket_of_souls_0,Casket of Souls,240,potential_relationships_only
wh2_dlc09_tmb_art_screaming_skull_catapult_0,Screaming Skull Catapults,234,potential_relationships_only
wh2_dlc09_tmb_cav_hexwraiths,Hexwraiths,253,potential_relationships_only
wh2_dlc09_tmb_cav_necropolis_knights_0,Necropolis Knights,263,potential_relationships_only
wh2_dlc09_tmb_cav_necropolis_knights_1,Necropolis Knights (Halberds),261,potential_relationships_only
wh2_dlc09_tmb_cav_necropolis_knights_ror,Venom Knights of Asaph (Necropolis Knights),257,potential_relationships_only
wh2_dlc09_tmb_cav_nehekhara_horsemen_0,Nehekharan Horsemen,261,potential_relationships_only
wh2_dlc09_tmb_cav_nehekhara_horsemen_ror,Storm Riders of Khsar (Nehekharan Horsemen),257,potential_relationships_only
wh2_dlc09_tmb_cav_skeleton_horsemen_0,Skeleton Horsemen,266,potential_relationships_only
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0,Skeleton Horse Archers,266,potential_relationships_only
wh2_dlc09_tmb_cha_liche_priest_death_0,Liche Priest (Death),268,potential_relationships_only
wh2_dlc09_tmb_cha_liche_priest_light_0,Liche Priest (Light),268,potential_relationships_only
wh2_dlc09_tmb_cha_liche_priest_nehekhara_0,Liche Priest (Nehekhara),268,potential_relationships_only
wh2_dlc09_tmb_cha_liche_priest_shadow_0,Liche Priest (Shadows),268,potential_relationships_only
wh2_dlc09_tmb_cha_necrotect_0,Necrotect,272,potential_relationships_only
wh2_dlc09_tmb_cha_tomb_prince_0,Tomb Prince,275,potential_relationships_only
wh2_dlc09_tmb_inf_crypt_ghouls,Crypt Ghouls,245,potential_relationships_only
wh2_dlc09_tmb_inf_nehekhara_warriors_0,Nehekharan Warriors,258,potential_relationships_only
wh2_dlc09_tmb_inf_nehekhara_warriors_ror,Usirian's Legion of the Netherworld (Nehekharan Warriors),257,potential_relationships_only
wh2_dlc09_tmb_inf_skeleton_archers_0,Skeleton Archers,264,potential_relationships_only
wh2_dlc09_tmb_inf_skeleton_archers_ror,Blessed Legion of Phakth (Skeleton Archers),278,potential_relationships_only
wh2_dlc09_tmb_inf_skeleton_spearmen_0,Skeleton Spearmen,260,potential_relationships_only
wh2_dlc09_tmb_inf_skeleton_spearmen_ror,King Nekhesh's Scorpion Legion (Skeleton Spearmen),269,potential_relationships_only
