record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_twa04_bst_great_bray_shaman_wild
node_set,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild
node,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild,,1,general,false,false,,,,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_01,wh2_dlc17_skill_bst_great_bray_shaman_wild_unique_tuskgor,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",mount_tuskgor_chariot.png,0,0,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_01
skill_level,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild,,1,general,false,false,,,,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_01,wh2_dlc17_skill_bst_great_bray_shaman_wild_unique_tuskgor,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",mount_tuskgor_chariot.png,0,0,0,0,true,11,1,1,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc17_skill_bst_great_bray_shaman_wild_unique_tuskgor|1|||
effect,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild,,1,general,false,false,,,,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_01,wh2_dlc17_skill_bst_great_bray_shaman_wild_unique_tuskgor,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",mount_tuskgor_chariot.png,0,0,0,0,true,11,1,1,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",,,,,,wh2_dlc17_effect_enable_mount_tuskgor_chariot,Mount: Tuskgor Chariot,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc17_skill_bst_great_bray_shaman_wild_unique_tuskgor|wh2_dlc17_effect_enable_mount_tuskgor_chariot|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild,,1,general,false,false,,,,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_01,wh2_dlc17_skill_bst_great_bray_shaman_wild_unique_tuskgor,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",mount_tuskgor_chariot.png,0,0,0,0,true,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_wild_tuskgor_chariot,Tuskgor Chariot,wh2_dlc17_anc_mount_tuskgor_chariot,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh2_dlc17_skill_bst_great_bray_shaman_wild_unique_tuskgor|wh2_dlc17_anc_mount_bst_cha_great_bray_shaman_wild_tuskgor_chariot|1
node,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild,,1,general,false,false,,,,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_11,wh2_dlc17_skill_bst_great_bray_shaman_unique_4,Dreads & Charms,"Impenetrably matted fur and grim trinkets make the Bray-Shamans more than just vile to behold, but incredibly hard to injure.",character_defence.png,0,1,0,0,true,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_11
skill_level,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild,,1,general,false,false,,,,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_11,wh2_dlc17_skill_bst_great_bray_shaman_unique_4,Dreads & Charms,"Impenetrably matted fur and grim trinkets make the Bray-Shamans more than just vile to behold, but incredibly hard to injure.",character_defence.png,0,1,0,0,true,4,1,1,Dreads & Charms,"Impenetrably matted fur and grim trinkets make the Bray-Shamans more than just vile to behold, but incredibly hard to injure.",4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc17_skill_bst_great_bray_shaman_unique_4|1|||
effect,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild,,1,general,false,false,,,,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_11,wh2_dlc17_skill_bst_great_bray_shaman_unique_4,Dreads & Charms,"Impenetrably matted fur and grim trinkets make the Bray-Shamans more than just vile to behold, but incredibly hard to injure.",character_defence.png,0,1,0,0,true,4,1,1,Dreads & Charms,"Impenetrably matted fur and grim trinkets make the Bray-Shamans more than just vile to behold, but incredibly hard to injure.",,,,,,wh_main_effect_character_stat_armour,Armour: %+n,,character_to_character_own,15,both,100,true,armour_character.png,armour_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc17_skill_bst_great_bray_shaman_unique_4|wh_main_effect_character_stat_armour|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Great Bray-Shaman (Wild),Great_Bray_Shaman_Wild,lord,wh2_twa04_bst_great_bray_shaman_wild,general,general,wh2_dlc13_bst_beastmen_invasion|wh2_dlc17_bst_beastmen_qb4|wh2_dlc17_bst_beastmen_qb5|wh2_dlc17_bst_beastmen_qb6|wh2_dlc17_bst_beastmen_qb7|wh2_dlc17_bst_malagor|wh2_dlc17_bst_taurox|wh2_main_bst_blooded_axe|wh2_main_bst_manblight|wh2_main_bst_ripper_horn|wh2_main_bst_shadowgor|wh2_main_bst_skrinderkin|wh2_main_bst_stone_horn|wh3_dlc27_bst_beastmen_dm|wh_dlc03_bst_beastmen|wh_dlc03_bst_beastmen_ally|wh_dlc03_bst_beastmen_chaos|wh_dlc03_bst_beastmen_qb1|wh_dlc03_bst_beastmen_qb2|wh_dlc03_bst_beastmen_qb3|wh_dlc03_bst_beastmen_rebels|wh_dlc03_bst_jagged_horn|wh_dlc03_bst_redhorn|wh_dlc05_bst_morghur_herd,false,false,true,true,true,true,wh_dlc03_lore_wild,bst_great_bray_shaman,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild,,1,general,false,false,,,,wh2_dlc17_skill_node_set_bst_great_bray_shaman_wild_unique_11,wh2_dlc17_skill_bst_great_bray_shaman_unique_4,Dreads & Charms,"Impenetrably matted fur and grim trinkets make the Bray-Shamans more than just vile to behold, but incredibly hard to injure.",character_defence.png,0,1,0,0,true,4,1,1,Dreads & Charms,"Impenetrably matted fur and grim trinkets make the Bray-Shamans more than just vile to behold, but incredibly hard to injure.",,,,,,wh_main_effect_character_stat_melee_defence,Melee defence: %+n,,character_to_character_own,5,both,150,true,defence_character.png,defence_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc17_skill_bst_great_bray_shaman_unique_4|wh_main_effect_character_stat_melee_defence|1|character_to_character_own
