record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh_dlc03_bst_khazrak
node_set,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,wh_dlc03_skill_node_set_bst_khazrak,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh_dlc03_skill_node_set_bst_khazrak
node,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,wh_dlc03_skill_node_set_bst_khazrak,,1,general,false,false,,,,wh_dlc03_skill_node_bst_khazrak_unique_04,wh_dlc03_skill_bst_lord_bestial_cunning,Bestial Cunning ,"Khazrak knows nature, he knows the world. He sees, knows and is prepared. Mankind cannot best Khazrak.",character_subterfuge.png,0,1,0,0,true,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc03_skill_node_bst_khazrak_unique_04
skill_level,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,wh_dlc03_skill_node_set_bst_khazrak,,1,general,false,false,,,,wh_dlc03_skill_node_bst_khazrak_unique_04,wh_dlc03_skill_bst_lord_bestial_cunning,Bestial Cunning ,"Khazrak knows nature, he knows the world. He sees, knows and is prepared. Mankind cannot best Khazrak.",character_subterfuge.png,0,1,0,0,true,4,1,1,Bestial Cunning ,"Khazrak knows nature, he knows the world. He sees, knows and is prepared. Mankind cannot best Khazrak.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh_dlc03_skill_bst_lord_bestial_cunning|1|||
effect,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,wh_dlc03_skill_node_set_bst_khazrak,,1,general,false,false,,,,wh_dlc03_skill_node_bst_khazrak_unique_04,wh_dlc03_skill_bst_lord_bestial_cunning,Bestial Cunning ,"Khazrak knows nature, he knows the world. He sees, knows and is prepared. Mankind cannot best Khazrak.",character_subterfuge.png,0,1,0,0,true,4,1,1,Bestial Cunning ,"Khazrak knows nature, he knows the world. He sees, knows and is prepared. Mankind cannot best Khazrak.",,,,,,wh_main_effect_force_army_campaign_ambush_attack_success_chance,Ambush success chance: %+n%,,general_to_force_own,8,campaign,101,true,icon_effects_ambush.png,icon_effects_ambush.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc03_skill_bst_lord_bestial_cunning|wh_main_effect_force_army_campaign_ambush_attack_success_chance|1|general_to_force_own
effect,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,wh_dlc03_skill_node_set_bst_khazrak,,1,general,false,false,,,,wh_dlc03_skill_node_bst_khazrak_unique_04,wh_dlc03_skill_bst_lord_bestial_cunning,Bestial Cunning ,"Khazrak knows nature, he knows the world. He sees, knows and is prepared. Mankind cannot best Khazrak.",character_subterfuge.png,0,1,0,0,true,4,1,1,Bestial Cunning ,"Khazrak knows nature, he knows the world. He sees, knows and is prepared. Mankind cannot best Khazrak.",,,,,,wh2_dlc09_effect_force_stat_melee_attack_during_ambushes,Melee attack: %+n during ambushes,,general_to_force_own,4,battle,431,true,melee.png,melee.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc03_skill_bst_lord_bestial_cunning|wh2_dlc09_effect_force_stat_melee_attack_during_ambushes|1|general_to_force_own
effect,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,wh_dlc03_skill_node_set_bst_khazrak,,1,general,false,false,,,,wh_dlc03_skill_node_bst_khazrak_unique_04,wh_dlc03_skill_bst_lord_bestial_cunning,Bestial Cunning ,"Khazrak knows nature, he knows the world. He sees, knows and is prepared. Mankind cannot best Khazrak.",character_subterfuge.png,0,1,0,0,true,4,1,1,Bestial Cunning ,"Khazrak knows nature, he knows the world. He sees, knows and is prepared. Mankind cannot best Khazrak.",,,,,,wh2_dlc17_effect_force_stat_battle_unit_melee_defence_during_ambushes,Melee defence: %+n during ambushes,,general_to_force_own,4,battle,66,true,defence.png,defence.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc03_skill_bst_lord_bestial_cunning|wh2_dlc17_effect_force_stat_battle_unit_melee_defence_during_ambushes|1|general_to_force_own
node,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,wh_dlc03_skill_node_set_bst_khazrak,,1,general,false,false,,,,wh_dlc03_skill_node_bst_khazrak_self_01,wh_dlc03_skill_bst_lord_primal_fury,Primeval Rage,"With a base howl, the beast radiates strength and power, a warning to his enemies that death is coming.",character_attack.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc03_skill_node_bst_khazrak_self_01
effect,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,wh_dlc03_skill_node_set_bst_khazrak,,1,general,false,false,,,,wh_dlc03_skill_node_bst_khazrak_self_01,wh_dlc03_skill_bst_lord_primal_fury,Primeval Rage,"With a base howl, the beast radiates strength and power, a warning to his enemies that death is coming.",character_attack.png,0,2,0,0,true,0,1,1,Primeval Rage,"With a base howl, the beast radiates strength and power, a warning to his enemies that death is coming.",,,,,,wh_main_effect_character_stat_melee_attack,Melee attack: %+n,,character_to_character_own,5,both,130,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc03_skill_bst_lord_primal_fury|wh_main_effect_character_stat_melee_attack|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Beastmen,beastmen,wh_dlc03_sc_bst_beastmen,Khazrak One-Eye,Khazrak_One_Eye,legendary_lord,wh_dlc03_bst_khazrak,general,general,wh2_dlc13_bst_beastmen_invasion|wh_dlc03_bst_beastmen,true,false,true,true,false,false,,legendary_lords,wh_dlc03_skill_node_set_bst_khazrak,,1,general,false,false,,,,wh_dlc03_skill_node_bst_khazrak_battle_01,wh_dlc03_skill_bst_lord_presence_of_morrslieb,Presence of Morrslieb,"The great green orb hangs ominously in the sky above, its followers driven to acts of madness and depravity.",battle_morale.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc03_skill_node_bst_khazrak_battle_01
