record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc23_chd_drazhoath
node_set,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,wh3_dlc23_skill_node_set_chd_drazhoath,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc23_skill_node_set_chd_drazhoath
node,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,wh3_dlc23_skill_node_set_chd_drazhoath,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_drazhoath_mount_bale_taurus_cinderbreath,wh3_dlc23_skill_chd_drazhoath_mount_bale_taurus_cinderbreath,Cinderbreath,"This mighty Bale Taurus carries the dread Sorcerer Drazhoath the Ashen, Lord of the Black Fortress, to battle, at the head of his twisted Legion of Azgorh, to bring fire and Ruin down upon the foe. ",mount_bale_taurus_cinderbreath.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc23_skill_node_chd_drazhoath_mount_bale_taurus_cinderbreath
skill_level,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,wh3_dlc23_skill_node_set_chd_drazhoath,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_drazhoath_mount_bale_taurus_cinderbreath,wh3_dlc23_skill_chd_drazhoath_mount_bale_taurus_cinderbreath,Cinderbreath,"This mighty Bale Taurus carries the dread Sorcerer Drazhoath the Ashen, Lord of the Black Fortress, to battle, at the head of his twisted Legion of Azgorh, to bring fire and Ruin down upon the foe. ",mount_bale_taurus_cinderbreath.png,0,0,0,0,true,0,1,1,Cinderbreath,"This mighty Bale Taurus carries the dread Sorcerer Drazhoath the Ashen, Lord of the Black Fortress, to battle, at the head of his twisted Legion of Azgorh, to bring fire and Ruin down upon the foe. ",10,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc23_skill_chd_drazhoath_mount_bale_taurus_cinderbreath|1|||
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,wh3_dlc23_skill_node_set_chd_drazhoath,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_drazhoath_mount_bale_taurus_cinderbreath,wh3_dlc23_skill_chd_drazhoath_mount_bale_taurus_cinderbreath,Cinderbreath,"This mighty Bale Taurus carries the dread Sorcerer Drazhoath the Ashen, Lord of the Black Fortress, to battle, at the head of his twisted Legion of Azgorh, to bring fire and Ruin down upon the foe. ",mount_bale_taurus_cinderbreath.png,0,0,0,0,true,0,1,1,Cinderbreath,"This mighty Bale Taurus carries the dread Sorcerer Drazhoath the Ashen, Lord of the Black Fortress, to battle, at the head of his twisted Legion of Azgorh, to bring fire and Ruin down upon the foe. ",,,,,,wh3_dlc23_effect_enable_mount_bale_taurus_cinderbreath,Mount: Cinderbreath,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_chd_drazhoath_mount_bale_taurus_cinderbreath|wh3_dlc23_effect_enable_mount_bale_taurus_cinderbreath|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,wh3_dlc23_skill_node_set_chd_drazhoath,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_drazhoath_mount_bale_taurus_cinderbreath,wh3_dlc23_skill_chd_drazhoath_mount_bale_taurus_cinderbreath,Cinderbreath,"This mighty Bale Taurus carries the dread Sorcerer Drazhoath the Ashen, Lord of the Black Fortress, to battle, at the head of his twisted Legion of Azgorh, to bring fire and Ruin down upon the foe. ",mount_bale_taurus_cinderbreath.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc23_anc_mount_chd_drazhoath_the_ashen_bale_taurus_cinderbreath,Cinderbreath,wh3_dlc23_anc_mount_bale_taurus_cinderbreath,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_dlc23_skill_chd_drazhoath_mount_bale_taurus_cinderbreath|wh3_dlc23_anc_mount_chd_drazhoath_the_ashen_bale_taurus_cinderbreath|1
node,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,wh3_dlc23_skill_node_set_chd_drazhoath,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_drazhoath_personal_0,wh3_dlc23_skill_chd_drazhoath_towering_heights,Towering Heights,Walls? I see only piles of sand crafted by children. Bring my brothers close enough and we shall take pleasure in fulfilling our bargain and topple them for you!,character_technology.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc23_skill_node_chd_drazhoath_personal_0
skill_level,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,wh3_dlc23_skill_node_set_chd_drazhoath,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_drazhoath_personal_0,wh3_dlc23_skill_chd_drazhoath_towering_heights,Towering Heights,Walls? I see only piles of sand crafted by children. Bring my brothers close enough and we shall take pleasure in fulfilling our bargain and topple them for you!,character_technology.png,0,1,0,0,true,0,1,1,Towering Heights,Walls? I see only piles of sand crafted by children. Bring my brothers close enough and we shall take pleasure in fulfilling our bargain and topple them for you!,11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc23_skill_chd_drazhoath_towering_heights|1|||
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,wh3_dlc23_skill_node_set_chd_drazhoath,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_drazhoath_personal_0,wh3_dlc23_skill_chd_drazhoath_towering_heights,Towering Heights,Walls? I see only piles of sand crafted by children. Bring my brothers close enough and we shall take pleasure in fulfilling our bargain and topple them for you!,character_technology.png,0,1,0,0,true,0,1,1,Towering Heights,Walls? I see only piles of sand crafted by children. Bring my brothers close enough and we shall take pleasure in fulfilling our bargain and topple them for you!,,,,,,wh_main_effect_building_construction_cost_mod,Construction cost: %+n% for all buildings,,character_to_region_own_provincewide,-15,campaign,101,false,treasury.png,treasury.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_chd_drazhoath_towering_heights|wh_main_effect_building_construction_cost_mod|1|character_to_region_own_provincewide
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Drazhoath the Ashen,Drazhoath_the_Ashen,legendary_lord,wh3_dlc23_chd_drazhoath,general,,,true,false,true,true,false,true,,legendary_lords,wh3_dlc23_skill_node_set_chd_drazhoath,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_drazhoath_personal_0,wh3_dlc23_skill_chd_drazhoath_towering_heights,Towering Heights,Walls? I see only piles of sand crafted by children. Bring my brothers close enough and we shall take pleasure in fulfilling our bargain and topple them for you!,character_technology.png,0,1,0,0,true,0,1,1,Towering Heights,Walls? I see only piles of sand crafted by children. Bring my brothers close enough and we shall take pleasure in fulfilling our bargain and topple them for you!,,,,,,wh_main_effect_technology_research_rate_mod,{{tr:effect_technology_research_points_description}}: %+n,,character_to_faction_unseen,10,campaign,61,true,technology.png,technology.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_chd_drazhoath_towering_heights|wh_main_effect_technology_research_rate_mod|1|character_to_faction_unseen
