record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc23_chd_infernal_castellan
node_set,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,wh3_dlc23_skill_node_set_chd_infernal_castellan,,1,engineer,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc23_skill_node_set_chd_infernal_castellan
node,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,wh3_dlc23_skill_node_set_chd_infernal_castellan,,1,engineer,false,false,,,,wh3_dlc23_skill_node_chd_infernal_castellan_general_3,wh3_dlc23_skill_chd_infernal_castellan_inspiring_inferno,Inspiring Inferno,"Feel the fire, then live it.",immune_to_psychology.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc23_skill_node_chd_infernal_castellan_general_3
skill_level,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,wh3_dlc23_skill_node_set_chd_infernal_castellan,,1,engineer,false,false,,,,wh3_dlc23_skill_node_chd_infernal_castellan_general_3,wh3_dlc23_skill_chd_infernal_castellan_inspiring_inferno,Inspiring Inferno,"Feel the fire, then live it.",immune_to_psychology.png,0,0,0,0,true,0,1,1,Inspiring Inferno,"Feel the fire, then live it.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc23_skill_chd_infernal_castellan_inspiring_inferno|1|||
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,wh3_dlc23_skill_node_set_chd_infernal_castellan,,1,engineer,false,false,,,,wh3_dlc23_skill_node_chd_infernal_castellan_general_3,wh3_dlc23_skill_chd_infernal_castellan_inspiring_inferno,Inspiring Inferno,"Feel the fire, then live it.",immune_to_psychology.png,0,0,0,0,true,0,1,1,Inspiring Inferno,"Feel the fire, then live it.",,,,,,wh3_dlc25_effect_attribute_enable_immune_to_psychology_chd_fireglavies,Attribute: Immune to Psychology for Infernal Guard (Fireglaives) units,,character_to_force_own_alt_text,1,battle,620,true,attribute_immune_to_psychology.png,attribute_immune_to_psychology.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_chd_infernal_castellan_inspiring_inferno|wh3_dlc25_effect_attribute_enable_immune_to_psychology_chd_fireglavies|1|character_to_force_own_alt_text
node,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,wh3_dlc23_skill_node_set_chd_infernal_castellan,,1,engineer,false,false,,,,wh3_dlc23_skill_node_chd_infernal_castellan_combat_0,wh3_dlc23_skill_chd_all_self_survivalist,Survivalist,The enemy's fear; their blood spilt in the mud – these are the things that sustain me.,character_health.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc23_skill_node_chd_infernal_castellan_combat_0
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,wh3_dlc23_skill_node_set_chd_infernal_castellan,,1,engineer,false,false,,,,wh3_dlc23_skill_node_chd_infernal_castellan_combat_0,wh3_dlc23_skill_chd_all_self_survivalist,Survivalist,The enemy's fear; their blood spilt in the mud – these are the things that sustain me.,character_health.png,0,2,0,0,true,0,1,1,Survivalist,The enemy's fear; their blood spilt in the mud – these are the things that sustain me.,,,,,,wh_main_effect_character_stat_unit_health,Hit points: %+n%,,character_to_character_own,5,both,90,true,health_character.png,health_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_chd_all_self_survivalist|wh_main_effect_character_stat_unit_health|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,wh3_dlc23_skill_node_set_chd_infernal_castellan,,1,engineer,false,false,,,,wh3_dlc23_skill_node_chd_infernal_castellan_short_range_1,wh3_dlc23_skill_chd_infernal_castellan_infernal_slugs,Infernal Slugs,"These are no ordinary bullets, for they have been forged in Hashut's roiling, molten fires, will go further and explode on contact.",character_ranged_damage.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc23_skill_node_chd_infernal_castellan_short_range_1
skill_level,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,wh3_dlc23_skill_node_set_chd_infernal_castellan,,1,engineer,false,false,,,,wh3_dlc23_skill_node_chd_infernal_castellan_short_range_1,wh3_dlc23_skill_chd_infernal_castellan_infernal_slugs,Infernal Slugs,"These are no ordinary bullets, for they have been forged in Hashut's roiling, molten fires, will go further and explode on contact.",character_ranged_damage.png,0,3,0,0,true,0,1,1,Infernal Slugs,"These are no ordinary bullets, for they have been forged in Hashut's roiling, molten fires, will go further and explode on contact.",4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc23_skill_chd_infernal_castellan_infernal_slugs|1|||
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Infernal Castellan,Infernal_Castellan,hero,wh3_dlc23_chd_infernal_castellan,engineer,engineer,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,false,,,wh3_dlc23_skill_node_set_chd_infernal_castellan,,1,engineer,false,false,,,,wh3_dlc23_skill_node_chd_infernal_castellan_short_range_1,wh3_dlc23_skill_chd_infernal_castellan_infernal_slugs,Infernal Slugs,"These are no ordinary bullets, for they have been forged in Hashut's roiling, molten fires, will go further and explode on contact.",character_ranged_damage.png,0,3,0,0,true,0,1,1,Infernal Slugs,"These are no ordinary bullets, for they have been forged in Hashut's roiling, molten fires, will go further and explode on contact.",,,,,,wh_main_effect_character_stat_range,Range: %+n%,,character_to_character_own,-50,both,230,true,accuracy_character.png,accuracy_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_chd_infernal_castellan_infernal_slugs|wh_main_effect_character_stat_range|1|character_to_character_own
