record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc23_chd_sorcerer_prophet_metal
node_set,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal
node,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_mount_great_taurus,wh3_dlc23_skill_chd_sorcerer_prophet_metal_mount_great_taurus,Great Taurus,"As creatures of flame and ash, the Red Bulls of Hashut cannot stray far from the Dark Lands, save for when the Winds of Magic – and Aqshy specifically – are at their strongest.",mount_great_taurus.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_mount_great_taurus
skill_level,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_mount_great_taurus,wh3_dlc23_skill_chd_sorcerer_prophet_metal_mount_great_taurus,Great Taurus,"As creatures of flame and ash, the Red Bulls of Hashut cannot stray far from the Dark Lands, save for when the Winds of Magic – and Aqshy specifically – are at their strongest.",mount_great_taurus.png,0,0,0,0,true,0,1,1,Great Taurus,"As creatures of flame and ash, the Red Bulls of Hashut cannot stray far from the Dark Lands, save for when the Winds of Magic – and Aqshy specifically – are at their strongest.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc23_skill_chd_sorcerer_prophet_metal_mount_great_taurus|1|||
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_mount_great_taurus,wh3_dlc23_skill_chd_sorcerer_prophet_metal_mount_great_taurus,Great Taurus,"As creatures of flame and ash, the Red Bulls of Hashut cannot stray far from the Dark Lands, save for when the Winds of Magic – and Aqshy specifically – are at their strongest.",mount_great_taurus.png,0,0,0,0,true,0,1,1,Great Taurus,"As creatures of flame and ash, the Red Bulls of Hashut cannot stray far from the Dark Lands, save for when the Winds of Magic – and Aqshy specifically – are at their strongest.",,,,,,wh3_dlc23_effect_enable_mount_great_taurus,Mount: Great Taurus,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_chd_sorcerer_prophet_metal_mount_great_taurus|wh3_dlc23_effect_enable_mount_great_taurus|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_mount_great_taurus,wh3_dlc23_skill_chd_sorcerer_prophet_metal_mount_great_taurus,Great Taurus,"As creatures of flame and ash, the Red Bulls of Hashut cannot stray far from the Dark Lands, save for when the Winds of Magic – and Aqshy specifically – are at their strongest.",mount_great_taurus.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc23_anc_mount_chd_sorcerer_prophet_metal_great_taurus,Great Taurus,wh3_dlc23_anc_mount_great_taurus,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_dlc23_skill_chd_sorcerer_prophet_metal_mount_great_taurus|wh3_dlc23_anc_mount_chd_sorcerer_prophet_metal_great_taurus|1
node,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_personal_0,wh3_dlc23_skill_chd_sorcerer_prophet_thirsty_for_magic,Thirst for Magic,"Though the price may well be terrible, and it surely is, the Dawi-Zharr's lust for power remains insatiable and unquenchable.",character_magic.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_personal_0
skill_level,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_personal_0,wh3_dlc23_skill_chd_sorcerer_prophet_thirsty_for_magic,Thirst for Magic,"Though the price may well be terrible, and it surely is, the Dawi-Zharr's lust for power remains insatiable and unquenchable.",character_magic.png,0,1,0,0,true,0,1,1,Thirst for Magic,"Though the price may well be terrible, and it surely is, the Dawi-Zharr's lust for power remains insatiable and unquenchable.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc23_skill_chd_sorcerer_prophet_thirsty_for_magic|1|||
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_personal_0,wh3_dlc23_skill_chd_sorcerer_prophet_thirsty_for_magic,Thirst for Magic,"Though the price may well be terrible, and it surely is, the Dawi-Zharr's lust for power remains insatiable and unquenchable.",character_magic.png,0,1,0,0,true,0,1,1,Thirst for Magic,"Though the price may well be terrible, and it surely is, the Dawi-Zharr's lust for power remains insatiable and unquenchable.",,,,,,wh_main_effect_character_mod_ancillary_drop,Magic item drop chance from battle: %+n%,,character_to_force_own_unseen,10,campaign,110,true,item_ability.png,item_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_chd_sorcerer_prophet_thirsty_for_magic|wh_main_effect_character_mod_ancillary_drop|1|character_to_force_own_unseen
effect,warhammer_3,8.1.1,24237342,Chaos Dwarfs,chaos_dwarfs,wh3_dlc23_sc_chd_chaos_dwarfs,Sorcerer-Prophet (Metal),Sorcerer_Prophet_Metal,lord,wh3_dlc23_chd_sorcerer_prophet_metal,general,general,wh3_dlc23_chd_astragoth|wh3_dlc23_chd_chaos_dwarfs|wh3_dlc23_chd_chaos_dwarfs_qb1|wh3_dlc23_chd_chaos_dwarfs_qb2|wh3_dlc23_chd_chaos_dwarfs_qb3|wh3_dlc23_chd_chaos_dwarfs_rebels|wh3_dlc23_chd_conclave|wh3_dlc23_chd_legion_of_azgorh|wh3_dlc23_chd_minor_faction|wh3_dlc23_chd_zhatan|wh3_dlc25_chd_chaos_dwarfs_invasion,false,false,true,true,true,true,wh_main_lore_metal,wh3_dlc23_chd_sorcerer_prophet,wh3_dlc23_skill_node_set_chd_sorcerer_prophet_metal,,1,general,false,false,,,,wh3_dlc23_skill_node_chd_sorcerer_prophet_metal_personal_0,wh3_dlc23_skill_chd_sorcerer_prophet_thirsty_for_magic,Thirst for Magic,"Though the price may well be terrible, and it surely is, the Dawi-Zharr's lust for power remains insatiable and unquenchable.",character_magic.png,0,1,0,0,true,0,1,1,Thirst for Magic,"Though the price may well be terrible, and it surely is, the Dawi-Zharr's lust for power remains insatiable and unquenchable.",,,,,,wh2_dlc12_effect_magic_cooldown_all_lores,Cooldown: %+n% to all spells,,character_to_character_own,-10,battle,60,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_chd_sorcerer_prophet_thirsty_for_magic|wh2_dlc12_effect_magic_cooldown_all_lores|1|character_to_character_own
