record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_main_dae_daemon_prince
node_set,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_dae_daemon_prince,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_main_skill_node_set_dae_daemon_prince
node,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_dae_daemon_prince,,1,general,false,false,,,,wh3_main_skill_node_dae_daemon_prince_glory_5,wh3_main_skill_dae_lord_campaign_undivided,Glorious Warfare,"As the corruption of Chaos seeps into the land like a sickness, the glory and strength of those forces pledged eternally to Ruin can only grow and grow.",campaign_undivided_points.png,0,1,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_dae_daemon_prince_glory_5
effect,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_dae_daemon_prince,,1,general,false,false,,,,wh3_main_skill_node_dae_daemon_prince_glory_5,wh3_main_skill_dae_lord_campaign_undivided,Glorious Warfare,"As the corruption of Chaos seeps into the land like a sickness, the glory and strength of those forces pledged eternally to Ruin can only grow and grow.",campaign_undivided_points.png,0,1,0,0,true,0,3,1,Glorious Warfare,"As the corruption of Chaos seeps into the land like a sickness, the glory and strength of those forces pledged eternally to Ruin can only grow and grow.",,,,,,wh3_main_effect_dae_all_points_percentage_multiplier_mod,All glory gained: %+n%,,character_to_faction_unseen,3,campaign,1,true,undivided_points.png,undivided_points.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_dae_lord_campaign_undivided|wh3_main_effect_dae_all_points_percentage_multiplier_mod|1|character_to_faction_unseen
effect,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_dae_daemon_prince,,1,general,false,false,,,,wh3_main_skill_node_dae_daemon_prince_glory_5,wh3_main_skill_dae_lord_campaign_undivided,Glorious Warfare,"As the corruption of Chaos seeps into the land like a sickness, the glory and strength of those forces pledged eternally to Ruin can only grow and grow.",campaign_undivided_points.png,0,1,0,0,true,0,3,2,Glorious Warfare,"As the corruption of Chaos seeps into the land like a sickness, the glory and strength of those forces pledged eternally to Ruin can only grow and grow.",,,,,,wh3_main_effect_dae_all_points_percentage_multiplier_mod,All glory gained: %+n%,,character_to_faction_unseen,8,campaign,1,true,undivided_points.png,undivided_points.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_dae_lord_campaign_undivided|wh3_main_effect_dae_all_points_percentage_multiplier_mod|2|character_to_faction_unseen
effect,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_dae_daemon_prince,,1,general,false,false,,,,wh3_main_skill_node_dae_daemon_prince_glory_5,wh3_main_skill_dae_lord_campaign_undivided,Glorious Warfare,"As the corruption of Chaos seeps into the land like a sickness, the glory and strength of those forces pledged eternally to Ruin can only grow and grow.",campaign_undivided_points.png,0,1,0,0,true,0,3,3,Glorious Warfare,"As the corruption of Chaos seeps into the land like a sickness, the glory and strength of those forces pledged eternally to Ruin can only grow and grow.",,,,,,wh3_main_effect_dae_all_points_percentage_multiplier_mod,All glory gained: %+n%,,character_to_faction_unseen,15,campaign,1,true,undivided_points.png,undivided_points.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_dae_lord_campaign_undivided|wh3_main_effect_dae_all_points_percentage_multiplier_mod|3|character_to_faction_unseen
node,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_dae_daemon_prince,,1,general,false,false,,,,wh3_main_skill_node_dae_daemon_prince_glory_1,wh3_main_skill_dae_lord_campaign_khorne,Fury of the Faithful,"Pure, irrepressible rage is but an act of worship to the Blood God's glory.",campaign_khorne_points.png,0,2,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_dae_daemon_prince_glory_1
effect,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_dae_daemon_prince,,1,general,false,false,,,,wh3_main_skill_node_dae_daemon_prince_glory_1,wh3_main_skill_dae_lord_campaign_khorne,Fury of the Faithful,"Pure, irrepressible rage is but an act of worship to the Blood God's glory.",campaign_khorne_points.png,0,2,0,0,true,0,3,1,Fury of the Faithful,"Pure, irrepressible rage is but an act of worship to the Blood God's glory.",,,,,,wh3_main_effect_dae_khorne_points_percentage_multiplier_mod,Khorne glory gained: %+n%,,character_to_faction_unseen,3,campaign,1,true,khorne_points.png,khorne_points.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_dae_lord_campaign_khorne|wh3_main_effect_dae_khorne_points_percentage_multiplier_mod|1|character_to_faction_unseen
effect,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_dae_daemon_prince,,1,general,false,false,,,,wh3_main_skill_node_dae_daemon_prince_glory_1,wh3_main_skill_dae_lord_campaign_khorne,Fury of the Faithful,"Pure, irrepressible rage is but an act of worship to the Blood God's glory.",campaign_khorne_points.png,0,2,0,0,true,0,3,2,Fury of the Faithful,"Pure, irrepressible rage is but an act of worship to the Blood God's glory.",,,,,,wh3_main_effect_dae_khorne_points_percentage_multiplier_mod,Khorne glory gained: %+n%,,character_to_faction_unseen,8,campaign,1,true,khorne_points.png,khorne_points.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_dae_lord_campaign_khorne|wh3_main_effect_dae_khorne_points_percentage_multiplier_mod|2|character_to_faction_unseen
effect,warhammer_3,8.1.1,24237342,Daemons of Chaos,daemons_of_chaos,wh3_main_sc_dae_daemons,Daemon Prince,Daemon_Prince,legendary_lord,wh3_main_dae_daemon_prince,general,general,wh3_main_dae_daemon_prince|wh3_main_dae_daemons_qb1,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_dae_daemon_prince,,1,general,false,false,,,,wh3_main_skill_node_dae_daemon_prince_glory_1,wh3_main_skill_dae_lord_campaign_khorne,Fury of the Faithful,"Pure, irrepressible rage is but an act of worship to the Blood God's glory.",campaign_khorne_points.png,0,2,0,0,true,0,3,3,Fury of the Faithful,"Pure, irrepressible rage is but an act of worship to the Blood God's glory.",,,,,,wh3_main_effect_dae_khorne_points_percentage_multiplier_mod,Khorne glory gained: %+n%,,character_to_faction_unseen,15,campaign,1,true,khorne_points.png,khorne_points.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_dae_lord_campaign_khorne|wh3_main_effect_dae_khorne_points_percentage_multiplier_mod|3|character_to_faction_unseen
