record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc10_def_crone_hellebron
node_set,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_def_crone,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc10_skill_node_set_def_crone
node,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_def_crone,,1,general,false,false,,,,wh2_dlc10_skill_node_def_crone_unique_0,wh2_dlc10_skill_def_crone_unique_first_bride_of_khaine,Champion of Khaine,"As Khaine's chosen bride, she is his champion and envoy, and no harm will come to her.",character_ward_save.png,0,1,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc10_skill_node_def_crone_unique_0
skill_level,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_def_crone,,1,general,false,false,,,,wh2_dlc10_skill_node_def_crone_unique_0,wh2_dlc10_skill_def_crone_unique_first_bride_of_khaine,Champion of Khaine,"As Khaine's chosen bride, she is his champion and envoy, and no harm will come to her.",character_ward_save.png,0,1,0,0,true,11,1,1,Champion of Khaine,"As Khaine's chosen bride, she is his champion and envoy, and no harm will come to her.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc10_skill_def_crone_unique_first_bride_of_khaine|1|||
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_def_crone,,1,general,false,false,,,,wh2_dlc10_skill_node_def_crone_unique_0,wh2_dlc10_skill_def_crone_unique_first_bride_of_khaine,Champion of Khaine,"As Khaine's chosen bride, she is his champion and envoy, and no harm will come to her.",character_ward_save.png,0,1,0,0,true,11,1,1,Champion of Khaine,"As Khaine's chosen bride, she is his champion and envoy, and no harm will come to her.",,,,,,wh_main_effect_character_stat_physical_resistance,Physical resistance: %n%,"Physical Resistance. Damage of non-magical attacks is reduced by this amount, up to a maximum of 90%",character_to_character_own,10,both,280,true,resistance_physical.png,resistance_physical.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc10_skill_def_crone_unique_first_bride_of_khaine|wh_main_effect_character_stat_physical_resistance|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_def_crone,,1,general,false,false,,,,wh2_dlc10_skill_node_def_crone_unique_0,wh2_dlc10_skill_def_crone_unique_first_bride_of_khaine,Champion of Khaine,"As Khaine's chosen bride, she is his champion and envoy, and no harm will come to her.",character_ward_save.png,0,1,0,0,true,11,1,1,Champion of Khaine,"As Khaine's chosen bride, she is his champion and envoy, and no harm will come to her.",,,,,,wh2_twa03_effect_missile_resistance_khaine_units,Missile resistance: %n% for Witch Elves and Har Ganeth Executioners units,,general_to_force_own,10,battle,60,true,resistance_missile.png,resistance_missile.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc10_skill_def_crone_unique_first_bride_of_khaine|wh2_twa03_effect_missile_resistance_khaine_units|1|general_to_force_own
node,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_def_crone,,1,general,false,false,,,,wh2_dlc10_skill_node_def_crone_combat_0,wh2_main_skill_def_combat_dance_of_death,Dance of Death,"So much of war is an art. Over time and with much practice, combat moves can resemble a series of perfectly-rehearsed dance moves.",character_attack.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc10_skill_node_def_crone_combat_0
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_def_crone,,1,general,false,false,,,,wh2_dlc10_skill_node_def_crone_combat_0,wh2_main_skill_def_combat_dance_of_death,Dance of Death,"So much of war is an art. Over time and with much practice, combat moves can resemble a series of perfectly-rehearsed dance moves.",character_attack.png,0,2,0,0,true,0,1,1,Dance of Death,"So much of war is an art. Over time and with much practice, combat moves can resemble a series of perfectly-rehearsed dance moves.",,,,,,wh_main_effect_character_stat_melee_attack,Melee attack: %+n,,character_to_character_own,4,both,130,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_def_combat_dance_of_death|wh_main_effect_character_stat_melee_attack|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_def_crone,,1,general,false,false,,,,wh2_dlc10_skill_node_def_crone_combat_0,wh2_main_skill_def_combat_dance_of_death,Dance of Death,"So much of war is an art. Over time and with much practice, combat moves can resemble a series of perfectly-rehearsed dance moves.",character_attack.png,0,2,0,0,true,0,1,1,Dance of Death,"So much of war is an art. Over time and with much practice, combat moves can resemble a series of perfectly-rehearsed dance moves.",,,,,,wh_main_effect_character_stat_melee_defence,Melee defence: %+n,,character_to_character_own,4,both,150,true,defence_character.png,defence_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_def_combat_dance_of_death|wh_main_effect_character_stat_melee_defence|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Crone Hellebron,Crone_Hellebron,legendary_lord,wh2_dlc10_def_crone_hellebron,general,general,wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_def_crone,,1,general,false,false,,,,wh2_dlc10_skill_node_def_crone_army_0,wh_main_skill_all_lord_battle_inspiring_presence,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",battle_morale.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc10_skill_node_def_crone_army_0
