record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc25_dwf_dragon_slayer
node_set,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,wh3_dlc25_skill_node_set_dwf_dragon_slayer,,1,dignitary,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc25_skill_node_set_dwf_dragon_slayer
node,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,wh3_dlc25_skill_node_set_dwf_dragon_slayer,,1,dignitary,false,false,,,,wh3_dlc25_skill_node_dwf_dragon_slayer_deathblow_01,wh_dlc08_skill_ability_dummy_deathblow,Deathblow,,wh_main_lord_abilities_deathblow.png,0,0,1,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_dwf_dragon_slayer_deathblow_01
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,wh3_dlc25_skill_node_set_dwf_dragon_slayer,,1,dignitary,false,false,,,,wh3_dlc25_skill_node_dwf_dragon_slayer_deathblow_01,wh_dlc08_skill_ability_dummy_deathblow,Deathblow,,wh_main_lord_abilities_deathblow.png,0,0,1,0,true,0,1,1,Deathblow,,,,,,,wh_main_effect_ability_enable_deathblow,"Passive ability: ""Deathblow""",,character_to_character_own,1,battle,310,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc08_skill_ability_dummy_deathblow|wh_main_effect_ability_enable_deathblow|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,wh3_dlc25_skill_node_set_dwf_dragon_slayer,,1,dignitary,false,false,,,,wh3_dlc25_skill_node_dwf_dragon_slayer_personal_01,wh3_dlc25_dwf_daemon_slayer_personal_2_3,Distinguished Slayer,"Distinguished by his scars he may be, but since the point of being a Slayer is to die, one wonders when this one is going to start applying himself to the task at hand.",character_ward_save.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_dwf_dragon_slayer_personal_01
skill_level,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,wh3_dlc25_skill_node_set_dwf_dragon_slayer,,1,dignitary,false,false,,,,wh3_dlc25_skill_node_dwf_dragon_slayer_personal_01,wh3_dlc25_dwf_daemon_slayer_personal_2_3,Distinguished Slayer,"Distinguished by his scars he may be, but since the point of being a Slayer is to die, one wonders when this one is going to start applying himself to the task at hand.",character_ward_save.png,0,1,0,0,true,0,1,1,Distinguished Slayer,"Distinguished by his scars he may be, but since the point of being a Slayer is to die, one wonders when this one is going to start applying himself to the task at hand.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_dwf_daemon_slayer_personal_2_3|1|||
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,wh3_dlc25_skill_node_set_dwf_dragon_slayer,,1,dignitary,false,false,,,,wh3_dlc25_skill_node_dwf_dragon_slayer_personal_01,wh3_dlc25_dwf_daemon_slayer_personal_2_3,Distinguished Slayer,"Distinguished by his scars he may be, but since the point of being a Slayer is to die, one wonders when this one is going to start applying himself to the task at hand.",character_ward_save.png,0,1,0,0,true,0,1,1,Distinguished Slayer,"Distinguished by his scars he may be, but since the point of being a Slayer is to die, one wonders when this one is going to start applying himself to the task at hand.",,,,,,wh_main_effect_character_stat_melee_defence,Melee defence: %+n,,character_to_character_own,5,both,150,true,defence_character.png,defence_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_dwf_daemon_slayer_personal_2_3|wh_main_effect_character_stat_melee_defence|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,wh3_dlc25_skill_node_set_dwf_dragon_slayer,,1,dignitary,false,false,,,,wh3_dlc25_skill_node_dwf_dragon_slayer_personal_01,wh3_dlc25_dwf_daemon_slayer_personal_2_3,Distinguished Slayer,"Distinguished by his scars he may be, but since the point of being a Slayer is to die, one wonders when this one is going to start applying himself to the task at hand.",character_ward_save.png,0,1,0,0,true,0,1,1,Distinguished Slayer,"Distinguished by his scars he may be, but since the point of being a Slayer is to die, one wonders when this one is going to start applying himself to the task at hand.",,,,,,wh_main_effect_character_stat_ward_save,Ward save: %n%,"Ward Save. Any type of damage is reduced by this amount, up to a maximum of 90%",character_to_character_own,5,battle,100,true,resistance_ward_save.png,resistance_ward_save.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_dwf_daemon_slayer_personal_2_3|wh_main_effect_character_stat_ward_save|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,wh3_dlc25_skill_node_set_dwf_dragon_slayer,,1,dignitary,false,false,,,,wh3_dlc25_skill_node_dwf_dragon_slayer_choice_01,wh3_dlc25_skill_choice_dwf_dragon_slayer_1,Follower of Grimnir,"The living personification of courage, as the Fearless was many centuries before him.",character_damage.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_dwf_dragon_slayer_choice_01
skill_level,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Dragon Slayer,Dragon_Slayer,hero,wh3_dlc25_dwf_dragon_slayer,dignitary,dignitary,wh2_dlc15_dwf_clan_helhein|wh2_dlc17_dwf_thorek_ironbrow|wh2_main_dwf_greybeards_prospectors|wh2_main_dwf_karak_zorn|wh2_main_dwf_spine_of_sotek_dwarfs|wh3_dlc25_dwf_malakai|wh3_dlc26_dwf_dwarfs_invasion|wh3_main_dwf_karak_azorn|wh3_main_dwf_the_ancestral_throng|wh_main_dwf_barak_varr|wh_main_dwf_dwarf_rebels|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4|wh_main_dwf_karak_azul|wh_main_dwf_karak_hirn|wh_main_dwf_karak_izor|wh_main_dwf_karak_kadrin|wh_main_dwf_karak_norn|wh_main_dwf_karak_ziflin|wh_main_dwf_kraka_drak|wh_main_dwf_zhufbar,false,false,true,true,true,true,,,wh3_dlc25_skill_node_set_dwf_dragon_slayer,,1,dignitary,false,false,,,,wh3_dlc25_skill_node_dwf_dragon_slayer_choice_01,wh3_dlc25_skill_choice_dwf_dragon_slayer_1,Follower of Grimnir,"The living personification of courage, as the Fearless was many centuries before him.",character_damage.png,0,2,0,0,true,0,1,1,Follower of Grimnir,"The living personification of courage, as the Fearless was many centuries before him.",7,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_choice_dwf_dragon_slayer_1|1|||
