record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh_dlc06_dwf_runesmith_ghost
node_set,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,wh_dlc06_skill_node_set_dwf_runesmith_ghost,,1,runesmith,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh_dlc06_skill_node_set_dwf_runesmith_ghost
node,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,wh_dlc06_skill_node_set_dwf_runesmith_ghost,,1,runesmith,false,false,,,,wh_dlc06_skill_node_dwf_runesmith_ghost_unique_05,wh2_dlc10_skill_dwf_runesmith_generic_master_of_the_forge,Master of the Forge,There are none more adept at metal-shaping than those who command the runes.,character_oathgold.png,0,0,0,0,true,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc06_skill_node_dwf_runesmith_ghost_unique_05
skill_level,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,wh_dlc06_skill_node_set_dwf_runesmith_ghost,,1,runesmith,false,false,,,,wh_dlc06_skill_node_dwf_runesmith_ghost_unique_05,wh2_dlc10_skill_dwf_runesmith_generic_master_of_the_forge,Master of the Forge,There are none more adept at metal-shaping than those who command the runes.,character_oathgold.png,0,0,0,0,true,2,2,1,Master of the Forge,There are none more adept at metal-shaping than those who command the runes.,2,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc10_skill_dwf_runesmith_generic_master_of_the_forge|1|||
skill_level,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,wh_dlc06_skill_node_set_dwf_runesmith_ghost,,1,runesmith,false,false,,,,wh_dlc06_skill_node_dwf_runesmith_ghost_unique_05,wh2_dlc10_skill_dwf_runesmith_generic_master_of_the_forge,Master of the Forge,There are none more adept at metal-shaping than those who command the runes.,character_oathgold.png,0,0,0,0,true,2,2,2,Master of the Forge,There are none more adept at metal-shaping than those who command the runes.,9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc10_skill_dwf_runesmith_generic_master_of_the_forge|2|||
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,wh_dlc06_skill_node_set_dwf_runesmith_ghost,,1,runesmith,false,false,,,,wh_dlc06_skill_node_dwf_runesmith_ghost_unique_05,wh2_dlc10_skill_dwf_runesmith_generic_master_of_the_forge,Master of the Forge,There are none more adept at metal-shaping than those who command the runes.,character_oathgold.png,0,0,0,0,true,2,2,1,Master of the Forge,There are none more adept at metal-shaping than those who command the runes.,,,,,,wh2_dlc17_pooled_resource_oathgold_buildings_mod,Oathgold from buildings: %+n%,,character_to_region_own_provincewide,20,campaign,3,true,oathgold_bundle.png,oathgold_bundle.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc10_skill_dwf_runesmith_generic_master_of_the_forge|wh2_dlc17_pooled_resource_oathgold_buildings_mod|1|character_to_region_own_provincewide
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,wh_dlc06_skill_node_set_dwf_runesmith_ghost,,1,runesmith,false,false,,,,wh_dlc06_skill_node_dwf_runesmith_ghost_unique_05,wh2_dlc10_skill_dwf_runesmith_generic_master_of_the_forge,Master of the Forge,There are none more adept at metal-shaping than those who command the runes.,character_oathgold.png,0,0,0,0,true,2,2,2,Master of the Forge,There are none more adept at metal-shaping than those who command the runes.,,,,,,wh2_dlc17_pooled_resource_oathgold_buildings_mod,Oathgold from buildings: %+n%,,character_to_region_own_provincewide,40,campaign,3,true,oathgold_bundle.png,oathgold_bundle.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc10_skill_dwf_runesmith_generic_master_of_the_forge|wh2_dlc17_pooled_resource_oathgold_buildings_mod|2|character_to_region_own_provincewide
node,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,wh_dlc06_skill_node_set_dwf_runesmith_ghost,,1,runesmith,false,false,,,,wh3_dlc25_skill_node_dwf_runesmith_ghost_unique_01,wh3_dlc25_skill_dwf_runesmith_ghost_self_unique_1,Ancestral Lineage,"Centuries of innovative, careful craft and legendary martial skill can be brought to bear on present-day battlefields, that the foe might be smited from existence.",character_health.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_dwf_runesmith_ghost_unique_01
skill_level,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,wh_dlc06_skill_node_set_dwf_runesmith_ghost,,1,runesmith,false,false,,,,wh3_dlc25_skill_node_dwf_runesmith_ghost_unique_01,wh3_dlc25_skill_dwf_runesmith_ghost_self_unique_1,Ancestral Lineage,"Centuries of innovative, careful craft and legendary martial skill can be brought to bear on present-day battlefields, that the foe might be smited from existence.",character_health.png,0,1,0,0,true,0,1,1,Ancestral Lineage,"Centuries of innovative, careful craft and legendary martial skill can be brought to bear on present-day battlefields, that the foe might be smited from existence.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_dwf_runesmith_ghost_self_unique_1|1|||
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Runesmith,Runesmith,hero,wh_dlc06_dwf_runesmith_ghost,runesmith,runesmith,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_karak_izor,false,true,true,false,false,true,,,wh_dlc06_skill_node_set_dwf_runesmith_ghost,,1,runesmith,false,false,,,,wh3_dlc25_skill_node_dwf_runesmith_ghost_unique_01,wh3_dlc25_skill_dwf_runesmith_ghost_self_unique_1,Ancestral Lineage,"Centuries of innovative, careful craft and legendary martial skill can be brought to bear on present-day battlefields, that the foe might be smited from existence.",character_health.png,0,1,0,0,true,0,1,1,Ancestral Lineage,"Centuries of innovative, careful craft and legendary martial skill can be brought to bear on present-day battlefields, that the foe might be smited from existence.",,,,,,wh_main_effect_character_stat_unit_health,Hit points: %+n%,,character_to_character_own,5,both,90,true,health_character.png,health_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_dwf_runesmith_ghost_self_unique_1|wh_main_effect_character_stat_unit_health|1|character_to_character_own
