record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh_main_dwf_thorgrim_grudgebearer
node_set,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh_main_skill_node_set_dwf_thorgrim
node,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",character_public_order.png,0,1,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc08_skill_dwf_lord_thorgrim_unique_0
skill_level,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",character_public_order.png,0,1,0,0,true,11,1,1,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh_dlc08_skill_dwf_lord_thorgrim_unique_0|1|||
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",character_public_order.png,0,1,0,0,true,11,1,1,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",,,,,,wh_main_effect_province_growth_characters,Growth: %+n,,character_to_province_own_factionwide,10,campaign,30,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc08_skill_dwf_lord_thorgrim_unique_0|wh_main_effect_province_growth_characters|1|character_to_province_own_factionwide
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",character_public_order.png,0,1,0,0,true,11,1,1,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",,,,,,wh_main_effect_public_order_characters,{{tr:public_order_effect}}: %+n,,character_to_province_own_factionwide,2,campaign,6,true,public_order.png,public_order.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc08_skill_dwf_lord_thorgrim_unique_0|wh_main_effect_public_order_characters|1|character_to_province_own_factionwide
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",character_public_order.png,0,1,0,0,true,11,1,1,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",,,,,,wh3_main_effect_corruption_reduction_characters,Corruption: %+n,,character_to_province_own_factionwide,-1,campaign,104,false,corruption.png,corruption.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc08_skill_dwf_lord_thorgrim_unique_0|wh3_main_effect_corruption_reduction_characters|1|character_to_province_own_factionwide
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,wh_dlc08_skill_dwf_lord_thorgrim_unique_0,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",character_public_order.png,0,1,0,0,true,11,1,1,Ancient Bloodline,"A throwback to the High Kings of old, Thorgrim seeks to unite the Karaks and reclaim their lost Holds.",,,,,,wh3_main_pooled_resource_underdeeps_skills_thorgrim,High King Decrees: %+n,,character_to_faction_unseen,1,campaign,999,true,underdeep.png,underdeep.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc08_skill_dwf_lord_thorgrim_unique_0|wh3_main_pooled_resource_underdeeps_skills_thorgrim|1|character_to_faction_unseen
node,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh3_dlc25_skill_node_dwf_thorgrim_choice_01,wh3_dlc25_skill_dwf_lord_unique_units_infantry_01,Rune-Warded Armour,These armour plates have been girded with runes to ensure the wearer is protected from all manner of attacks.,character_ward_save.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_dwf_thorgrim_choice_01
skill_level,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh3_dlc25_skill_node_dwf_thorgrim_choice_01,wh3_dlc25_skill_dwf_lord_unique_units_infantry_01,Rune-Warded Armour,These armour plates have been girded with runes to ensure the wearer is protected from all manner of attacks.,character_ward_save.png,0,2,0,0,true,0,1,1,Rune-Warded Armour,These armour plates have been girded with runes to ensure the wearer is protected from all manner of attacks.,7,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_dwf_lord_unique_units_infantry_01|1|||
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh3_dlc25_skill_node_dwf_thorgrim_choice_01,wh3_dlc25_skill_dwf_lord_unique_units_infantry_01,Rune-Warded Armour,These armour plates have been girded with runes to ensure the wearer is protected from all manner of attacks.,character_ward_save.png,0,2,0,0,true,0,1,1,Rune-Warded Armour,These armour plates have been girded with runes to ensure the wearer is protected from all manner of attacks.,,,,,,wh_main_effect_character_stat_missile_block,Missile block chance: %+n%,,character_to_character_own,10,battle,55,true,block_character.png,block_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_dwf_lord_unique_units_infantry_01|wh_main_effect_character_stat_missile_block|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dwarfs,dwarfs,wh_main_sc_dwf_dwarfs,Thorgrim Grudgebearer,Thorgrim_Grudgebearer,legendary_lord,wh_main_dwf_thorgrim_grudgebearer,general,general,wh3_dlc26_dwf_dwarfs_invasion|wh_main_dwf_dwarfs|wh_main_dwf_dwarfs_qb1|wh_main_dwf_dwarfs_qb2|wh_main_dwf_dwarfs_qb3|wh_main_dwf_dwarfs_qb4,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_dwf_thorgrim,,1,general,false,false,,,,wh3_dlc25_skill_node_dwf_thorgrim_choice_01,wh3_dlc25_skill_dwf_lord_unique_units_infantry_01,Rune-Warded Armour,These armour plates have been girded with runes to ensure the wearer is protected from all manner of attacks.,character_ward_save.png,0,2,0,0,true,0,1,1,Rune-Warded Armour,These armour plates have been girded with runes to ensure the wearer is protected from all manner of attacks.,,,,,,wh_main_effect_character_stat_physical_resistance,Physical resistance: %n%,"Physical Resistance. Damage of non-magical attacks is reduced by this amount, up to a maximum of 90%",character_to_character_own,10,both,280,true,resistance_physical.png,resistance_physical.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_dwf_lord_unique_units_infantry_01|wh_main_effect_character_stat_physical_resistance|1|character_to_character_own
