record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh_main_emp_balthasar_gelt
node_set,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_emp_balthasar,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh_main_skill_node_set_emp_balthasar
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_emp_balthasar,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_emp_balthasar,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_dlc25_effect_emp_gelt_wizard_count_hidden,,,character_to_force_own_unseen,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays|wh3_dlc25_effect_emp_gelt_wizard_count_hidden|1|character_to_force_own_unseen
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_emp_balthasar,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_dlc25_effect_force_emp_post_battle_arcane_essays_hidden,,,character_to_character_own,20,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays|wh3_dlc25_effect_force_emp_post_battle_arcane_essays_hidden|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_emp_balthasar,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_dlc25_effect_hero_emp_post_battle_arcane_essays_hidden,,,agent_to_parent_army_general_own,10,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays|wh3_dlc25_effect_hero_emp_post_battle_arcane_essays_hidden|1|agent_to_parent_army_general_own
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_emp_balthasar,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_main_effect_winds_of_magic_pool_cap_hidden,,,character_to_force_own_unseen,5,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays|wh3_main_effect_winds_of_magic_pool_cap_hidden|1|character_to_force_own_unseen
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_emp_balthasar,,1,general,false,false,,,,wh_dlc08_skill_emp_lord_unique_balthasar_unique_5,wh3_dlc25_skill_emp_gelt_tempered_aura,{{tr:unit_abilities_onscreen_name_wh3_dlc25_character_passive_tempered_aura}},{{tr:unit_abilities_tooltip_text_wh3_dlc25_character_passive_tempered_aura}},battle_armour.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc08_skill_emp_lord_unique_balthasar_unique_5
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_emp_balthasar,,1,general,false,false,,,,wh_dlc08_skill_emp_lord_unique_balthasar_unique_5,wh3_dlc25_skill_emp_gelt_tempered_aura,{{tr:unit_abilities_onscreen_name_wh3_dlc25_character_passive_tempered_aura}},{{tr:unit_abilities_tooltip_text_wh3_dlc25_character_passive_tempered_aura}},battle_armour.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc25_character_passive_tempered_aura}},{{tr:unit_abilities_tooltip_text_wh3_dlc25_character_passive_tempered_aura}},11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_emp_gelt_tempered_aura|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Balthasar Gelt,Balthasar_Gelt,legendary_lord,wh_main_emp_balthasar_gelt,general,general,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh_main_emp_empire,true,false,true,true,false,true,,legendary_lords,wh_main_skill_node_set_emp_balthasar,,1,general,false,false,,,,wh_dlc08_skill_emp_lord_unique_balthasar_unique_5,wh3_dlc25_skill_emp_gelt_tempered_aura,{{tr:unit_abilities_onscreen_name_wh3_dlc25_character_passive_tempered_aura}},{{tr:unit_abilities_tooltip_text_wh3_dlc25_character_passive_tempered_aura}},battle_armour.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc25_character_passive_tempered_aura}},{{tr:unit_abilities_tooltip_text_wh3_dlc25_character_passive_tempered_aura}},,,,,,wh_main_effect_character_stat_physical_resistance,Physical resistance: %n%,"Physical Resistance. Damage of non-magical attacks is reduced by this amount, up to a maximum of 90%",character_to_character_own,10,both,280,true,resistance_physical.png,resistance_physical.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_emp_gelt_tempered_aura|wh_main_effect_character_stat_physical_resistance|1|character_to_character_own
