record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh_main_emp_bright_wizard
node_set,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,wh_main_skill_node_set_emp_bright_wizard,,1,wizard,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh_main_skill_node_set_emp_bright_wizard
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,wh_main_skill_node_set_emp_bright_wizard,,1,wizard,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,wh_main_skill_node_set_emp_bright_wizard,,1,wizard,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_dlc25_effect_emp_gelt_wizard_count_hidden,,,character_to_force_own_unseen,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays|wh3_dlc25_effect_emp_gelt_wizard_count_hidden|1|character_to_force_own_unseen
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,wh_main_skill_node_set_emp_bright_wizard,,1,wizard,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_dlc25_effect_force_emp_post_battle_arcane_essays_hidden,,,character_to_character_own,20,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays|wh3_dlc25_effect_force_emp_post_battle_arcane_essays_hidden|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,wh_main_skill_node_set_emp_bright_wizard,,1,wizard,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_dlc25_effect_hero_emp_post_battle_arcane_essays_hidden,,,agent_to_parent_army_general_own,10,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays|wh3_dlc25_effect_hero_emp_post_battle_arcane_essays_hidden|1|agent_to_parent_army_general_own
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,wh_main_skill_node_set_emp_bright_wizard,,1,wizard,false,false,,,,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays,,,arcane_essays.png,0,0,1,0,false,0,1,1,,,,,,,,wh3_main_effect_winds_of_magic_pool_cap_hidden,,,character_to_force_own_unseen,5,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_node_emp_wizard_unique_arcane_essays|wh3_main_effect_winds_of_magic_pool_cap_hidden|1|character_to_force_own_unseen
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,wh_main_skill_node_set_emp_bright_wizard,,1,wizard,false,false,,,,wh3_dlc25_skill_node_emp_hero_wizard_unique_01_bright,wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_bright,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},character_magic.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_hero_wizard_unique_01_bright
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,wh_main_skill_node_set_emp_bright_wizard,,1,wizard,false,false,,,,wh3_dlc25_skill_node_emp_hero_wizard_unique_01_bright,wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_bright,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},character_magic.png,0,1,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_bright|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Bright Wizard,Bright_Wizard,hero,wh_main_emp_bright_wizard,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_qb5|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,true,,,wh_main_skill_node_set_emp_bright_wizard,,1,wizard,false,false,,,,wh3_dlc25_skill_node_emp_hero_wizard_unique_01_bright,wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_bright,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},character_magic.png,0,1,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_amethyst}},,,,,,wh_main_effect_character_stat_miscast,Miscast base chance: %+n%,,character_to_character_own,-25,battle,298,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_emp_hero_battle_wizard_unique_01_bright|wh_main_effect_character_stat_miscast|1|character_to_character_own
