record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc25_emp_elspeth_von_draken
node_set,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,wh3_dlc25_skill_node_set_emp_elspeth_von_draken,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc25_skill_node_set_emp_elspeth_von_draken
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,wh3_dlc25_skill_node_set_emp_elspeth_von_draken,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_elspeth_unique_1,wh3_dlc25_skill_emp_elspeth_warhorse,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_elspeth_von_drakenwh3_dlc25_emp_cha_elspeth_von_draken_warhorse}},mount_barded_warhorse.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_elspeth_unique_1
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,wh3_dlc25_skill_node_set_emp_elspeth_von_draken,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_elspeth_unique_1,wh3_dlc25_skill_emp_elspeth_warhorse,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_elspeth_von_drakenwh3_dlc25_emp_cha_elspeth_von_draken_warhorse}},mount_barded_warhorse.png,0,0,0,0,true,0,1,1,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_elspeth_von_drakenwh3_dlc25_emp_cha_elspeth_von_draken_warhorse}},6,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_emp_elspeth_warhorse|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,wh3_dlc25_skill_node_set_emp_elspeth_von_draken,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_elspeth_unique_1,wh3_dlc25_skill_emp_elspeth_warhorse,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_elspeth_von_drakenwh3_dlc25_emp_cha_elspeth_von_draken_warhorse}},mount_barded_warhorse.png,0,0,0,0,true,0,1,1,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_elspeth_von_drakenwh3_dlc25_emp_cha_elspeth_von_draken_warhorse}},,,,,,wh_main_effect_enable_mount_barded_warhorse,Mount: Barded Warhorse,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_emp_elspeth_warhorse|wh_main_effect_enable_mount_barded_warhorse|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,wh3_dlc25_skill_node_set_emp_elspeth_von_draken,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_elspeth_unique_1,wh3_dlc25_skill_emp_elspeth_warhorse,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_elspeth_von_drakenwh3_dlc25_emp_cha_elspeth_von_draken_warhorse}},mount_barded_warhorse.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc25_anc_mount_emp_elspeth_warhorse,Barded Warhorse,wh_main_anc_mount_barded_warhorse,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_dlc25_skill_emp_elspeth_warhorse|wh3_dlc25_anc_mount_emp_elspeth_warhorse|1
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,wh3_dlc25_skill_node_set_emp_elspeth_von_draken,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_elspeth_1,wh3_dlc25_skill_emp_elspeth_unsettling_radiance,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},character_health.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_elspeth_1
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,wh3_dlc25_skill_node_set_emp_elspeth_von_draken,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_elspeth_1,wh3_dlc25_skill_emp_elspeth_unsettling_radiance,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},character_health.png,0,2,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_emp_elspeth_unsettling_radiance|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,wh3_dlc25_skill_node_set_emp_elspeth_von_draken,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_elspeth_1,wh3_dlc25_skill_emp_elspeth_unsettling_radiance,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},character_health.png,0,2,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},{{tr:character_skills_localised_description_wh3_dlc25_skill_emp_hero_battle_wizard_death_unique}},,,,,,wh3_dlc25_effect_enemy_healing_cap_modifier,Battle healing cap: %+n%,,character_to_force_enemy_regionwide,-25,battle,101,false,health_character.png,replenishment.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_emp_elspeth_unsettling_radiance|wh3_dlc25_effect_enemy_healing_cap_modifier|1|character_to_force_enemy_regionwide
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Elspeth von Draken,Elspeth_von_Draken,legendary_lord,wh3_dlc25_emp_elspeth_von_draken,general,general,wh_main_emp_wissenland,true,false,true,true,false,true,,legendary_lords,wh3_dlc25_skill_node_set_emp_elspeth_von_draken,,1,general,false,false,,,,wh3_dlc25_skill_node_emp_elspeth_death_magic_1,wh_main_skill_all_magic_death_01_spirit_leech,Spirit Leech,,wh_main_spell_death_spirit_leech.png,0,3,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_elspeth_death_magic_1
