record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc25_emp_engineer
node_set,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,wh3_dlc25_skill_node_set_emp_engineer,,1,engineer,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc25_skill_node_set_emp_engineer
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,wh3_dlc25_skill_node_set_emp_engineer,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_engineer_unique_01,wh3_dlc25_skill_emp_engineer_barded_warhorse,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_master_engineerwh3_dlc25_emp_cha_master_engineer_warhorse}},mount_barded_warhorse.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_engineer_unique_01
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,wh3_dlc25_skill_node_set_emp_engineer,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_engineer_unique_01,wh3_dlc25_skill_emp_engineer_barded_warhorse,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_master_engineerwh3_dlc25_emp_cha_master_engineer_warhorse}},mount_barded_warhorse.png,0,0,0,0,true,0,1,1,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_master_engineerwh3_dlc25_emp_cha_master_engineer_warhorse}},6,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_emp_engineer_barded_warhorse|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,wh3_dlc25_skill_node_set_emp_engineer,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_engineer_unique_01,wh3_dlc25_skill_emp_engineer_barded_warhorse,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_master_engineerwh3_dlc25_emp_cha_master_engineer_warhorse}},mount_barded_warhorse.png,0,0,0,0,true,0,1,1,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_master_engineerwh3_dlc25_emp_cha_master_engineer_warhorse}},,,,,,wh_main_effect_enable_mount_barded_warhorse,Mount: Barded Warhorse,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_emp_engineer_barded_warhorse|wh_main_effect_enable_mount_barded_warhorse|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,wh3_dlc25_skill_node_set_emp_engineer,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_engineer_unique_01,wh3_dlc25_skill_emp_engineer_barded_warhorse,Barded Warhorse,{{tr:units_custom_battle_mounts_localised_description_wh3_dlc25_emp_cha_master_engineerwh3_dlc25_emp_cha_master_engineer_warhorse}},mount_barded_warhorse.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc25_anc_mount_emp_engineer_barded_warhorse,Barded Warhorse,wh_main_anc_mount_barded_warhorse,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_dlc25_skill_emp_engineer_barded_warhorse|wh3_dlc25_anc_mount_emp_engineer_barded_warhorse|1
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,wh3_dlc25_skill_node_set_emp_engineer,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_engineer_1_1,wh3_dlc25_skill_emp_master_engineer_self_master_of_ballistics,Master of Ballistics,"If it can be shot at the foe, this one knows everything apposite about its design and use.",wh3_dlc25_hero_abilities_master_of_ballistics.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_engineer_1_1
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,wh3_dlc25_skill_node_set_emp_engineer,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_engineer_1_1,wh3_dlc25_skill_emp_master_engineer_self_master_of_ballistics,Master of Ballistics,"If it can be shot at the foe, this one knows everything apposite about its design and use.",wh3_dlc25_hero_abilities_master_of_ballistics.png,0,1,0,0,true,0,1,1,Master of Ballistics,"If it can be shot at the foe, this one knows everything apposite about its design and use.",7,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_emp_master_engineer_self_master_of_ballistics|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,wh3_dlc25_skill_node_set_emp_engineer,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_engineer_1_1,wh3_dlc25_skill_emp_master_engineer_self_master_of_ballistics,Master of Ballistics,"If it can be shot at the foe, this one knows everything apposite about its design and use.",wh3_dlc25_hero_abilities_master_of_ballistics.png,0,1,0,0,true,0,1,1,Master of Ballistics,"If it can be shot at the foe, this one knows everything apposite about its design and use.",,,,,,wh3_dlc25_effect_ability_enable_master_of_ballistics,"Passive ability: ""Master of Ballistics""",,character_to_character_own,1,battle,310,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_emp_master_engineer_self_master_of_ballistics|wh3_dlc25_effect_ability_enable_master_of_ballistics|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Engineer,Engineer,hero,wh3_dlc25_emp_engineer,engineer,engineer,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh2_dlc16_emp_colonist_invasion|wh2_dlc16_emp_empire_invasion|wh2_dlc16_emp_empire_qb8|wh3_dlc27_emp_empire_dm|wh3_main_emp_cult_of_sigmar|wh_main_emp_averland|wh_main_emp_empire|wh_main_emp_empire_qb1|wh_main_emp_empire_qb2|wh_main_emp_empire_qb3|wh_main_emp_empire_qb4|wh_main_emp_empire_rebels|wh_main_emp_empire_separatists|wh_main_emp_hochland|wh_main_emp_marienburg|wh_main_emp_marienburg_rebels|wh_main_emp_middenland|wh_main_emp_nordland|wh_main_emp_ostermark|wh_main_emp_ostland|wh_main_emp_stirland|wh_main_emp_talabecland|wh_main_emp_wissenland,false,false,true,true,true,false,,,wh3_dlc25_skill_node_set_emp_engineer,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_engineer_combat_0,wh2_dlc11_skill_all_lord_self_survivalist,Survivalist,The enemy's fear; their blood spilt in the mud – these are the things that sustain me.,character_health.png,0,3,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_engineer_combat_0
