record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc13_emp_cha_markus_wulfhart
node_set,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_markus_wulfhart,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc13_skill_node_set_markus_wulfhart
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_markus_wulfhart,,1,general,false,false,,,,wh2_dlc13_skill_emp_wulfhart_unique_0,wh2_dlc13_skill_emp_wulfhart_unique_0,Best of the Best,Karl Franz's Captain of Scouts is the very best in his field; a hunter truly without peer.,character_experience.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_emp_wulfhart_unique_0
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_markus_wulfhart,,1,general,false,false,,,,wh2_dlc13_skill_emp_wulfhart_unique_0,wh2_dlc13_skill_emp_wulfhart_unique_0,Best of the Best,Karl Franz's Captain of Scouts is the very best in his field; a hunter truly without peer.,character_experience.png,0,1,0,0,true,0,1,1,Best of the Best,Karl Franz's Captain of Scouts is the very best in his field; a hunter truly without peer.,9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc13_skill_emp_wulfhart_unique_0|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_markus_wulfhart,,1,general,false,false,,,,wh2_dlc13_skill_emp_wulfhart_unique_0,wh2_dlc13_skill_emp_wulfhart_unique_0,Best of the Best,Karl Franz's Captain of Scouts is the very best in his field; a hunter truly without peer.,character_experience.png,0,1,0,0,true,0,1,1,Best of the Best,Karl Franz's Captain of Scouts is the very best in his field; a hunter truly without peer.,,,,,,wh_main_effect_force_all_campaign_experience_base_all,Recruit rank: %+n for all units,,character_to_character_own,2,campaign,117,true,experience.png,experience.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc13_skill_emp_wulfhart_unique_0|wh_main_effect_force_all_campaign_experience_base_all|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_markus_wulfhart,,1,general,false,false,,,,wh2_dlc13_skill_emp_wulfhart_ranged_0,wh2_dlc13_skill_emp_wulfhart_ranged_0,Focused Shot,There’s no need to rush when your target has little prospect of escape.,character_cooldown.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_emp_wulfhart_ranged_0
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_markus_wulfhart,,1,general,false,false,,,,wh2_dlc13_skill_emp_wulfhart_ranged_0,wh2_dlc13_skill_emp_wulfhart_ranged_0,Focused Shot,There’s no need to rush when your target has little prospect of escape.,character_cooldown.png,0,2,0,0,true,0,1,1,Focused Shot,There’s no need to rush when your target has little prospect of escape.,,,,,,wh2_dlc13_wulfhart_killing_shot_cooldown,"Cooldown: %+n% to ""Focused Shot""",,character_to_character_own,-25,battle,60,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc13_skill_emp_wulfhart_ranged_0|wh2_dlc13_wulfhart_killing_shot_cooldown|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_markus_wulfhart,,1,general,false,false,,,,wh_dlc13_skill_node_emp_wulfhart_self_01,wh_main_skill_all_all_self_hard_to_hit_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},character_defence.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc13_skill_node_emp_wulfhart_self_01
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_markus_wulfhart,,1,general,false,false,,,,wh_dlc13_skill_node_emp_wulfhart_self_01,wh_main_skill_all_all_self_hard_to_hit_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},character_defence.png,0,3,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},,,,,,wh_main_effect_character_stat_melee_defence,Melee defence: %+n,,character_to_character_own,5,both,150,true,defence_character.png,defence_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_all_self_hard_to_hit_starter|wh_main_effect_character_stat_melee_defence|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Markus Wulfhart,Markus_Wulfhart,legendary_lord,wh2_dlc13_emp_cha_markus_wulfhart,general,general,wh2_dlc13_emp_the_huntmarshals_expedition,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_markus_wulfhart,,1,general,false,false,,,,wh_dlc13_skill_node_emp_wulfhart_battle_01,wh_main_skill_all_lord_battle_inspiring_presence,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",battle_morale.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc13_skill_node_emp_wulfhart_battle_01
