record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc23_neu_ulrika
node_set,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,wh3_dlc23_skill_node_set_ksl_ulrika,,1,wizard,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc23_skill_node_set_ksl_ulrika
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,wh3_dlc23_skill_node_set_ksl_ulrika,,1,wizard,false,false,,,,wh3_dlc23_skill_node_ksl_ulrika_unique_01,wh3_dlc23_skill_ksl_ulrika_unique_warhorse,Barded Warhorse,"The finest horses in the Old World, bred for their endurance and fiery temperament, barded for further protection.",mount_barded_warhorse.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc23_skill_node_ksl_ulrika_unique_01
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,wh3_dlc23_skill_node_set_ksl_ulrika,,1,wizard,false,false,,,,wh3_dlc23_skill_node_ksl_ulrika_unique_01,wh3_dlc23_skill_ksl_ulrika_unique_warhorse,Barded Warhorse,"The finest horses in the Old World, bred for their endurance and fiery temperament, barded for further protection.",mount_barded_warhorse.png,0,0,0,0,true,0,1,1,Barded Warhorse,"The finest horses in the Old World, bred for their endurance and fiery temperament, barded for further protection.",17,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc23_skill_ksl_ulrika_unique_warhorse|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,wh3_dlc23_skill_node_set_ksl_ulrika,,1,wizard,false,false,,,,wh3_dlc23_skill_node_ksl_ulrika_unique_01,wh3_dlc23_skill_ksl_ulrika_unique_warhorse,Barded Warhorse,"The finest horses in the Old World, bred for their endurance and fiery temperament, barded for further protection.",mount_barded_warhorse.png,0,0,0,0,true,0,1,1,Barded Warhorse,"The finest horses in the Old World, bred for their endurance and fiery temperament, barded for further protection.",,,,,,wh_main_effect_enable_mount_barded_warhorse,Mount: Barded Warhorse,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_ksl_ulrika_unique_warhorse|wh_main_effect_enable_mount_barded_warhorse|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,wh3_dlc23_skill_node_set_ksl_ulrika,,1,wizard,false,false,,,,wh3_dlc23_skill_node_ksl_ulrika_unique_01,wh3_dlc23_skill_ksl_ulrika_unique_warhorse,Barded Warhorse,"The finest horses in the Old World, bred for their endurance and fiery temperament, barded for further protection.",mount_barded_warhorse.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc23_anc_mount_ksl_ulrika_warhorse,Barded Warhorse,wh_main_anc_mount_barded_warhorse,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_dlc23_skill_ksl_ulrika_unique_warhorse|wh3_dlc23_anc_mount_ksl_ulrika_warhorse|1
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,wh3_dlc23_skill_node_set_ksl_ulrika,,1,wizard,false,false,,,,wh3_dlc23_skill_ksl_ulrika_unique_0,wh3_dlc23_skill_ksl_ulrika_unique_0,Blight of the Skaven,"Those filthy, craven ratmen hold no fear for Ulrika. In fact, she is a plague on their kind, wiping their stain from the land at every given opportunity.",wh3_dlc23_character_abilities_sword_dance.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc23_skill_ksl_ulrika_unique_0
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,wh3_dlc23_skill_node_set_ksl_ulrika,,1,wizard,false,false,,,,wh3_dlc23_skill_ksl_ulrika_unique_0,wh3_dlc23_skill_ksl_ulrika_unique_0,Blight of the Skaven,"Those filthy, craven ratmen hold no fear for Ulrika. In fact, she is a plague on their kind, wiping their stain from the land at every given opportunity.",wh3_dlc23_character_abilities_sword_dance.png,0,1,0,0,true,0,1,1,Blight of the Skaven,"Those filthy, craven ratmen hold no fear for Ulrika. In fact, she is a plague on their kind, wiping their stain from the land at every given opportunity.",13,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc23_skill_ksl_ulrika_unique_0|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,wh3_dlc23_skill_node_set_ksl_ulrika,,1,wizard,false,false,,,,wh3_dlc23_skill_ksl_ulrika_unique_0,wh3_dlc23_skill_ksl_ulrika_unique_0,Blight of the Skaven,"Those filthy, craven ratmen hold no fear for Ulrika. In fact, she is a plague on their kind, wiping their stain from the land at every given opportunity.",wh3_dlc23_character_abilities_sword_dance.png,0,1,0,0,true,0,1,1,Blight of the Skaven,"Those filthy, craven ratmen hold no fear for Ulrika. In fact, she is a plague on their kind, wiping their stain from the land at every given opportunity.",,,,,,wh_main_effect_force_army_campaign_ambush_defence_success_chance,Ambush defence chance: %+n%,,agent_to_parent_army_own,25,campaign,110,true,icon_effects_ambush.png,icon_effects_ambush.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_ksl_ulrika_unique_0|wh_main_effect_force_army_campaign_ambush_defence_success_chance|1|agent_to_parent_army_own
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Ulrika,Ulrika,hero,wh3_dlc23_neu_ulrika,wizard,wizard,wh2_dlc13_emp_golden_order|wh2_dlc13_emp_the_huntmarshals_expedition|wh3_main_emp_cult_of_sigmar|wh3_main_ksl_kislev|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ursun_revivalists|wh_main_emp_empire,false,true,true,false,false,true,wh_dlc05_lore_shadows,,wh3_dlc23_skill_node_set_ksl_ulrika,,1,wizard,false,false,,,,wh3_dlc23_skill_ksl_ulrika_unique_0,wh3_dlc23_skill_ksl_ulrika_unique_0,Blight of the Skaven,"Those filthy, craven ratmen hold no fear for Ulrika. In fact, she is a plague on their kind, wiping their stain from the land at every given opportunity.",wh3_dlc23_character_abilities_sword_dance.png,0,1,0,0,true,0,1,1,Blight of the Skaven,"Those filthy, craven ratmen hold no fear for Ulrika. In fact, she is a plague on their kind, wiping their stain from the land at every given opportunity.",,,,,,wh_main_effect_general_mod_tunnel_interception_chance,"Chance of intercepting an army using {{tr:ui_text_replacements_localised_text_tunnelling_stance}}, beast-paths or Worldroots: %+n%",,agent_to_parent_army_general_own,20,campaign,101,true,subterranean.png,subterranean.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc23_skill_ksl_ulrika_unique_0|wh_main_effect_general_mod_tunnel_interception_chance|1|agent_to_parent_army_general_own
