record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc13_emp_hunter_jorek_grimm
node_set,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_unique_01,wh2_dlc13_skill_emp_jorek_unique_resourceful,Resourceful,"Jorek is a highly-skilled Engineer, capable of seeking out and making the best use of the resources available to him.",character_trade.png,0,0,0,0,true,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_node_emp_hunter_jorek_unique_01
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_unique_01,wh2_dlc13_skill_emp_jorek_unique_resourceful,Resourceful,"Jorek is a highly-skilled Engineer, capable of seeking out and making the best use of the resources available to him.",character_trade.png,0,0,0,0,true,9,1,1,Resourceful,"Jorek is a highly-skilled Engineer, capable of seeking out and making the best use of the resources available to him.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc13_skill_emp_jorek_unique_resourceful|1|||
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_unique_01,wh2_dlc13_skill_emp_jorek_unique_resourceful,Resourceful,"Jorek is a highly-skilled Engineer, capable of seeking out and making the best use of the resources available to him.",character_trade.png,0,0,0,0,true,9,1,1,Resourceful,"Jorek is a highly-skilled Engineer, capable of seeking out and making the best use of the resources available to him.",,,,,,wh_main_effect_economy_trade_good_commodity_mod,Tradable resources produced: %+n%,,character_to_faction,10,campaign,102,true,trade_agreement.png,trade_agreement.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc13_skill_emp_jorek_unique_resourceful|wh_main_effect_economy_trade_good_commodity_mod|1|character_to_faction
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_unique_01,wh2_dlc13_skill_emp_jorek_unique_resourceful,Resourceful,"Jorek is a highly-skilled Engineer, capable of seeking out and making the best use of the resources available to him.",character_trade.png,0,0,0,0,true,9,1,1,Resourceful,"Jorek is a highly-skilled Engineer, capable of seeking out and making the best use of the resources available to him.",,,,,,wh_main_effect_economy_trade_tariff_mod,Income from trade tariffs: %+n%,,character_to_faction_unseen,15,campaign,101,true,income.png,income.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc13_skill_emp_jorek_unique_resourceful|wh_main_effect_economy_trade_tariff_mod|1|character_to_faction_unseen
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_self_01,wh2_dlc17_skill_dwf_master_engineer_restock,Break Open the Casks!,Dwarfen craftsmanship ensures any weapon is infinitely more likely to run out of ammunition before succumbing to the stress of battle!,character_cooldown.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_node_emp_hunter_jorek_self_01
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_self_01,wh2_dlc17_skill_dwf_master_engineer_restock,Break Open the Casks!,Dwarfen craftsmanship ensures any weapon is infinitely more likely to run out of ammunition before succumbing to the stress of battle!,character_cooldown.png,0,1,0,0,true,0,1,1,Break Open the Casks!,Dwarfen craftsmanship ensures any weapon is infinitely more likely to run out of ammunition before succumbing to the stress of battle!,,,,,,wh2_dlc17_effect_ability_cooldown_restock,"Cooldown: %+n% for ""Restock!""",,character_to_character_own,-15,battle,60,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc17_skill_dwf_master_engineer_restock|wh2_dlc17_effect_ability_cooldown_restock|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_self_01,wh2_dlc17_skill_dwf_master_engineer_restock,Break Open the Casks!,Dwarfen craftsmanship ensures any weapon is infinitely more likely to run out of ammunition before succumbing to the stress of battle!,character_cooldown.png,0,1,0,0,true,0,1,1,Break Open the Casks!,Dwarfen craftsmanship ensures any weapon is infinitely more likely to run out of ammunition before succumbing to the stress of battle!,,,,,,wh2_dlc17_effect_ability_uses_restock,"Ability number of uses: %+n for ""Restock!""",,character_to_character_own,1,battle,705,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc17_skill_dwf_master_engineer_restock|wh2_dlc17_effect_ability_uses_restock|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_self_07,wh_main_skill_dwf_engineer_self_dead_eye,Dead Eye,A dead eye shot is an Engineer or Thunderer that can hit a target at over five hundred (Dwarfen) paces.,character_range.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_node_emp_hunter_jorek_self_07
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_self_07,wh_main_skill_dwf_engineer_self_dead_eye,Dead Eye,A dead eye shot is an Engineer or Thunderer that can hit a target at over five hundred (Dwarfen) paces.,character_range.png,0,2,0,0,true,0,1,1,Dead Eye,A dead eye shot is an Engineer or Thunderer that can hit a target at over five hundred (Dwarfen) paces.,,,,,,wh_main_effect_character_stat_range,Range: %+n%,,character_to_character_own,15,both,230,true,accuracy_character.png,accuracy_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_dwf_engineer_self_dead_eye|wh_main_effect_character_stat_range|1|character_to_character_own
skill_lock,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_self_07,wh_main_skill_dwf_engineer_self_dead_eye,Dead Eye,A dead eye shot is an Engineer or Thunderer that can hit a target at over five hundred (Dwarfen) paces.,character_range.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh2_dlc17_skill_dwf_master_engineer_grudge_raker,Grudge-Raker,1,,,,,,,,character_skill_nodes_skill_locks_tables,wh2_dlc13_skill_node_emp_hunter_jorek_self_07|wh2_dlc17_skill_dwf_master_engineer_grudge_raker|1
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_hunter_jorek_self_12,wh2_dlc17_skill_dwf_master_engineer_grudge_raker,Grudge-Raker,"With this double-barreled, pellet-spewing device, one can riddle a single target or blast a swathe into oncoming troops.",character_ammo.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_emp_hunter_jorek_self_12
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_hunter_jorek_self_12,wh2_dlc17_skill_dwf_master_engineer_grudge_raker,Grudge-Raker,"With this double-barreled, pellet-spewing device, one can riddle a single target or blast a swathe into oncoming troops.",character_ammo.png,0,3,0,0,true,0,1,1,Grudge-Raker,"With this double-barreled, pellet-spewing device, one can riddle a single target or blast a swathe into oncoming troops.",,,,,,wh2_dlc17_projectile_replacement_master_engineer_grudge_raker,Grudge Raker ammunition (decreased range and increased number of projectiles),,character_to_character_own,1,battle,1,true,ammo_character.png,ammo_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc17_skill_dwf_master_engineer_grudge_raker|wh2_dlc17_projectile_replacement_master_engineer_grudge_raker|1|character_to_character_own
skill_lock,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh3_dlc25_skill_node_emp_hunter_jorek_self_12,wh2_dlc17_skill_dwf_master_engineer_grudge_raker,Grudge-Raker,"With this double-barreled, pellet-spewing device, one can riddle a single target or blast a swathe into oncoming troops.",character_ammo.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh_main_skill_dwf_engineer_self_dead_eye,Dead Eye,1,,,,,,,,character_skill_nodes_skill_locks_tables,wh3_dlc25_skill_node_emp_hunter_jorek_self_12|wh_main_skill_dwf_engineer_self_dead_eye|1
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_campaign_01,wh2_main_skill_all_hero_assist_army_increase_mobility,{{tr:agent_action_name_increase_mobility}},"Whether it be training harder, travelling lighter, eating less or sleeping better, there's always a way to draw more from the day.",campaign_movement.png,0,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_node_emp_hunter_jorek_campaign_01
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_jorek_grimm,hero,wh2_dlc13_emp_hunter_jorek_grimm,engineer,engineer,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0,,1,engineer,false,false,,,,wh2_dlc13_skill_node_emp_hunter_jorek_campaign_01,wh2_main_skill_all_hero_assist_army_increase_mobility,{{tr:agent_action_name_increase_mobility}},"Whether it be training harder, travelling lighter, eating less or sleeping better, there's always a way to draw more from the day.",campaign_movement.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_increase_mobility}},"Whether it be training harder, travelling lighter, eating less or sleeping better, there's always a way to draw more from the day.",4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_increase_mobility|2|||
