record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc13_emp_hunter_rodrik_l_anguille
node_set,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0,,1,champion,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0,,1,champion,false,false,,,,wh2_dlc13_skill_node_emp_hunter_rodrik_unique_02,wh_main_skill_all_spy_self_fleet-footed,Fleet-Footed,Those who are fleet of foot can reach the enemy faster.,character_speed.png,0,0,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_node_emp_hunter_rodrik_unique_02
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0,,1,champion,false,false,,,,wh2_dlc13_skill_node_emp_hunter_rodrik_unique_02,wh_main_skill_all_spy_self_fleet-footed,Fleet-Footed,Those who are fleet of foot can reach the enemy faster.,character_speed.png,0,0,0,0,true,0,3,1,Fleet-Footed,Those who are fleet of foot can reach the enemy faster.,,,,,,wh_main_effect_character_stat_speed,Speed: %+n%,,character_to_character_own,3,both,120,true,battle_movement_character.png,battle_movement_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_spy_self_fleet-footed|wh_main_effect_character_stat_speed|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0,,1,champion,false,false,,,,wh2_dlc13_skill_node_emp_hunter_rodrik_unique_02,wh_main_skill_all_spy_self_fleet-footed,Fleet-Footed,Those who are fleet of foot can reach the enemy faster.,character_speed.png,0,0,0,0,true,0,3,2,Fleet-Footed,Those who are fleet of foot can reach the enemy faster.,,,,,,wh_main_effect_character_stat_speed,Speed: %+n%,,character_to_character_own,8,both,120,true,battle_movement_character.png,battle_movement_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_spy_self_fleet-footed|wh_main_effect_character_stat_speed|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0,,1,champion,false,false,,,,wh2_dlc13_skill_node_emp_hunter_rodrik_unique_02,wh_main_skill_all_spy_self_fleet-footed,Fleet-Footed,Those who are fleet of foot can reach the enemy faster.,character_speed.png,0,0,0,0,true,0,3,3,Fleet-Footed,Those who are fleet of foot can reach the enemy faster.,,,,,,wh_main_effect_character_stat_speed,Speed: %+n%,,character_to_character_own,15,both,120,true,battle_movement_character.png,battle_movement_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_spy_self_fleet-footed|wh_main_effect_character_stat_speed|3|character_to_character_own
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0,,1,champion,false,false,,,,wh2_dlc13_skill_node_emp_hunter_rodrik_self_01,wh_main_skill_all_all_self_blade_master_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_blade_master}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_blade_master}},character_attack.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_node_emp_hunter_rodrik_self_01
effect,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0,,1,champion,false,false,,,,wh2_dlc13_skill_node_emp_hunter_rodrik_self_01,wh_main_skill_all_all_self_blade_master_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_blade_master}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_blade_master}},character_attack.png,0,1,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_blade_master}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_blade_master}},,,,,,wh_main_effect_character_stat_melee_attack,Melee attack: %+n,,character_to_character_own,5,both,130,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_all_self_blade_master_starter|wh_main_effect_character_stat_melee_attack|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0,,1,champion,false,false,,,,wh2_dlc13_skill_node_emp_hunter_rodrik_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_node_emp_hunter_rodrik_campaign_01
skill_level,warhammer_3,8.1.1,24237342,Empire,empire,wh_main_sc_emp_empire,Wulfhart's Hunter,Wulfhart_s_Hunter__hunter_rodrik_l_anguille,hero,wh2_dlc13_emp_hunter_rodrik_l_anguille,champion,champion,wh2_dlc13_emp_the_huntmarshals_expedition,false,true,true,false,false,false,,,wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0,,1,champion,false,false,,,,wh2_dlc13_skill_node_emp_hunter_rodrik_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_training|2|||
