record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_cp1_cth_bhashiva
node_set,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,wh3_cp1_skill_node_set_cth_bhashiva,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_cp1_skill_node_set_cth_bhashiva
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,wh3_cp1_skill_node_set_cth_bhashiva,,1,general,false,false,,,,wh3_cp1_skill_node_cth_bhashiva_unique_0,wh3_cp1_skill_cth_bhashiva_unique_0,Desert Tigress,Western Cathay’s far-flung deserts gave Bhashiva's ancestral line a place to hone its ways and bring forth the world’s most resilient desert warrior.,campaign_movement.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_bhashiva_unique_0
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,wh3_cp1_skill_node_set_cth_bhashiva,,1,general,false,false,,,,wh3_cp1_skill_node_cth_bhashiva_unique_0,wh3_cp1_skill_cth_bhashiva_unique_0,Desert Tigress,Western Cathay’s far-flung deserts gave Bhashiva's ancestral line a place to hone its ways and bring forth the world’s most resilient desert warrior.,campaign_movement.png,0,1,0,0,true,0,1,1,Desert Tigress,Western Cathay’s far-flung deserts gave Bhashiva's ancestral line a place to hone its ways and bring forth the world’s most resilient desert warrior.,11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_cp1_skill_cth_bhashiva_unique_0|1|||
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,wh3_cp1_skill_node_set_cth_bhashiva,,1,general,false,false,,,,wh3_cp1_skill_node_cth_bhashiva_unique_0,wh3_cp1_skill_cth_bhashiva_unique_0,Desert Tigress,Western Cathay’s far-flung deserts gave Bhashiva's ancestral line a place to hone its ways and bring forth the world’s most resilient desert warrior.,campaign_movement.png,0,1,0,0,true,0,1,1,Desert Tigress,Western Cathay’s far-flung deserts gave Bhashiva's ancestral line a place to hone its ways and bring forth the world’s most resilient desert warrior.,,,,,,wh_main_effect_character_wound_recovery_time_mod,Wound recovery time: %+n turns,,character_to_character_own,-2,campaign,101,false,wound_time.png,wound_time.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_cp1_skill_cth_bhashiva_unique_0|wh_main_effect_character_wound_recovery_time_mod|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,wh3_cp1_skill_node_set_cth_bhashiva,,1,general,false,false,,,,wh3_cp1_skill_node_cth_bhashiva_unique_0,wh3_cp1_skill_cth_bhashiva_unique_0,Desert Tigress,Western Cathay’s far-flung deserts gave Bhashiva's ancestral line a place to hone its ways and bring forth the world’s most resilient desert warrior.,campaign_movement.png,0,1,0,0,true,0,1,1,Desert Tigress,Western Cathay’s far-flung deserts gave Bhashiva's ancestral line a place to hone its ways and bring forth the world’s most resilient desert warrior.,,,,,,wh3_cp1_effect_ability_cooldown_ferocious_ambush,"Cooldown: %+n% to ""Ferocious Ambush""",,character_to_character_own,-30,battle,302,false,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_cp1_skill_cth_bhashiva_unique_0|wh3_cp1_effect_ability_cooldown_ferocious_ambush|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,wh3_cp1_skill_node_set_cth_bhashiva,,1,general,false,false,,,,wh3_cp1_skill_node_cth_bhashiva_unique_0,wh3_cp1_skill_cth_bhashiva_unique_0,Desert Tigress,Western Cathay’s far-flung deserts gave Bhashiva's ancestral line a place to hone its ways and bring forth the world’s most resilient desert warrior.,campaign_movement.png,0,1,0,0,true,0,1,1,Desert Tigress,Western Cathay’s far-flung deserts gave Bhashiva's ancestral line a place to hone its ways and bring forth the world’s most resilient desert warrior.,,,,,,wh3_main_effect_force_all_campaign_movement_range_post_battle_win,Replenishes %n% campaign movement range after winning a battle,,character_to_character_own,25,campaign,13,true,campaign_movement.png,campaign_movement.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_cp1_skill_cth_bhashiva_unique_0|wh3_main_effect_force_all_campaign_movement_range_post_battle_win|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,wh3_cp1_skill_node_set_cth_bhashiva,,1,general,false,false,,,,wh3_cp1_skill_node_cth_bhashiva_combat_0,wh_main_skill_all_all_self_hard_to_hit_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},character_defence.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_bhashiva_combat_0
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,wh3_cp1_skill_node_set_cth_bhashiva,,1,general,false,false,,,,wh3_cp1_skill_node_cth_bhashiva_combat_0,wh_main_skill_all_all_self_hard_to_hit_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},character_defence.png,0,2,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},,,,,,wh_main_effect_character_stat_melee_defence,Melee defence: %+n,,character_to_character_own,5,both,150,true,defence_character.png,defence_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_all_self_hard_to_hit_starter|wh_main_effect_character_stat_melee_defence|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Bhashiva,Bhashiva,legendary_lord,wh3_cp1_cth_bhashiva,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,false,,legendary_lords,wh3_cp1_skill_node_set_cth_bhashiva,,1,general,false,false,,,,wh3_cp1_skill_node_cth_bhashiva_army_0,wh_main_skill_all_lord_battle_inspiring_presence,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",battle_morale.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_bhashiva_army_0
