record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_cp1_cth_clawspeaker_life
node_set,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_cp1_skill_node_set_cth_clawspeaker_life
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_unique_0,wh3_cp1_skill_cth_clawspeaker_life_unique_0,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},campaign_movement.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_clawspeaker_life_unique_0
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_unique_0,wh3_cp1_skill_cth_clawspeaker_life_unique_0,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},campaign_movement.png,0,1,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_cp1_skill_cth_clawspeaker_life_unique_0|1|||
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_unique_0,wh3_cp1_skill_cth_clawspeaker_life_unique_0,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},campaign_movement.png,0,1,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_1}},,,,,,wh_main_effect_agent_movement_range_mod,Campaign movement range: %+n%,{{tr:campaign_movement_range_additional_tooltip}},character_to_character_own,10,campaign,100,true,campaign_movement.png,campaign_movement.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_cp1_skill_cth_clawspeaker_life_unique_0|wh_main_effect_agent_movement_range_mod|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_magic_0,wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood,Awakening of the Wood,"Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.",wh_dlc05_spell_life_awakening_of_the_wood.png,0,3,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_clawspeaker_life_magic_0
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_magic_0,wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood,Awakening of the Wood,"Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.",wh_dlc05_spell_life_awakening_of_the_wood.png,0,3,0,0,true,0,2,1,Awakening of the Wood,"Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.",,,,,,wh_dlc05_effect_ability_cooldown_awakening_of_the_wood,"Cooldown: %+n% to ""Awakening of the Wood""",,character_to_character_own,-30,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood|wh_dlc05_effect_ability_cooldown_awakening_of_the_wood|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_magic_0,wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood,Awakening of the Wood,"Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.",wh_dlc05_spell_life_awakening_of_the_wood.png,0,3,0,0,true,0,2,1,Awakening of the Wood,"Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.",,,,,,wh_dlc05_effect_ability_enable_awakening_of_the_wood,"Spell: ""Awakening of the Wood""",,character_to_character_own,1,battle,290,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood|wh_dlc05_effect_ability_enable_awakening_of_the_wood|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_magic_0,wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood,Awakening of the Wood,"Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.",wh_dlc05_spell_life_awakening_of_the_wood.png,0,3,0,0,true,0,2,2,Awakening of the Wood,"Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.",,,,,,wh_dlc05_effect_ability_cooldown_awakening_of_the_wood,"Cooldown: %+n% to ""Awakening of the Wood""",,character_to_character_own,-50,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood|wh_dlc05_effect_ability_cooldown_awakening_of_the_wood|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_magic_0,wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood,Awakening of the Wood,"Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.",wh_dlc05_spell_life_awakening_of_the_wood.png,0,3,0,0,true,0,2,2,Awakening of the Wood,"Trees live for thousands of years and have very long memories. When called to fight, centuries of pent-up wrath are unleashed.",,,,,,wh_dlc05_effect_ability_enable_awakening_of_the_wood,"Spell: ""Awakening of the Wood""",,character_to_character_own,1,battle,290,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood|wh_dlc05_effect_ability_enable_awakening_of_the_wood|2|character_to_character_own
