record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_main_cth_dragon_blooded_shugengan_yang
node_set,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang,,1,general,false,false,,,,wh3_main_skill_node_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse,wh3_main_skill_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,mount_warhorse.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang,,1,general,false,false,,,,wh3_main_skill_node_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse,wh3_main_skill_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,mount_warhorse.png,0,0,0,0,true,0,1,1,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse|1|||
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang,,1,general,false,false,,,,wh3_main_skill_node_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse,wh3_main_skill_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,mount_warhorse.png,0,0,0,0,true,0,1,1,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,,,,,,wh_main_effect_enable_mount_warhorse,Mount: Warhorse,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse|wh_main_effect_enable_mount_warhorse|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang,,1,general,false,false,,,,wh3_main_skill_node_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse,wh3_main_skill_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,mount_warhorse.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_main_anc_mount_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse,Warhorse,wh_main_anc_mount_warhorse,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_main_skill_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse|wh3_main_anc_mount_cth_dragon_blooded_shugengan_lord_yang_mount_warhorse|1
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang,,1,general,false,false,,,,wh3_main_skill_node_cth_dragon_blooded_shugengan_yang_unique_0,wh3_main_skill_cth_dragon_blooded_shugengan_yang_unique_0,Dragon-Blooded Strength,"The descendants of the Dragons, though few in number, are a strong and formidable presence among the military ranks of the Celestial Armies.",character_attack.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_cth_dragon_blooded_shugengan_yang_unique_0
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang,,1,general,false,false,,,,wh3_main_skill_node_cth_dragon_blooded_shugengan_yang_unique_0,wh3_main_skill_cth_dragon_blooded_shugengan_yang_unique_0,Dragon-Blooded Strength,"The descendants of the Dragons, though few in number, are a strong and formidable presence among the military ranks of the Celestial Armies.",character_attack.png,0,1,0,0,true,0,1,1,Dragon-Blooded Strength,"The descendants of the Dragons, though few in number, are a strong and formidable presence among the military ranks of the Celestial Armies.",12,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_cth_dragon_blooded_shugengan_yang_unique_0|1|||
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang,,1,general,false,false,,,,wh3_main_skill_node_cth_dragon_blooded_shugengan_yang_unique_0,wh3_main_skill_cth_dragon_blooded_shugengan_yang_unique_0,Dragon-Blooded Strength,"The descendants of the Dragons, though few in number, are a strong and formidable presence among the military ranks of the Celestial Armies.",character_attack.png,0,1,0,0,true,0,1,1,Dragon-Blooded Strength,"The descendants of the Dragons, though few in number, are a strong and formidable presence among the military ranks of the Celestial Armies.",,,,,,wh_main_effect_character_stat_charge_bonus_add,Charge bonus: %+n,,character_to_character_own,20,both,200,true,charge_character.png,charge_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_cth_dragon_blooded_shugengan_yang_unique_0|wh_main_effect_character_stat_charge_bonus_add|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Dragon-Blooded Shugengan Lord (Yang),Dragon_Blooded_Shugengan_Lord_Yang,lord,wh3_main_cth_dragon_blooded_shugengan_yang,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,wh3_main_lore_of_yang,wh3_main_cth_dragon_blooded_shugengan,wh3_main_skill_node_set_cth_dragon_blooded_shugengan_yang,,1,general,false,false,,,,wh3_main_skill_node_cth_dragon_blooded_shugengan_yang_unique_0,wh3_main_skill_cth_dragon_blooded_shugengan_yang_unique_0,Dragon-Blooded Strength,"The descendants of the Dragons, though few in number, are a strong and formidable presence among the military ranks of the Celestial Armies.",character_attack.png,0,1,0,0,true,0,1,1,Dragon-Blooded Strength,"The descendants of the Dragons, though few in number, are a strong and formidable presence among the military ranks of the Celestial Armies.",,,,,,wh_main_effect_character_stat_melee_attack,Melee attack: %+n,,character_to_character_own,6,both,130,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_cth_dragon_blooded_shugengan_yang_unique_0|wh_main_effect_character_stat_melee_attack|1|character_to_character_own
