record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_main_cth_miao_ying
node_set,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_cth_miao_ying,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_main_skill_node_set_cth_miao_ying
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_cth_miao_ying,,1,general,false,false,,,,wh3_main_skill_node_cth_miao_ying_generic_0,wh3_main_skill_cth_all_unique_magic_resist,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,character_ward_save.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_cth_miao_ying_generic_0
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_cth_miao_ying,,1,general,false,false,,,,wh3_main_skill_node_cth_miao_ying_generic_0,wh3_main_skill_cth_all_unique_magic_resist,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,character_ward_save.png,0,0,0,0,true,0,1,1,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,6,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_cth_all_unique_magic_resist|1|||
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_cth_miao_ying,,1,general,false,false,,,,wh3_main_skill_node_cth_miao_ying_generic_0,wh3_main_skill_cth_all_unique_magic_resist,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,character_ward_save.png,0,0,0,0,true,0,1,1,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,,,,,,wh_main_effect_character_stat_magic_resistance,Spell resistance: %n%,"Spell Resistance. Damage of [[img:ui/skins/default/modifier_icon_magical.png]][[/img]]spells and magical abilities is reduced by this amount, up to a maximum of 90%",character_to_character_own,10,both,280,true,resistance_magic.png,resistance_magic.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_cth_all_unique_magic_resist|wh_main_effect_character_stat_magic_resistance|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_cth_miao_ying,,1,general,false,false,,,,wh3_main_skill_node_cth_miao_ying_unique_0,wh3_main_skill_cth_miao_ying_unique_06,Aura of Majesty,,wh3_main_aura_of_majesty.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_cth_miao_ying_unique_0
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_cth_miao_ying,,1,general,false,false,,,,wh3_main_skill_node_cth_miao_ying_unique_0,wh3_main_skill_cth_miao_ying_unique_06,Aura of Majesty,,wh3_main_aura_of_majesty.png,0,1,0,0,true,0,1,1,Aura of Majesty,,11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_cth_miao_ying_unique_06|1|||
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_cth_miao_ying,,1,general,false,false,,,,wh3_main_skill_node_cth_miao_ying_unique_0,wh3_main_skill_cth_miao_ying_unique_06,Aura of Majesty,,wh3_main_aura_of_majesty.png,0,1,0,0,true,0,1,1,Aura of Majesty,,,,,,,wh3_main_effect_ability_enable_aura_of_majesty,"Passive ability: ""Aura of Majesty""",,character_to_force_own_dragon_form,1,battle,310,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_cth_miao_ying_unique_06|wh3_main_effect_ability_enable_aura_of_majesty|1|character_to_force_own_dragon_form
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_cth_miao_ying,,1,general,false,false,,,,wh3_main_skill_node_cth_miao_ying_combat_0,wh_main_skill_all_all_self_hard_to_hit_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},character_defence.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_cth_miao_ying_combat_0
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Miao Ying,Miao_Ying,legendary_lord,wh3_main_cth_miao_ying,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_main_skill_node_set_cth_miao_ying,,1,general,false,false,,,,wh3_main_skill_node_cth_miao_ying_combat_0,wh_main_skill_all_all_self_hard_to_hit_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},character_defence.png,0,2,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_hard_to_hit}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_hard_to_hit}},,,,,,wh_main_effect_character_stat_melee_defence,Melee defence: %+n,,character_to_character_own,5,both,150,true,defence_character.png,defence_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_all_self_hard_to_hit_starter|wh_main_effect_character_stat_melee_defence|1|character_to_character_own
