record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_cp1_cth_cha_taoyan
node_set,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,wh3_cp1_skill_node_set_cth_taoyan_the_merciless,,1,champion,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_cp1_skill_node_set_cth_taoyan_the_merciless
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,wh3_cp1_skill_node_set_cth_taoyan_the_merciless,,1,champion,false,false,,,,wh3_cp1_skill_node_cth_taoyan_unique_0,wh3_cp1_skill_cth_taoyan_unique_0,{{tr:unit_abilities_onscreen_name_wh3_cp1_character_passive_fuelled_by_vengeance}},{{tr:unit_abilities_tooltip_text_wh3_cp1_character_passive_fuelled_by_vengeance}},character_general_ability.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_taoyan_unique_0
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,wh3_cp1_skill_node_set_cth_taoyan_the_merciless,,1,champion,false,false,,,,wh3_cp1_skill_node_cth_taoyan_unique_0,wh3_cp1_skill_cth_taoyan_unique_0,{{tr:unit_abilities_onscreen_name_wh3_cp1_character_passive_fuelled_by_vengeance}},{{tr:unit_abilities_tooltip_text_wh3_cp1_character_passive_fuelled_by_vengeance}},character_general_ability.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_cp1_character_passive_fuelled_by_vengeance}},{{tr:unit_abilities_tooltip_text_wh3_cp1_character_passive_fuelled_by_vengeance}},11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_cp1_skill_cth_taoyan_unique_0|1|||
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,wh3_cp1_skill_node_set_cth_taoyan_the_merciless,,1,champion,false,false,,,,wh3_cp1_skill_node_cth_taoyan_unique_0,wh3_cp1_skill_cth_taoyan_unique_0,{{tr:unit_abilities_onscreen_name_wh3_cp1_character_passive_fuelled_by_vengeance}},{{tr:unit_abilities_tooltip_text_wh3_cp1_character_passive_fuelled_by_vengeance}},character_general_ability.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_cp1_character_passive_fuelled_by_vengeance}},{{tr:unit_abilities_tooltip_text_wh3_cp1_character_passive_fuelled_by_vengeance}},,,,,,wh3_cp1_effect_ability_enable_fuelled_by_vengeance,"Passive ability: ""{{tr:unit_abilities_onscreen_name_wh3_cp1_character_passive_fuelled_by_vengeance}}""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_cp1_skill_cth_taoyan_unique_0|wh3_cp1_effect_ability_enable_fuelled_by_vengeance|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,wh3_cp1_skill_node_set_cth_taoyan_the_merciless,,1,champion,false,false,,,,wh3_cp1_skill_node_cth_taoyan_combat_0,wh_main_skill_all_all_self_blade_master_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_blade_master}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_blade_master}},character_attack.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_taoyan_combat_0
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,wh3_cp1_skill_node_set_cth_taoyan_the_merciless,,1,champion,false,false,,,,wh3_cp1_skill_node_cth_taoyan_combat_0,wh_main_skill_all_all_self_blade_master_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_blade_master}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_blade_master}},character_attack.png,0,2,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_blade_master}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_blade_master}},,,,,,wh_main_effect_character_stat_melee_attack,Melee attack: %+n,,character_to_character_own,5,both,130,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_all_self_blade_master_starter|wh_main_effect_character_stat_melee_attack|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,wh3_cp1_skill_node_set_cth_taoyan_the_merciless,,1,champion,false,false,,,,wh3_cp1_skill_node_cth_taoyan_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_taoyan_campaign_01
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,wh3_cp1_skill_node_set_cth_taoyan_the_merciless,,1,champion,false,false,,,,wh3_cp1_skill_node_cth_taoyan_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_training|2|||
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Taoyan,Taoyan,hero,wh3_cp1_cth_cha_taoyan,champion,champion,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,true,true,false,false,false,,,wh3_cp1_skill_node_set_cth_taoyan_the_merciless,,1,champion,false,false,,,,wh3_cp1_skill_node_cth_taoyan_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,3,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_training|3|||
