record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc24_cth_yuan_bo
node_set,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_dlc24_skill_node_set_cth_yuan_bo,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc24_skill_node_set_cth_yuan_bo
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_dlc24_skill_node_set_cth_yuan_bo,,1,general,false,false,,,,wh3_dlc24_skill_node_cth_yuan_bo_unique_1,wh3_dlc24_skill_cth_yuan_bo_unique_1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",character_magic.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc24_skill_node_cth_yuan_bo_unique_1
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_dlc24_skill_node_set_cth_yuan_bo,,1,general,false,false,,,,wh3_dlc24_skill_node_cth_yuan_bo_unique_1,wh3_dlc24_skill_cth_yuan_bo_unique_1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",character_magic.png,0,1,0,0,true,0,1,1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc24_skill_cth_yuan_bo_unique_1|1|||
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_dlc24_skill_node_set_cth_yuan_bo,,1,general,false,false,,,,wh3_dlc24_skill_node_cth_yuan_bo_unique_1,wh3_dlc24_skill_cth_yuan_bo_unique_1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",character_magic.png,0,1,0,0,true,0,1,1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",,,,,,wh2_dlc12_effect_magic_cooldown_all_lores,Cooldown: %+n% to all spells,,force_to_force_own_lords_army,-20,battle,60,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc24_skill_cth_yuan_bo_unique_1|wh2_dlc12_effect_magic_cooldown_all_lores|1|force_to_force_own_lords_army
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_dlc24_skill_node_set_cth_yuan_bo,,1,general,false,false,,,,wh3_dlc24_skill_node_cth_yuan_bo_unique_1,wh3_dlc24_skill_cth_yuan_bo_unique_1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",character_magic.png,0,1,0,0,true,0,1,1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",,,,,,wh3_dlc24_faction_xp_increase_generals_cth_shugengan,Lord recruit rank: %+n for Dragon-blooded Shugengan,,faction_to_province_own_factionwide,5,campaign,51,true,army.png,army.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc24_skill_cth_yuan_bo_unique_1|wh3_dlc24_faction_xp_increase_generals_cth_shugengan|1|faction_to_province_own_factionwide
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_dlc24_skill_node_set_cth_yuan_bo,,1,general,false,false,,,,wh3_dlc24_skill_node_cth_yuan_bo_unique_1,wh3_dlc24_skill_cth_yuan_bo_unique_1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",character_magic.png,0,1,0,0,true,0,1,1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",,,,,,wh3_dlc24_faction_xp_increase_generals_cth_shugengan_hidden,,,faction_to_force_own_unseen,5,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc24_skill_cth_yuan_bo_unique_1|wh3_dlc24_faction_xp_increase_generals_cth_shugengan_hidden|1|faction_to_force_own_unseen
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_dlc24_skill_node_set_cth_yuan_bo,,1,general,false,false,,,,wh3_dlc24_skill_node_cth_yuan_bo_unique_1,wh3_dlc24_skill_cth_yuan_bo_unique_1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",character_magic.png,0,1,0,0,true,0,1,1,Celestial Administration,"The Celestial Court controls the Wizards of Cathay… and one never plays their best cards too soon, or for the benefit of others.",,,,,,wh3_main_effect_agent_recruitment_xp_cth_astromancer,Hero recruit rank: %+n for Astromancers,,faction_to_province_own_factionwide,5,campaign,104,true,astromancer.png,astromancer.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc24_skill_cth_yuan_bo_unique_1|wh3_main_effect_agent_recruitment_xp_cth_astromancer|1|faction_to_province_own_factionwide
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_dlc24_skill_node_set_cth_yuan_bo,,1,general,false,false,,,,wh3_dlc24_skill_node_cth_yuan_bo_combat_0,wh3_dlc24_skill_cth_yuan_bo_personal_combat_unique_1,Judge,Order is what separates us from the dark hordes of Chaos.,campaign_skulls.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc24_skill_node_cth_yuan_bo_combat_0
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Yuan Bo,Yuan_Bo,legendary_lord,wh3_dlc24_cth_yuan_bo,general,general,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,true,false,true,true,false,true,,legendary_lords,wh3_dlc24_skill_node_set_cth_yuan_bo,,1,general,false,false,,,,wh3_dlc24_skill_node_cth_yuan_bo_combat_0,wh3_dlc24_skill_cth_yuan_bo_personal_combat_unique_1,Judge,Order is what separates us from the dark hordes of Chaos.,campaign_skulls.png,0,2,0,0,true,0,1,1,Judge,Order is what separates us from the dark hordes of Chaos.,,,,,,wh3_dlc20_effect_scale_hidden,Increases model scale,,character_to_character_own,0.05,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc24_skill_cth_yuan_bo_personal_combat_unique_1|wh3_dlc20_effect_scale_hidden|1|character_to_character_own
