record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc15_grn_river_troll_hag
node_set,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,wh2_dlc15_skill_node_set_grn_river_troll_hag,,1,runesmith,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc15_skill_node_set_grn_river_troll_hag
node,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,wh2_dlc15_skill_node_set_grn_river_troll_hag,,1,runesmith,false,false,,,,wh3_main_skill_grn_river_troll_hag_unique_starter,wh3_main_skill_grn_river_troll_hag_unique_starter,Foul Diet,"What goes down, must come up!",character_cooldown.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_grn_river_troll_hag_unique_starter
skill_level,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,wh2_dlc15_skill_node_set_grn_river_troll_hag,,1,runesmith,false,false,,,,wh3_main_skill_grn_river_troll_hag_unique_starter,wh3_main_skill_grn_river_troll_hag_unique_starter,Foul Diet,"What goes down, must come up!",character_cooldown.png,0,1,0,0,true,0,1,1,Foul Diet,"What goes down, must come up!",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_grn_river_troll_hag_unique_starter|1|||
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,wh2_dlc15_skill_node_set_grn_river_troll_hag,,1,runesmith,false,false,,,,wh3_main_skill_grn_river_troll_hag_unique_starter,wh3_main_skill_grn_river_troll_hag_unique_starter,Foul Diet,"What goes down, must come up!",character_cooldown.png,0,1,0,0,true,0,1,1,Foul Diet,"What goes down, must come up!",,,,,,wh3_main_effect_ability_cooldown_swamp_breath,"Cooldown: %+n% to ""Swamp Breath""",,character_to_character_own,-50,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_grn_river_troll_hag_unique_starter|wh3_main_effect_ability_cooldown_swamp_breath|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,wh2_dlc15_skill_node_set_grn_river_troll_hag,,1,runesmith,false,false,,,,wh3_main_skill_grn_river_troll_hag_unique_starter,wh3_main_skill_grn_river_troll_hag_unique_starter,Foul Diet,"What goes down, must come up!",character_cooldown.png,0,1,0,0,true,0,1,1,Foul Diet,"What goes down, must come up!",,,,,,wh3_main_effect_ability_uses_swamp_breath,"Ability number of uses: %+n for ""Swamp Breath""",,character_to_character_own,3,battle,301,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_grn_river_troll_hag_unique_starter|wh3_main_effect_ability_uses_swamp_breath|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,wh2_dlc15_skill_node_set_grn_river_troll_hag,,1,runesmith,false,false,,,,wh2_dlc15_skill_node_grn_river_troll_hag_combat_0,wh_dlc15_skill_all_all_self_horrid_mass,Horrid Mass,"Truly despicable to behold, this creature deflects blows with its turgid body.",character_health.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc15_skill_node_grn_river_troll_hag_combat_0
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,wh2_dlc15_skill_node_set_grn_river_troll_hag,,1,runesmith,false,false,,,,wh2_dlc15_skill_node_grn_river_troll_hag_combat_0,wh_dlc15_skill_all_all_self_horrid_mass,Horrid Mass,"Truly despicable to behold, this creature deflects blows with its turgid body.",character_health.png,0,2,0,0,true,0,1,1,Horrid Mass,"Truly despicable to behold, this creature deflects blows with its turgid body.",,,,,,wh_main_effect_character_stat_leadership,Leadership: %+n,,character_to_character_own,5,both,110,true,morale_character.png,morale_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc15_skill_all_all_self_horrid_mass|wh_main_effect_character_stat_leadership|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,wh2_dlc15_skill_node_set_grn_river_troll_hag,,1,runesmith,false,false,,,,wh2_dlc15_skill_node_grn_river_troll_hag_combat_0,wh_dlc15_skill_all_all_self_horrid_mass,Horrid Mass,"Truly despicable to behold, this creature deflects blows with its turgid body.",character_health.png,0,2,0,0,true,0,1,1,Horrid Mass,"Truly despicable to behold, this creature deflects blows with its turgid body.",,,,,,wh_main_effect_character_stat_unit_health,Hit points: %+n%,,character_to_character_own,3,both,90,true,health_character.png,health_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_dlc15_skill_all_all_self_horrid_mass|wh_main_effect_character_stat_unit_health|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Greenskins,greenskins,wh_main_sc_grn_greenskins,Giant River Troll Hag,Giant_River_Troll_Hag,hero,wh2_dlc15_grn_river_troll_hag,runesmith,runesmith,wh2_dlc12_grn_leaf_cutterz_tribe|wh2_dlc13_grn_greenskins_invasion|wh2_dlc14_grn_red_cloud|wh2_dlc15_grn_bonerattlaz|wh2_dlc15_grn_broken_axe|wh2_dlc15_grn_skull_crag|wh2_dlc16_grn_creeping_death|wh2_dlc16_grn_naggaroth_orcs|wh2_main_grn_arachnos|wh3_dlc24_grn_chaos_dwarfs_labourer_rebels|wh3_dlc26_grn_cluster_eye_tribe|wh3_dlc26_grn_gorbad_ironclaw|wh3_main_grn_da_cage_breakaz|wh3_main_grn_dark_land_orcs|wh3_main_grn_drippin_fangs|wh3_main_grn_moon_howlerz|wh3_main_grn_slaves_of_zharr|wh3_main_grn_tusked_sunz|wh_main_grn_black_venom|wh_main_grn_bloody_spearz|wh_main_grn_broken_nose|wh_main_grn_crooked_moon|wh_main_grn_greenskins|wh_main_grn_greenskins_qb1|wh_main_grn_greenskins_qb2|wh_main_grn_greenskins_qb3|wh_main_grn_greenskins_qb4|wh_main_grn_greenskins_rebels|wh_main_grn_necksnappers|wh_main_grn_orcs_of_the_bloody_hand|wh_main_grn_red_eye|wh_main_grn_red_fangs|wh_main_grn_scabby_eye|wh_main_grn_skullsmasherz|wh_main_grn_teef_snatchaz,false,false,true,true,true,true,,,wh2_dlc15_skill_node_set_grn_river_troll_hag,,1,runesmith,false,false,,,,wh_dlc15_skill_node_grn_river_troll_hag_magic1_01,wh_main_skill_all_magic_death_01_spirit_leech,Spirit Leech,,wh_main_spell_death_spirit_leech.png,0,3,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc15_skill_node_grn_river_troll_hag_magic1_01
