record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc10_hef_alith_anar
node_set,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_hef_alith_anar,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc10_skill_node_set_hef_alith_anar
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_hef_alith_anar,,1,general,false,false,,,,wh2_dlc10_skill_node_hef_alith_anar_unique_0,wh2_dlc10_skill_hef_alith_anar_unique_revenant,Revenant,"An unseen force, returned to take vengeance on those who have wronged the loyal folk of Nagarythe.",causes_fear.png,0,1,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc10_skill_node_hef_alith_anar_unique_0
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_hef_alith_anar,,1,general,false,false,,,,wh2_dlc10_skill_node_hef_alith_anar_unique_0,wh2_dlc10_skill_hef_alith_anar_unique_revenant,Revenant,"An unseen force, returned to take vengeance on those who have wronged the loyal folk of Nagarythe.",causes_fear.png,0,1,0,0,true,11,1,1,Revenant,"An unseen force, returned to take vengeance on those who have wronged the loyal folk of Nagarythe.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc10_skill_hef_alith_anar_unique_revenant|1|||
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_hef_alith_anar,,1,general,false,false,,,,wh2_dlc10_skill_node_hef_alith_anar_unique_0,wh2_dlc10_skill_hef_alith_anar_unique_revenant,Revenant,"An unseen force, returned to take vengeance on those who have wronged the loyal folk of Nagarythe.",causes_fear.png,0,1,0,0,true,11,1,1,Revenant,"An unseen force, returned to take vengeance on those who have wronged the loyal folk of Nagarythe.",,,,,,wh_main_effect_attribute_enable_causes_fear,Attribute: Causes Fear,,character_to_character_own,1,both,320,true,attribute_causes_fear.png,attribute_causes_fear.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc10_skill_hef_alith_anar_unique_revenant|wh_main_effect_attribute_enable_causes_fear|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_hef_alith_anar,,1,general,false,false,,,,wh2_dlc10_skill_node_hef_alith_anar_unique_0,wh2_dlc10_skill_hef_alith_anar_unique_revenant,Revenant,"An unseen force, returned to take vengeance on those who have wronged the loyal folk of Nagarythe.",causes_fear.png,0,1,0,0,true,11,1,1,Revenant,"An unseen force, returned to take vengeance on those who have wronged the loyal folk of Nagarythe.",,,,,,wh_main_effect_force_stat_leadership_enemy_unit,Enemy leadership: %+n,,general_to_force_enemy_regionwide,-4,battle,411,false,morale.png,morale.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc10_skill_hef_alith_anar_unique_revenant|wh_main_effect_force_stat_leadership_enemy_unit|1|general_to_force_enemy_regionwide
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_hef_alith_anar,,1,general,false,false,,,,wh2_dlc10_skill_node_hef_alith_anar_combat_0,wh2_main_skill_hef_seeking_arrows,Seeking Arrows,These enchanted arrows have been carefully crafted from the pale-wooded trees that grow near the Grove of Avelorn.,character_range.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc10_skill_node_hef_alith_anar_combat_0
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_hef_alith_anar,,1,general,false,false,,,,wh2_dlc10_skill_node_hef_alith_anar_combat_0,wh2_main_skill_hef_seeking_arrows,Seeking Arrows,These enchanted arrows have been carefully crafted from the pale-wooded trees that grow near the Grove of Avelorn.,character_range.png,0,2,0,0,true,0,1,1,Seeking Arrows,These enchanted arrows have been carefully crafted from the pale-wooded trees that grow near the Grove of Avelorn.,,,,,,wh_main_effect_character_stat_ap_missile_damage,Armour-piercing missile damage: %+n%,,character_to_character_own,20,both,250,true,armour_piercing_character.png,armour_piercing_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_hef_seeking_arrows|wh_main_effect_character_stat_ap_missile_damage|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_hef_alith_anar,,1,general,false,false,,,,wh2_dlc10_skill_node_hef_alith_anar_combat_0,wh2_main_skill_hef_seeking_arrows,Seeking Arrows,These enchanted arrows have been carefully crafted from the pale-wooded trees that grow near the Grove of Avelorn.,character_range.png,0,2,0,0,true,0,1,1,Seeking Arrows,These enchanted arrows have been carefully crafted from the pale-wooded trees that grow near the Grove of Avelorn.,,,,,,wh_main_effect_character_stat_range,Range: %+n%,,character_to_character_own,3,both,230,true,accuracy_character.png,accuracy_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_hef_seeking_arrows|wh_main_effect_character_stat_range|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Alith Anar,Alith_Anar,legendary_lord,wh2_dlc10_hef_alith_anar,general,general,wh2_main_hef_nagarythe,true,false,true,true,false,false,,legendary_lords,wh2_dlc10_skill_node_set_hef_alith_anar,,1,general,false,false,,,,wh2_dlc10_skill_node_hef_alith_anar_army_0,wh_main_skill_all_lord_battle_inspiring_presence,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",battle_morale.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc10_skill_node_hef_alith_anar_army_0
