record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc27_hef_caradryan
node_set,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,wh3_dlc27_skill_node_set_hef_caradryan,,1,champion,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc27_skill_node_set_hef_caradryan
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,wh3_dlc27_skill_node_set_hef_caradryan,,1,champion,false,false,,,,wh3_dlc27_skill_node_hef_caradryan_mount_1,wh3_dlc27_skill_hef_caradryan_mount_barded_ithilmar_steed,Barded Ithilmar Steed,{{tr:ancillaries_colour_text_wh2_dlc10_anc_mount_hef_alarielle_barded_ithilmar_steed}},mount_barded_ithilmar_steed.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_hef_caradryan_mount_1
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,wh3_dlc27_skill_node_set_hef_caradryan,,1,champion,false,false,,,,wh3_dlc27_skill_node_hef_caradryan_mount_1,wh3_dlc27_skill_hef_caradryan_mount_barded_ithilmar_steed,Barded Ithilmar Steed,{{tr:ancillaries_colour_text_wh2_dlc10_anc_mount_hef_alarielle_barded_ithilmar_steed}},mount_barded_ithilmar_steed.png,0,0,0,0,true,0,1,1,Barded Ithilmar Steed,{{tr:ancillaries_colour_text_wh2_dlc10_anc_mount_hef_alarielle_barded_ithilmar_steed}},3,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_hef_caradryan_mount_barded_ithilmar_steed|1|||
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,wh3_dlc27_skill_node_set_hef_caradryan,,1,champion,false,false,,,,wh3_dlc27_skill_node_hef_caradryan_mount_1,wh3_dlc27_skill_hef_caradryan_mount_barded_ithilmar_steed,Barded Ithilmar Steed,{{tr:ancillaries_colour_text_wh2_dlc10_anc_mount_hef_alarielle_barded_ithilmar_steed}},mount_barded_ithilmar_steed.png,0,0,0,0,true,0,1,1,Barded Ithilmar Steed,{{tr:ancillaries_colour_text_wh2_dlc10_anc_mount_hef_alarielle_barded_ithilmar_steed}},,,,,,wh2_main_effect_enable_mount_hef_barded_ithilmar_steed,Mount: Barded Ithilmar Steed,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_hef_caradryan_mount_barded_ithilmar_steed|wh2_main_effect_enable_mount_hef_barded_ithilmar_steed|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,wh3_dlc27_skill_node_set_hef_caradryan,,1,champion,false,false,,,,wh3_dlc27_skill_node_hef_caradryan_mount_1,wh3_dlc27_skill_hef_caradryan_mount_barded_ithilmar_steed,Barded Ithilmar Steed,{{tr:ancillaries_colour_text_wh2_dlc10_anc_mount_hef_alarielle_barded_ithilmar_steed}},mount_barded_ithilmar_steed.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc27_anc_mount_hef_caradryan_steed,Barded Ithilmar Steed,wh2_main_anc_mount_barded_ithilmar_steed,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_dlc27_skill_hef_caradryan_mount_barded_ithilmar_steed|wh3_dlc27_anc_mount_hef_caradryan_steed|1
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,wh3_dlc27_skill_node_set_hef_caradryan,,1,champion,false,false,,,,wh3_dlc27_skill_node_hef_caradryan_unique_0,wh3_dlc27_skill_hef_caradryan_witness_to_destiny,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},character_morale.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_hef_caradryan_unique_0
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,wh3_dlc27_skill_node_set_hef_caradryan,,1,champion,false,false,,,,wh3_dlc27_skill_node_hef_caradryan_unique_0,wh3_dlc27_skill_hef_caradryan_witness_to_destiny,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},character_morale.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},7,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_hef_caradryan_witness_to_destiny|1|||
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,wh3_dlc27_skill_node_set_hef_caradryan,,1,champion,false,false,,,,wh3_dlc27_skill_node_hef_caradryan_unique_0,wh3_dlc27_skill_hef_caradryan_witness_to_destiny,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},character_morale.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},,,,,,wh3_dlc27_effect_ability_enable_captain_of_the_phoenix_guard,"Ability: ""Captain of the Phoenix Guard""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_hef_caradryan_witness_to_destiny|wh3_dlc27_effect_ability_enable_captain_of_the_phoenix_guard|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Caradryan,Caradryan,hero,wh3_dlc27_hef_caradryan,champion,champion,wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_eataine|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_yvresse|wh3_dlc27_hef_aislinn,false,true,true,false,false,false,,,wh3_dlc27_skill_node_set_hef_caradryan,,1,champion,false,false,,,,wh3_dlc27_skill_node_hef_caradryan_unique_0,wh3_dlc27_skill_hef_caradryan_witness_to_destiny,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},character_morale.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_abilities_captain_of_the_phoenix_guard}},,,,,,wh3_dlc27_effect_skill_upkeep_melee_infantry_hef,Upkeep: %+n% for Melee infantry units,,character_to_force_own_alt_text,-10,campaign,105,false,military_spending.png,military_spending.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_hef_caradryan_witness_to_destiny|wh3_dlc27_effect_skill_upkeep_melee_infantry_hef|1|character_to_force_own_alt_text
