record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc27_hef_aislinn
node_set,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_hef_aislinn,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc27_skill_node_set_hef_aislinn
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_hef_aislinn,,1,general,false,false,,,,wh3_dlc27_skill_node_hef_aislinn_unique_1,wh3_dlc27_skill_hef_aislinn_unique_1,The Pernicious,"Those who cross the Sea Lord of Ulthuan rarely survive unscathed, if at all.",character_disaster.png,0,1,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_hef_aislinn_unique_1
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_hef_aislinn,,1,general,false,false,,,,wh3_dlc27_skill_node_hef_aislinn_unique_1,wh3_dlc27_skill_hef_aislinn_unique_1,The Pernicious,"Those who cross the Sea Lord of Ulthuan rarely survive unscathed, if at all.",character_disaster.png,0,1,0,0,true,11,1,1,The Pernicious,"Those who cross the Sea Lord of Ulthuan rarely survive unscathed, if at all.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_hef_aislinn_unique_1|1|||
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_hef_aislinn,,1,general,false,false,,,,wh3_dlc27_skill_node_hef_aislinn_unique_1,wh3_dlc27_skill_hef_aislinn_unique_1,The Pernicious,"Those who cross the Sea Lord of Ulthuan rarely survive unscathed, if at all.",character_disaster.png,0,1,0,0,true,11,1,1,The Pernicious,"Those who cross the Sea Lord of Ulthuan rarely survive unscathed, if at all.",,,,,,wh_main_effect_force_army_campaign_siege_attack_attrition,Attrition suffered by defender: %+n% when laying siege or encircling,,general_to_force_enemy_regionwide,50,campaign,101,true,attrition.png,attrition.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_hef_aislinn_unique_1|wh_main_effect_force_army_campaign_siege_attack_attrition|1|general_to_force_enemy_regionwide
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_hef_aislinn,,1,general,false,false,,,,wh3_dlc27_skill_node_hef_aislinn_unique_1,wh3_dlc27_skill_hef_aislinn_unique_1,The Pernicious,"Those who cross the Sea Lord of Ulthuan rarely survive unscathed, if at all.",character_disaster.png,0,1,0,0,true,11,1,1,The Pernicious,"Those who cross the Sea Lord of Ulthuan rarely survive unscathed, if at all.",,,,,,wh_main_effect_force_stat_leadership_enemy_unit,Enemy leadership: %+n,,general_to_force_enemy_regionwide,-5,battle,411,false,morale.png,morale.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_hef_aislinn_unique_1|wh_main_effect_force_stat_leadership_enemy_unit|1|general_to_force_enemy_regionwide
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_hef_aislinn,,1,general,false,false,,,,wh3_dlc27_skill_node_hef_aislinn_unique_1,wh3_dlc27_skill_hef_aislinn_unique_1,The Pernicious,"Those who cross the Sea Lord of Ulthuan rarely survive unscathed, if at all.",character_disaster.png,0,1,0,0,true,11,1,1,The Pernicious,"Those who cross the Sea Lord of Ulthuan rarely survive unscathed, if at all.",,,,,,wh2_dlc11_effect_force_all_enemy_campaign_replenishment_rate,Enemy casualty replenishment rate: %+n%,{{tr:replenishment_additional_tooltip}},character_to_force_enemy_provincewide,-20,campaign,101,false,replenishment.png,replenishment.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_hef_aislinn_unique_1|wh2_dlc11_effect_force_all_enemy_campaign_replenishment_rate|1|character_to_force_enemy_provincewide
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_hef_aislinn,,1,general,false,false,,,,wh3_dlc27_skill_node_hef_aislinn_personal_1,wh3_dlc27_skill_hef_aislinn_unique_vicious_fighter,Vicious Fighter,"In contrast to the enemy’s savagery and blind bloodlust, Aislinn commands fear through a measured, contemptuous application of force.",unyielding_assault.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_hef_aislinn_personal_1
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_hef_aislinn,,1,general,false,false,,,,wh3_dlc27_skill_node_hef_aislinn_personal_1,wh3_dlc27_skill_hef_aislinn_unique_vicious_fighter,Vicious Fighter,"In contrast to the enemy’s savagery and blind bloodlust, Aislinn commands fear through a measured, contemptuous application of force.",unyielding_assault.png,0,2,0,0,true,0,1,1,Vicious Fighter,"In contrast to the enemy’s savagery and blind bloodlust, Aislinn commands fear through a measured, contemptuous application of force.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_hef_aislinn_unique_vicious_fighter|1|||
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Sea Lord Aislinn,Sea_Lord_Aislinn,legendary_lord,wh3_dlc27_hef_aislinn,general,general,wh3_dlc27_hef_aislinn,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_hef_aislinn,,1,general,false,false,,,,wh3_dlc27_skill_node_hef_aislinn_personal_1,wh3_dlc27_skill_hef_aislinn_unique_vicious_fighter,Vicious Fighter,"In contrast to the enemy’s savagery and blind bloodlust, Aislinn commands fear through a measured, contemptuous application of force.",unyielding_assault.png,0,2,0,0,true,0,1,1,Vicious Fighter,"In contrast to the enemy’s savagery and blind bloodlust, Aislinn commands fear through a measured, contemptuous application of force.",,,,,,wh_main_effect_character_stat_melee_attack,Melee attack: %+n,,character_to_character_own,12,both,130,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_hef_aislinn_unique_vicious_fighter|wh_main_effect_character_stat_melee_attack|1|character_to_character_own
