record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_main_hef_teclis
node_set,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_hef_teclis,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_main_skill_node_set_hef_teclis
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_hef_teclis,,1,general,false,false,,,,wh2_main_skill_node_hef_teclis_generic_4,wh2_main_skill_hef_teclis_sublime_focus,Sublime Focus,"The utmost concentration, the greatest attention to detail, are required if the world is to be saved from the destructive madness of the Ruinous Ones.",character_magic.png,0,1,0,0,true,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_hef_teclis_generic_4
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_hef_teclis,,1,general,false,false,,,,wh2_main_skill_node_hef_teclis_generic_4,wh2_main_skill_hef_teclis_sublime_focus,Sublime Focus,"The utmost concentration, the greatest attention to detail, are required if the world is to be saved from the destructive madness of the Ruinous Ones.",character_magic.png,0,1,0,0,true,6,1,1,Sublime Focus,"The utmost concentration, the greatest attention to detail, are required if the world is to be saved from the destructive madness of the Ruinous Ones.",6,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_hef_teclis_sublime_focus|1|||
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_hef_teclis,,1,general,false,false,,,,wh2_main_skill_node_hef_teclis_generic_4,wh2_main_skill_hef_teclis_sublime_focus,Sublime Focus,"The utmost concentration, the greatest attention to detail, are required if the world is to be saved from the destructive madness of the Ruinous Ones.",character_magic.png,0,1,0,0,true,6,1,1,Sublime Focus,"The utmost concentration, the greatest attention to detail, are required if the world is to be saved from the destructive madness of the Ruinous Ones.",,,,,,wh_main_effect_character_stat_miscast,Miscast base chance: %+n%,,character_to_character_own,-30,battle,298,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_hef_teclis_sublime_focus|wh_main_effect_character_stat_miscast|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_hef_teclis,,1,general,false,false,,,,wh2_main_skill_node_hef_teclis_generic_4,wh2_main_skill_hef_teclis_sublime_focus,Sublime Focus,"The utmost concentration, the greatest attention to detail, are required if the world is to be saved from the destructive madness of the Ruinous Ones.",character_magic.png,0,1,0,0,true,6,1,1,Sublime Focus,"The utmost concentration, the greatest attention to detail, are required if the world is to be saved from the destructive madness of the Ruinous Ones.",,,,,,wh3_main_effect_winds_of_magic_pool_cap,Winds of Magic power reserve capacity: %+n,,character_to_force_own_unseen,5,campaign,390,true,magic_campaign.png,magic_campaign.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_hef_teclis_sublime_focus|wh3_main_effect_winds_of_magic_pool_cap|1|character_to_force_own_unseen
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_hef_teclis,,1,general,false,false,,,,wh2_main_skill_node_hef_teclis_magic_0,wh2_main_skill_magic_dark_flock_of_doom_teclis,Flock of Doom,"With a mighty bellow, the caster invokes Corvus the Crow Lord, summoning his servants to peck at the foe's eyes.",wh_dlc03_spell_beasts_flock_of_doom.png,0,2,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_hef_teclis_magic_0
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_hef_teclis,,1,general,false,false,,,,wh2_main_skill_node_hef_teclis_magic_0,wh2_main_skill_magic_dark_flock_of_doom_teclis,Flock of Doom,"With a mighty bellow, the caster invokes Corvus the Crow Lord, summoning his servants to peck at the foe's eyes.",wh_dlc03_spell_beasts_flock_of_doom.png,0,2,0,0,true,0,2,1,Flock of Doom,"With a mighty bellow, the caster invokes Corvus the Crow Lord, summoning his servants to peck at the foe's eyes.",,,,,,wh_dlc03_effect_ability_cooldown_flock_of_doom,"Cooldown: %+n% to ""Flock of Doom""",,character_to_character_own,-30,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_magic_dark_flock_of_doom_teclis|wh_dlc03_effect_ability_cooldown_flock_of_doom|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_hef_teclis,,1,general,false,false,,,,wh2_main_skill_node_hef_teclis_magic_0,wh2_main_skill_magic_dark_flock_of_doom_teclis,Flock of Doom,"With a mighty bellow, the caster invokes Corvus the Crow Lord, summoning his servants to peck at the foe's eyes.",wh_dlc03_spell_beasts_flock_of_doom.png,0,2,0,0,true,0,2,1,Flock of Doom,"With a mighty bellow, the caster invokes Corvus the Crow Lord, summoning his servants to peck at the foe's eyes.",,,,,,wh2_main_effect_ability_overcast_flock_of_doom,"Overcast spell: ""Flock of Doom Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_magic_dark_flock_of_doom_teclis|wh2_main_effect_ability_overcast_flock_of_doom|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Teclis,Teclis,legendary_lord,wh2_main_hef_teclis,general,general,wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_order_of_loremasters|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn_confederation_owner,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_hef_teclis,,1,general,false,false,,,,wh2_main_skill_node_hef_teclis_magic_0,wh2_main_skill_magic_dark_flock_of_doom_teclis,Flock of Doom,"With a mighty bellow, the caster invokes Corvus the Crow Lord, summoning his servants to peck at the foe's eyes.",wh_dlc03_spell_beasts_flock_of_doom.png,0,2,0,0,true,0,2,2,Flock of Doom,"With a mighty bellow, the caster invokes Corvus the Crow Lord, summoning his servants to peck at the foe's eyes.",,,,,,wh_dlc03_effect_ability_cooldown_flock_of_doom,"Cooldown: %+n% to ""Flock of Doom""",,character_to_character_own,-50,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_magic_dark_flock_of_doom_teclis|wh_dlc03_effect_ability_cooldown_flock_of_doom|2|character_to_character_own
