record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc26_kho_arbaal_the_undefeated
node_set,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated,,1,general,false,false,,,,wh3_dlc26_skill_node_kho_arbaal_mount_flesh_hound,wh3_dlc26_skill_mount_kho_arbaal_flesh_hound,{{tr:ancillaries_onscreen_name_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},{{tr:ancillaries_colour_text_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},mount_flesh_hound.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc26_skill_node_kho_arbaal_mount_flesh_hound
skill_level,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated,,1,general,false,false,,,,wh3_dlc26_skill_node_kho_arbaal_mount_flesh_hound,wh3_dlc26_skill_mount_kho_arbaal_flesh_hound,{{tr:ancillaries_onscreen_name_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},{{tr:ancillaries_colour_text_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},mount_flesh_hound.png,0,0,0,0,true,0,1,1,{{tr:ancillaries_onscreen_name_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},{{tr:ancillaries_colour_text_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc26_skill_mount_kho_arbaal_flesh_hound|1|||
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated,,1,general,false,false,,,,wh3_dlc26_skill_node_kho_arbaal_mount_flesh_hound,wh3_dlc26_skill_mount_kho_arbaal_flesh_hound,{{tr:ancillaries_onscreen_name_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},{{tr:ancillaries_colour_text_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},mount_flesh_hound.png,0,0,0,0,true,0,1,1,{{tr:ancillaries_onscreen_name_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},{{tr:ancillaries_colour_text_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},,,,,,wh3_dlc25_effect_enable_mount_flesh_hound,Mount: Flesh Hound of Khorne,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_skill_mount_kho_arbaal_flesh_hound|wh3_dlc25_effect_enable_mount_flesh_hound|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated,,1,general,false,false,,,,wh3_dlc26_skill_node_kho_arbaal_mount_flesh_hound,wh3_dlc26_skill_mount_kho_arbaal_flesh_hound,{{tr:ancillaries_onscreen_name_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},{{tr:ancillaries_colour_text_wh3_dlc26_anc_mount_kho_arbaal_flesh_hound}},mount_flesh_hound.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc26_anc_mount_kho_arbaal_flesh_hound,Flesh Hound of Khorne,wh3_dlc26_anc_mount_kho_arbaal_flesh_hound,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_dlc26_skill_mount_kho_arbaal_flesh_hound|wh3_dlc26_anc_mount_kho_arbaal_flesh_hound|1
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated,,1,general,false,false,,,,wh3_dlc26_skill_node_kho_arbaal_unique_1,wh3_dlc26_skill_kho_arbaal_unique_1,{{tr:unit_abilities_onscreen_name_wh3_dlc26_lord_abilities_eye_of_khorne}},{{tr:unit_abilities_tooltip_text_wh3_dlc26_lord_abilities_eye_of_khorne}},wh3_dlc26_lord_abilities_eye_of_khorne.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc26_skill_node_kho_arbaal_unique_1
skill_level,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated,,1,general,false,false,,,,wh3_dlc26_skill_node_kho_arbaal_unique_1,wh3_dlc26_skill_kho_arbaal_unique_1,{{tr:unit_abilities_onscreen_name_wh3_dlc26_lord_abilities_eye_of_khorne}},{{tr:unit_abilities_tooltip_text_wh3_dlc26_lord_abilities_eye_of_khorne}},wh3_dlc26_lord_abilities_eye_of_khorne.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc26_lord_abilities_eye_of_khorne}},{{tr:unit_abilities_tooltip_text_wh3_dlc26_lord_abilities_eye_of_khorne}},11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc26_skill_kho_arbaal_unique_1|1|||
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated,,1,general,false,false,,,,wh3_dlc26_skill_node_kho_arbaal_unique_1,wh3_dlc26_skill_kho_arbaal_unique_1,{{tr:unit_abilities_onscreen_name_wh3_dlc26_lord_abilities_eye_of_khorne}},{{tr:unit_abilities_tooltip_text_wh3_dlc26_lord_abilities_eye_of_khorne}},wh3_dlc26_lord_abilities_eye_of_khorne.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc26_lord_abilities_eye_of_khorne}},{{tr:unit_abilities_tooltip_text_wh3_dlc26_lord_abilities_eye_of_khorne}},,,,,,wh_main_effect_force_army_campaign_enable_replenishment_in_foreign_territory,Enables replenishment in foreign territory,,general_to_force_own,1,campaign,5,true,replenishment.png,replenishment.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_skill_kho_arbaal_unique_1|wh_main_effect_force_army_campaign_enable_replenishment_in_foreign_territory|1|general_to_force_own
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Arbaal the Undefeated,Arbaal_the_Undefeated,legendary_lord,wh3_dlc26_kho_arbaal_the_undefeated,general,general,wh3_dlc26_kho_arbaal,true,false,true,true,false,false,,legendary_lords,wh3_dlc26_skill_node_set_kho_arbaal_the_undefeated,,1,general,false,false,,,,wh3_dlc26_skill_node_kho_arbaal_unique_1,wh3_dlc26_skill_kho_arbaal_unique_1,{{tr:unit_abilities_onscreen_name_wh3_dlc26_lord_abilities_eye_of_khorne}},{{tr:unit_abilities_tooltip_text_wh3_dlc26_lord_abilities_eye_of_khorne}},wh3_dlc26_lord_abilities_eye_of_khorne.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc26_lord_abilities_eye_of_khorne}},{{tr:unit_abilities_tooltip_text_wh3_dlc26_lord_abilities_eye_of_khorne}},,,,,,wh3_dlc26_effect_ability_enable_eye_of_khorne,"Ability: ""Eye of Khorne!""",,character_to_character_own,1,battle,310,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_skill_kho_arbaal_unique_1|wh3_dlc26_effect_ability_enable_eye_of_khorne|1|character_to_character_own
