record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_pro12_kho_cha_karanak
node_set,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_pro12_kho_cha_karanak
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_1_1,wh3_pro12_skill_kho_karanak_personal_1_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_talon_of_the_skull_throne}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_talon_of_the_skull_throne}},character_general_ability.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_pro12_skill_node_kho_karanak_personal_1_1
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_1_1,wh3_pro12_skill_kho_karanak_personal_1_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_talon_of_the_skull_throne}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_talon_of_the_skull_throne}},character_general_ability.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_talon_of_the_skull_throne}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_talon_of_the_skull_throne}},,,,,,wh3_main_effect_character_stat_melee_attack_attacking,Melee attack: %+n when attacking,,character_to_character_own,8,battle,131,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_pro12_skill_kho_karanak_personal_1_1|wh3_main_effect_character_stat_melee_attack_attacking|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_1_1,wh3_pro12_skill_kho_karanak_personal_1_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_talon_of_the_skull_throne}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_talon_of_the_skull_throne}},character_general_ability.png,0,1,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_talon_of_the_skull_throne}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_talon_of_the_skull_throne}},,,,,,wh3_pro12_effect_passive_talon_of_the_skull_throne,"Passive ability: ""Talon of the Skull Throne""",,character_to_character_own,1,battle,411,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_pro12_skill_kho_karanak_personal_1_1|wh3_pro12_effect_passive_talon_of_the_skull_throne|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_2_1,wh3_pro12_skill_kho_karanak_personal_2_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_endless_hunter}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_endless_hunter}},character_general_ability.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_pro12_skill_node_kho_karanak_personal_2_1
skill_level,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_2_1,wh3_pro12_skill_kho_karanak_personal_2_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_endless_hunter}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_endless_hunter}},character_general_ability.png,0,2,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_endless_hunter}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_endless_hunter}},7,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_pro12_skill_kho_karanak_personal_2_1|1|||
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_2_1,wh3_pro12_skill_kho_karanak_personal_2_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_endless_hunter}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_endless_hunter}},character_general_ability.png,0,2,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_endless_hunter}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_endless_hunter}},,,,,,wh_main_effect_character_wound_recovery_time_mod,Wound recovery time: %+n turns,,character_to_character_own,-1,campaign,101,false,wound_time.png,wound_time.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_pro12_skill_kho_karanak_personal_2_1|wh_main_effect_character_wound_recovery_time_mod|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_2_1,wh3_pro12_skill_kho_karanak_personal_2_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_endless_hunter}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_endless_hunter}},character_general_ability.png,0,2,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_passive_endless_hunter}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_passive_endless_hunter}},,,,,,wh3_pro12_effect_passive_endless_hunter,"Passive ability: ""Endless Hunter""",,character_to_character_own,1,battle,100,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_pro12_skill_kho_karanak_personal_2_1|wh3_pro12_effect_passive_endless_hunter|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_3_1,wh3_pro12_skill_kho_karanak_personal_3_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_abilities_karanaks_howl}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_abilities_karanaks_howl}},character_general_ability.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_pro12_skill_node_kho_karanak_personal_3_1
skill_level,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_3_1,wh3_pro12_skill_kho_karanak_personal_3_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_abilities_karanaks_howl}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_abilities_karanaks_howl}},character_general_ability.png,0,3,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_abilities_karanaks_howl}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_abilities_karanaks_howl}},3,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_pro12_skill_kho_karanak_personal_3_1|1|||
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_3_1,wh3_pro12_skill_kho_karanak_personal_3_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_abilities_karanaks_howl}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_abilities_karanaks_howl}},character_general_ability.png,0,3,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_abilities_karanaks_howl}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_abilities_karanaks_howl}},,,,,,wh3_pro12_effect_ability_karanaks_howl,"Ability: ""Karanak's Howl""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_pro12_skill_kho_karanak_personal_3_1|wh3_pro12_effect_ability_karanaks_howl|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_personal_3_1,wh3_pro12_skill_kho_karanak_personal_3_1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_abilities_karanaks_howl}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_abilities_karanaks_howl}},character_general_ability.png,0,3,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_pro12_hero_abilities_karanaks_howl}},{{tr:unit_abilities_tooltip_text_wh3_pro12_hero_abilities_karanaks_howl}},,,,,,wh3_pro12_effect_force_stat_physical_resistance_chs_kho_warhounds_flesh_hounds,Physical resistance: %n% for Chaos Warhounds and Flesh Hounds of Khorne units,,agent_to_parent_army_own,5,battle,582,true,resistance_physical.png,resistance_physical.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_pro12_skill_kho_karanak_personal_3_1|wh3_pro12_effect_force_stat_physical_resistance_chs_kho_warhounds_flesh_hounds|1|agent_to_parent_army_own
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_generic_0,wh3_main_skill_kho_all_self_brutal_charge,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",character_charge.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_pro12_skill_node_kho_karanak_generic_0
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_generic_0,wh3_main_skill_kho_all_self_brutal_charge,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",character_charge.png,0,4,0,0,true,0,1,1,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",,,,,,wh_main_effect_character_stat_charge_bonus_add,Charge bonus: %+n,,character_to_character_own,5,both,200,true,charge_character.png,charge_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_kho_all_self_brutal_charge|wh_main_effect_character_stat_charge_bonus_add|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_generic_0,wh3_main_skill_kho_all_self_brutal_charge,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",character_charge.png,0,4,0,0,true,0,1,1,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,5,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_kho_all_self_brutal_charge|wh_main_effect_character_stat_weapon_strength|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_campaign_0,wh2_main_skill_all_hero_assist_army_scouting,{{tr:agent_action_name_scouting}},Spellcasters can oft-sense when magic is close or being drawn from the Winds.,campaign_item.png,0,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_pro12_skill_node_kho_karanak_campaign_0
skill_level,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_campaign_0,wh2_main_skill_all_hero_assist_army_scouting,{{tr:agent_action_name_scouting}},Spellcasters can oft-sense when magic is close or being drawn from the Winds.,campaign_item.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_scouting}},Spellcasters can oft-sense when magic is close or being drawn from the Winds.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_scouting|2|||
skill_level,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Karanak,Karanak,hero,wh3_pro12_kho_cha_karanak,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_pro12_kho_cha_karanak,,1,champion,false,false,,,,wh3_pro12_skill_node_kho_karanak_campaign_0,wh2_main_skill_all_hero_assist_army_scouting,{{tr:agent_action_name_scouting}},Spellcasters can oft-sense when magic is close or being drawn from the Winds.,campaign_item.png,0,5,0,0,true,0,3,3,{{tr:agent_action_name_scouting}},Spellcasters can oft-sense when magic is close or being drawn from the Winds.,9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_scouting|3|||
