record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc26_kho_scyla_anfingrimm
node_set,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm,,1,champion,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm,,1,champion,false,false,,,,wh3_dlc26_skill_scyla_anfingrimm_unique_01,wh3_dlc26_skill_scyla_anfingrimm_unique_01,Kill. For. Khorne.,"Scyla's durability has barely been tested. No battles against him last long enough. Yet, what lies dormant, gathers strength.",character_ward_save.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc26_skill_scyla_anfingrimm_unique_01
skill_level,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm,,1,champion,false,false,,,,wh3_dlc26_skill_scyla_anfingrimm_unique_01,wh3_dlc26_skill_scyla_anfingrimm_unique_01,Kill. For. Khorne.,"Scyla's durability has barely been tested. No battles against him last long enough. Yet, what lies dormant, gathers strength.",character_ward_save.png,0,1,0,0,true,0,1,1,Kill. For. Khorne.,"Scyla's durability has barely been tested. No battles against him last long enough. Yet, what lies dormant, gathers strength.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc26_skill_scyla_anfingrimm_unique_01|1|||
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm,,1,champion,false,false,,,,wh3_dlc26_skill_scyla_anfingrimm_unique_01,wh3_dlc26_skill_scyla_anfingrimm_unique_01,Kill. For. Khorne.,"Scyla's durability has barely been tested. No battles against him last long enough. Yet, what lies dormant, gathers strength.",character_ward_save.png,0,1,0,0,true,0,1,1,Kill. For. Khorne.,"Scyla's durability has barely been tested. No battles against him last long enough. Yet, what lies dormant, gathers strength.",,,,,,wh_main_effect_character_stat_physical_resistance,Physical resistance: %n%,"Physical Resistance. Damage of non-magical attacks is reduced by this amount, up to a maximum of 90%",character_to_character_own,15,both,280,true,resistance_physical.png,resistance_physical.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_skill_scyla_anfingrimm_unique_01|wh_main_effect_character_stat_physical_resistance|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm,,1,champion,false,false,,,,wh3_dlc26_skill_scyla_anfingrimm_unique_01,wh3_dlc26_skill_scyla_anfingrimm_unique_01,Kill. For. Khorne.,"Scyla's durability has barely been tested. No battles against him last long enough. Yet, what lies dormant, gathers strength.",character_ward_save.png,0,1,0,0,true,0,1,1,Kill. For. Khorne.,"Scyla's durability has barely been tested. No battles against him last long enough. Yet, what lies dormant, gathers strength.",,,,,,wh3_dlc20_effect_attribute_immune_to_contact_stat_effects,Attribute: Immune to Contact Effects,,character_to_character_own,1,both,320,true,attribute_contact_immunity.png,contact_immunity.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_skill_scyla_anfingrimm_unique_01|wh3_dlc20_effect_attribute_immune_to_contact_stat_effects|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm,,1,champion,false,false,,,,wh3_dlc26_skill_node_kho_scyla_anfingrimm_self_0,wh3_main_skill_kho_all_self_brutal_charge,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",character_charge.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc26_skill_node_kho_scyla_anfingrimm_self_0
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm,,1,champion,false,false,,,,wh3_dlc26_skill_node_kho_scyla_anfingrimm_self_0,wh3_main_skill_kho_all_self_brutal_charge,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",character_charge.png,0,2,0,0,true,0,1,1,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",,,,,,wh_main_effect_character_stat_charge_bonus_add,Charge bonus: %+n,,character_to_character_own,5,both,200,true,charge_character.png,charge_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_kho_all_self_brutal_charge|wh_main_effect_character_stat_charge_bonus_add|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm,,1,champion,false,false,,,,wh3_dlc26_skill_node_kho_scyla_anfingrimm_self_0,wh3_main_skill_kho_all_self_brutal_charge,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",character_charge.png,0,2,0,0,true,0,1,1,Brutal Charge,"When a huge swathe of rage and violence descends upon the unready, very few survivors are left in its wake.",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,5,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_kho_all_self_brutal_charge|wh_main_effect_character_stat_weapon_strength|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Khorne,khorne,wh3_main_sc_kho_khorne,Scyla Anfingrimm,Scyla_Anfingrimm,hero,wh3_dlc26_kho_scyla_anfingrimm,champion,champion,wh3_dlc20_chs_kholek|wh3_dlc20_chs_valkia|wh3_dlc26_kho_arbaal|wh3_dlc26_kho_skulltaker|wh3_dlc27_nor_sayl|wh3_main_chs_shadow_legion|wh3_main_dae_daemon_prince|wh3_main_kho_exiles_of_khorne|wh3_main_kho_khorne|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth|wh_main_chs_chaos,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_kho_scyla_anfingrimm,,1,champion,false,false,,,,wh3_dlc26_skill_node_kho_scyla_anfingrimm_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc26_skill_node_kho_scyla_anfingrimm_campaign_01
