record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_main_ksl_patriarch
node_set,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,wh3_main_skill_node_set_ksl_patriarch,,1,dignitary,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_main_skill_node_set_ksl_patriarch
node,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,wh3_main_skill_node_set_ksl_patriarch,,1,dignitary,false,false,,,,wh3_main_skill_node_ksl_patriarch_generic_01,wh3_main_skill_ksl_patriarch_unique_warhorse,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,mount_warhorse.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_ksl_patriarch_generic_01
skill_level,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,wh3_main_skill_node_set_ksl_patriarch,,1,dignitary,false,false,,,,wh3_main_skill_node_ksl_patriarch_generic_01,wh3_main_skill_ksl_patriarch_unique_warhorse,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,mount_warhorse.png,0,0,0,0,true,0,1,1,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_ksl_patriarch_unique_warhorse|1|||
effect,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,wh3_main_skill_node_set_ksl_patriarch,,1,dignitary,false,false,,,,wh3_main_skill_node_ksl_patriarch_generic_01,wh3_main_skill_ksl_patriarch_unique_warhorse,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,mount_warhorse.png,0,0,0,0,true,0,1,1,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,,,,,,wh_main_effect_enable_mount_warhorse,Mount: Warhorse,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_ksl_patriarch_unique_warhorse|wh_main_effect_enable_mount_warhorse|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,wh3_main_skill_node_set_ksl_patriarch,,1,dignitary,false,false,,,,wh3_main_skill_node_ksl_patriarch_generic_01,wh3_main_skill_ksl_patriarch_unique_warhorse,Warhorse,A general's horse can be their most trusted and daring companion. Just don't name him 'Daisy'.,mount_warhorse.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_main_anc_mount_ksl_patriarch_warhorse,Warhorse,wh_main_anc_mount_warhorse,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_main_skill_ksl_patriarch_unique_warhorse|wh3_main_anc_mount_ksl_patriarch_warhorse|1
node,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,wh3_main_skill_node_set_ksl_patriarch,,1,dignitary,false,false,,,,wh3_main_skill_node_ksl_patriarch_self_01,wh3_main_skill_ksl_patriarch_self_01,Icon of Strength,"Frail as they may seem, there is no doubt the Gods guide the Patriarch's arm, and lend him their strength in defence of the Motherland.",character_damage.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_ksl_patriarch_self_01
effect,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,wh3_main_skill_node_set_ksl_patriarch,,1,dignitary,false,false,,,,wh3_main_skill_node_ksl_patriarch_self_01,wh3_main_skill_ksl_patriarch_self_01,Icon of Strength,"Frail as they may seem, there is no doubt the Gods guide the Patriarch's arm, and lend him their strength in defence of the Motherland.",character_damage.png,0,2,0,0,true,0,1,1,Icon of Strength,"Frail as they may seem, there is no doubt the Gods guide the Patriarch's arm, and lend him their strength in defence of the Motherland.",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,5,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_ksl_patriarch_self_01|wh_main_effect_character_stat_weapon_strength|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,wh3_main_skill_node_set_ksl_patriarch,,1,dignitary,false,false,,,,wh3_main_skill_node_ksl_patriarch_battle_prayers_01,wh3_main_skill_ksl_dignitary_unique_patriarch_ursuns_roar,Ursun's Roar,,wh3_main_character_abilities_ursuns_roar.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_ksl_patriarch_battle_prayers_01
skill_level,warhammer_3,8.1.1,24237342,Kislev,kislev,wh3_main_sc_ksl_kislev,Patriarch,Patriarch,hero,wh3_main_ksl_patriarch,dignitary,dignitary,wh3_dlc24_ksl_daughters_of_the_forest|wh3_dlc27_ksl_kislev_dm|wh3_main_ksl_brotherhood_of_the_bear|wh3_main_ksl_druzhina_enclave|wh3_main_ksl_kislev_qb1|wh3_main_ksl_kislev_qb2|wh3_main_ksl_kislev_rebels|wh3_main_ksl_ropsmenn_clan|wh3_main_ksl_the_great_orthodoxy|wh3_main_ksl_the_ice_court|wh3_main_ksl_ungol_kindred|wh3_main_ksl_ursun_revivalists,false,false,true,true,true,false,,,wh3_main_skill_node_set_ksl_patriarch,,1,dignitary,false,false,,,,wh3_main_skill_node_ksl_patriarch_battle_prayers_01,wh3_main_skill_ksl_dignitary_unique_patriarch_ursuns_roar,Ursun's Roar,,wh3_main_character_abilities_ursuns_roar.png,0,3,0,0,true,0,1,1,Ursun's Roar,,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_ksl_dignitary_unique_patriarch_ursuns_roar|1|||
