record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc13_lzd_gor_rok
node_set,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_gor_rok,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc13_skill_node_set_gor_rok
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_gor_rok,,1,general,false,false,,,,wh2_dlc13_skill_lzd_gor_rok_unique_0,wh2_dlc13_skill_lzd_gor_rok_unique_0,Unrelenting Assault,"The stamina of the Great White Lizard is almost inexhaustible, unlike that of his pitiful opponents.",character_ward_save.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_lzd_gor_rok_unique_0
skill_level,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_gor_rok,,1,general,false,false,,,,wh2_dlc13_skill_lzd_gor_rok_unique_0,wh2_dlc13_skill_lzd_gor_rok_unique_0,Unrelenting Assault,"The stamina of the Great White Lizard is almost inexhaustible, unlike that of his pitiful opponents.",character_ward_save.png,0,1,0,0,true,0,1,1,Unrelenting Assault,"The stamina of the Great White Lizard is almost inexhaustible, unlike that of his pitiful opponents.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc13_skill_lzd_gor_rok_unique_0|1|||
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_gor_rok,,1,general,false,false,,,,wh2_dlc13_skill_lzd_gor_rok_unique_0,wh2_dlc13_skill_lzd_gor_rok_unique_0,Unrelenting Assault,"The stamina of the Great White Lizard is almost inexhaustible, unlike that of his pitiful opponents.",character_ward_save.png,0,1,0,0,true,0,1,1,Unrelenting Assault,"The stamina of the Great White Lizard is almost inexhaustible, unlike that of his pitiful opponents.",,,,,,wh_main_effect_character_stat_physical_resistance,Physical resistance: %n%,"Physical Resistance. Damage of non-magical attacks is reduced by this amount, up to a maximum of 90%",character_to_character_own,10,both,280,true,resistance_physical.png,resistance_physical.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc13_skill_lzd_gor_rok_unique_0|wh_main_effect_character_stat_physical_resistance|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_gor_rok,,1,general,false,false,,,,wh2_dlc13_skill_lzd_gor_rok_unique_0,wh2_dlc13_skill_lzd_gor_rok_unique_0,Unrelenting Assault,"The stamina of the Great White Lizard is almost inexhaustible, unlike that of his pitiful opponents.",character_ward_save.png,0,1,0,0,true,0,1,1,Unrelenting Assault,"The stamina of the Great White Lizard is almost inexhaustible, unlike that of his pitiful opponents.",,,,,,wh2_dlc10_effect_attribute_enable_perfect_vigour,Attribute: Perfect Vigour,,character_to_character_own,1,both,320,true,attribute_fatigue_immune.png,attribute_fatigue_immune.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc13_skill_lzd_gor_rok_unique_0|wh2_dlc10_effect_attribute_enable_perfect_vigour|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_gor_rok,,1,general,false,false,,,,wh2_dlc13_skill_node_gor_rok_combat_0,wh2_main_skill_lzd_predatory_fighter,Predatory Fighter,"Of course, those who live to kill must also kill to live...",character_damage.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_node_gor_rok_combat_0
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_gor_rok,,1,general,false,false,,,,wh2_dlc13_skill_node_gor_rok_combat_0,wh2_main_skill_lzd_predatory_fighter,Predatory Fighter,"Of course, those who live to kill must also kill to live...",character_damage.png,0,3,0,0,true,0,1,1,Predatory Fighter,"Of course, those who live to kill must also kill to live...",,,,,,wh_main_effect_character_stat_charge_bonus_add,Charge bonus: %+n,,character_to_character_own,5,both,200,true,charge_character.png,charge_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_lzd_predatory_fighter|wh_main_effect_character_stat_charge_bonus_add|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_gor_rok,,1,general,false,false,,,,wh2_dlc13_skill_node_gor_rok_combat_0,wh2_main_skill_lzd_predatory_fighter,Predatory Fighter,"Of course, those who live to kill must also kill to live...",character_damage.png,0,3,0,0,true,0,1,1,Predatory Fighter,"Of course, those who live to kill must also kill to live...",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,10,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_lzd_predatory_fighter|wh_main_effect_character_stat_weapon_strength|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Gor Rok,Gor_Rok,legendary_lord,wh2_dlc13_lzd_gor_rok,general,general,wh2_main_lzd_itza,true,false,true,true,false,false,,legendary_lords,wh2_dlc13_skill_node_set_gor_rok,,1,general,false,false,,,,wh2_dlc13_skill_node_gor_rok_army_0,wh_main_skill_all_lord_battle_inspiring_presence,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",battle_morale.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc13_skill_node_gor_rok_army_0
