record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc12_lzd_lord_kroak
node_set,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc12_skill_node_set_lzd_lord_kroak
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,wh2_main_skill_node_lzd_lord_kroak_unique_0,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones.png,0,0,1,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_lzd_lord_kroak_unique_0
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,wh2_main_skill_node_lzd_lord_kroak_unique_0,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones.png,0,0,1,0,true,0,3,1,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",,,,,,wh2_dlc12_effect_ability_enable_supreme_shield_of_the_old_ones,"Ability: ""Supreme Shield of the Old Ones""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones|wh2_dlc12_effect_ability_enable_supreme_shield_of_the_old_ones|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,wh2_main_skill_node_lzd_lord_kroak_unique_0,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones.png,0,0,1,0,true,0,3,2,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",,,,,,wh2_dlc12_effect_ability_cooldown_supreme_shield_of_the_old_ones,"Cooldown: %+n% to ""Supreme Shield of the Old Ones""",,character_to_character_own,-25,both,293,false,magic_cooldown_character.png,magic_cooldown_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones|wh2_dlc12_effect_ability_cooldown_supreme_shield_of_the_old_ones|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,wh2_main_skill_node_lzd_lord_kroak_unique_0,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones.png,0,0,1,0,true,0,3,2,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",,,,,,wh2_dlc12_effect_ability_enable_supreme_shield_of_the_old_ones,"Ability: ""Supreme Shield of the Old Ones""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones|wh2_dlc12_effect_ability_enable_supreme_shield_of_the_old_ones|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,wh2_main_skill_node_lzd_lord_kroak_unique_0,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones.png,0,0,1,0,true,0,3,3,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",,,,,,wh2_dlc12_effect_ability_cooldown_supreme_shield_of_the_old_ones,"Cooldown: %+n% to ""Supreme Shield of the Old Ones""",,character_to_character_own,-50,both,293,false,magic_cooldown_character.png,magic_cooldown_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones|wh2_dlc12_effect_ability_cooldown_supreme_shield_of_the_old_ones|3|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,wh2_main_skill_node_lzd_lord_kroak_unique_0,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones.png,0,0,1,0,true,0,3,3,Supreme Shield of the Old Ones,"More than just a shield, this one channels the visceral power of the Old Ones to protect its bearer from magical attack.",,,,,,wh2_dlc12_effect_ability_enable_supreme_shield_of_the_old_ones,"Ability: ""Supreme Shield of the Old Ones""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc12_skill_lzd_kroak_supreme_shield_of_the_old_ones|wh2_dlc12_effect_ability_enable_supreme_shield_of_the_old_ones|3|character_to_character_own
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,wh2_main_skill_node_lzd_lord_kroak_discipline_1_0,wh2_main_skill_lzd_disciplines_reservoir,Reserves of Eldritch Energy,"The power of the Old Ones, stored for future use so that - at precisely the right time - the Great Plan may be advanced.",character_magic.png,0,1,0,0,true,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_lzd_lord_kroak_discipline_1_0
skill_level,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,wh2_main_skill_node_lzd_lord_kroak_discipline_1_0,wh2_main_skill_lzd_disciplines_reservoir,Reserves of Eldritch Energy,"The power of the Old Ones, stored for future use so that - at precisely the right time - the Great Plan may be advanced.",character_magic.png,0,1,0,0,true,3,1,1,Reserves of Eldritch Energy,"The power of the Old Ones, stored for future use so that - at precisely the right time - the Great Plan may be advanced.",3,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_lzd_disciplines_reservoir|1|||
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Lord Kroak,Lord_Kroak,hero,wh2_dlc12_lzd_lord_kroak,wizard,wizard,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_tlaqua,false,true,true,false,false,true,,,wh2_dlc12_skill_node_set_lzd_lord_kroak,,1,wizard,false,false,,,,wh2_main_skill_node_lzd_lord_kroak_discipline_1_0,wh2_main_skill_lzd_disciplines_reservoir,Reserves of Eldritch Energy,"The power of the Old Ones, stored for future use so that - at precisely the right time - the Great Plan may be advanced.",character_magic.png,0,1,0,0,true,3,1,1,Reserves of Eldritch Energy,"The power of the Old Ones, stored for future use so that - at precisely the right time - the Great Plan may be advanced.",,,,,,wh3_main_effect_winds_of_magic_pool_min,Winds of Magic power reserve minimum: %+n,,character_to_force_own_unseen,10,campaign,4,true,magic_campaign.png,magic_campaign.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_lzd_disciplines_reservoir|wh3_main_effect_winds_of_magic_pool_min|1|character_to_force_own_unseen
