record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc17_lzd_oxyotl
node_set,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,wh2_dlc17_skill_node_set_lzd_oxyotl,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc17_skill_node_set_lzd_oxyotl
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,wh2_dlc17_skill_node_set_lzd_oxyotl,,1,general,false,false,,,,wh2_dlc17_skill_node_lzd_oxyotl_unique_0,wh2_dlc17_skill_lzd_oxyotl_unique_ancient_knowledge,Ancient Knowledge,"Oxyotl’s time was closer to an age of technological wonders, when the Lizardmen wielded the Old Ones’ untold devices of mysterious power.",character_technology.png,0,1,0,0,true,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc17_skill_node_lzd_oxyotl_unique_0
skill_level,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,wh2_dlc17_skill_node_set_lzd_oxyotl,,1,general,false,false,,,,wh2_dlc17_skill_node_lzd_oxyotl_unique_0,wh2_dlc17_skill_lzd_oxyotl_unique_ancient_knowledge,Ancient Knowledge,"Oxyotl’s time was closer to an age of technological wonders, when the Lizardmen wielded the Old Ones’ untold devices of mysterious power.",character_technology.png,0,1,0,0,true,12,1,1,Ancient Knowledge,"Oxyotl’s time was closer to an age of technological wonders, when the Lizardmen wielded the Old Ones’ untold devices of mysterious power.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc17_skill_lzd_oxyotl_unique_ancient_knowledge|1|||
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,wh2_dlc17_skill_node_set_lzd_oxyotl,,1,general,false,false,,,,wh2_dlc17_skill_node_lzd_oxyotl_unique_0,wh2_dlc17_skill_lzd_oxyotl_unique_ancient_knowledge,Ancient Knowledge,"Oxyotl’s time was closer to an age of technological wonders, when the Lizardmen wielded the Old Ones’ untold devices of mysterious power.",character_technology.png,0,1,0,0,true,12,1,1,Ancient Knowledge,"Oxyotl’s time was closer to an age of technological wonders, when the Lizardmen wielded the Old Ones’ untold devices of mysterious power.",,,,,,wh_main_effect_technology_research_points,{{tr:effect_technology_research_points_description}}: %+n,,character_to_faction_when_on_map_unseen,15,campaign,60,true,technology.png,technology.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc17_skill_lzd_oxyotl_unique_ancient_knowledge|wh_main_effect_technology_research_points|1|character_to_faction_when_on_map_unseen
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,wh2_dlc17_skill_node_set_lzd_oxyotl,,1,general,false,false,,,,wh2_dlc17_skill_node_lzd_oxyotl_unique_0,wh2_dlc17_skill_lzd_oxyotl_unique_ancient_knowledge,Ancient Knowledge,"Oxyotl’s time was closer to an age of technological wonders, when the Lizardmen wielded the Old Ones’ untold devices of mysterious power.",character_technology.png,0,1,0,0,true,12,1,1,Ancient Knowledge,"Oxyotl’s time was closer to an age of technological wonders, when the Lizardmen wielded the Old Ones’ untold devices of mysterious power.",,,,,,wh2_dlc17_effect_pooled_resource_sanctum_stone_per_turn,Sanctum Gems gained: +%n per turn,,character_to_faction_unseen,1,campaign,1,true,oxyotl_sanctum_gems.png,oxyotl_sanctum_gems.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc17_skill_lzd_oxyotl_unique_ancient_knowledge|wh2_dlc17_effect_pooled_resource_sanctum_stone_per_turn|1|character_to_faction_unseen
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,wh2_dlc17_skill_node_set_lzd_oxyotl,,1,general,false,false,,,,wh2_dlc17_skill_node_lzd_oxyotl_unique_0,wh2_dlc17_skill_lzd_oxyotl_unique_ancient_knowledge,Ancient Knowledge,"Oxyotl’s time was closer to an age of technological wonders, when the Lizardmen wielded the Old Ones’ untold devices of mysterious power.",character_technology.png,0,1,0,0,true,12,1,1,Ancient Knowledge,"Oxyotl’s time was closer to an age of technological wonders, when the Lizardmen wielded the Old Ones’ untold devices of mysterious power.",,,,,,wh2_main_effect_captives_unit_xp,Unit experience: %+n,,general_to_force_own,150,campaign,120,true,experience.png,experience.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc17_skill_lzd_oxyotl_unique_ancient_knowledge|wh2_main_effect_captives_unit_xp|1|general_to_force_own
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,wh2_dlc17_skill_node_set_lzd_oxyotl,,1,general,false,false,,,,wh2_dlc17_skill_node_lzd_oxyotl_combat_0,wh2_main_skill_lzd_predatory_fighter,Predatory Fighter,"Of course, those who live to kill must also kill to live...",character_damage.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc17_skill_node_lzd_oxyotl_combat_0
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,wh2_dlc17_skill_node_set_lzd_oxyotl,,1,general,false,false,,,,wh2_dlc17_skill_node_lzd_oxyotl_combat_0,wh2_main_skill_lzd_predatory_fighter,Predatory Fighter,"Of course, those who live to kill must also kill to live...",character_damage.png,0,2,0,0,true,0,1,1,Predatory Fighter,"Of course, those who live to kill must also kill to live...",,,,,,wh_main_effect_character_stat_charge_bonus_add,Charge bonus: %+n,,character_to_character_own,5,both,200,true,charge_character.png,charge_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_lzd_predatory_fighter|wh_main_effect_character_stat_charge_bonus_add|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Oxyotl,Oxyotl,legendary_lord,wh2_dlc17_lzd_oxyotl,general,general,wh2_dlc17_lzd_oxyotl,true,false,true,true,false,false,,legendary_lords,wh2_dlc17_skill_node_set_lzd_oxyotl,,1,general,false,false,,,,wh2_dlc17_skill_node_lzd_oxyotl_combat_0,wh2_main_skill_lzd_predatory_fighter,Predatory Fighter,"Of course, those who live to kill must also kill to live...",character_damage.png,0,2,0,0,true,0,1,1,Predatory Fighter,"Of course, those who live to kill must also kill to live...",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,10,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_lzd_predatory_fighter|wh_main_effect_character_stat_weapon_strength|1|character_to_character_own
