record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc12_lzd_red_crested_skink_chief_legendary
node_set,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary,,1,general,false,false,,,,wh2_dlc12_skill_lzd_skink_chief_legendary_mount_1,wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_horned_one,Horned One,"Very rare and virtually extinct, even in Lustria, the Horned One's preternatural swiftness puts it way ahead of other Cold Ones.",mount_horned_one.png,0,0,0,0,true,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc12_skill_lzd_skink_chief_legendary_mount_1
skill_level,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary,,1,general,false,false,,,,wh2_dlc12_skill_lzd_skink_chief_legendary_mount_1,wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_horned_one,Horned One,"Very rare and virtually extinct, even in Lustria, the Horned One's preternatural swiftness puts it way ahead of other Cold Ones.",mount_horned_one.png,0,0,0,0,true,6,1,1,Horned One,"Very rare and virtually extinct, even in Lustria, the Horned One's preternatural swiftness puts it way ahead of other Cold Ones.",6,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_horned_one|1|||
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary,,1,general,false,false,,,,wh2_dlc12_skill_lzd_skink_chief_legendary_mount_1,wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_horned_one,Horned One,"Very rare and virtually extinct, even in Lustria, the Horned One's preternatural swiftness puts it way ahead of other Cold Ones.",mount_horned_one.png,0,0,0,0,true,6,1,1,Horned One,"Very rare and virtually extinct, even in Lustria, the Horned One's preternatural swiftness puts it way ahead of other Cold Ones.",,,,,,wh2_main_effect_enable_mount_lzd_hornedone,Mount: Horned One,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_horned_one|wh2_main_effect_enable_mount_lzd_hornedone|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary,,1,general,false,false,,,,wh2_dlc12_skill_lzd_skink_chief_legendary_mount_1,wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_horned_one,Horned One,"Very rare and virtually extinct, even in Lustria, the Horned One's preternatural swiftness puts it way ahead of other Cold Ones.",mount_horned_one.png,0,0,0,0,true,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_horned_one,Horned One,wh2_dlc12_anc_mount_horned_one,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh2_dlc12_skill_lzd_red_crested_skink_chief_mount_horned_one|wh2_dlc12_anc_mount_lzd_red_crested_skink_chief_horned_one|1
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary,,1,general,false,false,,,,wh2_dlc12_skill_lzd_skink_chief_unique_6,wh2_dlc12_skill_lzd_red_crested_skink_chief_warriors_crest,{{tr:unit_abilities_onscreen_name_wh2_dlc12_lord_abilities_warriors_crest}},"It's not just for decoration, you know!",wh2_dlc12_lord_abilities_warriors_crest.png,0,1,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc12_skill_lzd_skink_chief_unique_6
skill_level,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary,,1,general,false,false,,,,wh2_dlc12_skill_lzd_skink_chief_unique_6,wh2_dlc12_skill_lzd_red_crested_skink_chief_warriors_crest,{{tr:unit_abilities_onscreen_name_wh2_dlc12_lord_abilities_warriors_crest}},"It's not just for decoration, you know!",wh2_dlc12_lord_abilities_warriors_crest.png,0,1,0,0,true,11,1,1,{{tr:unit_abilities_onscreen_name_wh2_dlc12_lord_abilities_warriors_crest}},"It's not just for decoration, you know!",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc12_skill_lzd_red_crested_skink_chief_warriors_crest|1|||
effect,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary,,1,general,false,false,,,,wh2_dlc12_skill_lzd_skink_chief_unique_6,wh2_dlc12_skill_lzd_red_crested_skink_chief_warriors_crest,{{tr:unit_abilities_onscreen_name_wh2_dlc12_lord_abilities_warriors_crest}},"It's not just for decoration, you know!",wh2_dlc12_lord_abilities_warriors_crest.png,0,1,0,0,true,11,1,1,{{tr:unit_abilities_onscreen_name_wh2_dlc12_lord_abilities_warriors_crest}},"It's not just for decoration, you know!",,,,,,wh2_dlc12_effect_ability_enable_warriors_crest,"Ability: ""Warrior's Crest""",,character_to_character_own,1,battle,300,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc12_skill_lzd_red_crested_skink_chief_warriors_crest|wh2_dlc12_effect_ability_enable_warriors_crest|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Lizardmen,lizardmen,wh2_main_sc_lzd_lizardmen,Red Crested Skink Chief,Red_Crested_Skink_Chief__red_crested_skink_chief_legendary,lord,wh2_dlc12_lzd_red_crested_skink_chief_legendary,general,general,wh2_dlc12_lzd_cult_of_sotek|wh2_dlc13_lzd_avengers|wh2_dlc13_lzd_spirits_of_the_jungle|wh2_dlc14_lzd_itz_itza_tribe|wh2_dlc16_lzd_wardens_of_the_living_pools|wh2_dlc17_lzd_oxyotl|wh2_main_lzd_hexoatl|wh2_main_lzd_itza|wh2_main_lzd_last_defenders|wh2_main_lzd_lizardmen|wh2_main_lzd_lizardmen_qb1|wh2_main_lzd_lizardmen_qb2|wh2_main_lzd_lizardmen_qb3|wh2_main_lzd_lizardmen_qb4|wh2_main_lzd_lizardmen_rebels|wh2_main_lzd_sentinels_of_xeti|wh2_main_lzd_southern_sentinels|wh2_main_lzd_teotiqua|wh2_main_lzd_tlaqua|wh2_main_lzd_tlaxtlan|wh2_main_lzd_xlanhuapec|wh2_main_lzd_zlatan|wh3_dlc24_lzd_lizardmen_invasion|wh3_main_lzd_tepoks_spawn,false,false,true,true,false,false,,lzd_red_crested_skink_chief,wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary,,1,general,false,false,,,,wh2_dlc12_skill_node_lzd_skink_champion_personal_00,wh2_main_skill_lzd_predatory_fighter,Predatory Fighter,"Of course, those who live to kill must also kill to live...",character_damage.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc12_skill_node_lzd_skink_champion_personal_00
