record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh_dlc08_nor_kihar
node_set,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,wh_dlc08_skill_node_set_nor_kihar,,1,wizard,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh_dlc08_skill_node_set_nor_kihar
node,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,wh_dlc08_skill_node_set_nor_kihar,,1,wizard,false,false,,,,wh3_main_ie_nor_kihar_campaign_actions_dummy,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla,Actions [HIDDEN],,battle_attack.png,0,0,1,0,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_ie_nor_kihar_campaign_actions_dummy
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,wh_dlc08_skill_node_set_nor_kihar,,1,wizard,false,false,,,,wh3_main_ie_nor_kihar_campaign_actions_dummy,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla,Actions [HIDDEN],,battle_attack.png,0,0,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_wizard_assist_army_scouting,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla|wh2_main_effect_agent_action_enable_wizard_assist_army_scouting|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,wh_dlc08_skill_node_set_nor_kihar,,1,wizard,false,false,,,,wh3_main_ie_nor_kihar_campaign_actions_dummy,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla,Actions [HIDDEN],,battle_attack.png,0,0,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_wizard_hinder_agent_wound,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla|wh2_main_effect_agent_action_enable_wizard_hinder_agent_wound|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,wh_dlc08_skill_node_set_nor_kihar,,1,wizard,false,false,,,,wh3_main_ie_nor_kihar_campaign_actions_dummy,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla,Actions [HIDDEN],,battle_attack.png,0,0,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_wizard_hinder_army_block_army,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla|wh2_main_effect_agent_action_enable_wizard_hinder_army_block_army|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,wh_dlc08_skill_node_set_nor_kihar,,1,wizard,false,false,,,,wh3_main_ie_nor_kihar_campaign_actions_dummy,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla,Actions [HIDDEN],,battle_attack.png,0,0,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_wizard_hinder_settlement_scout_settlement,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla|wh2_main_effect_agent_action_enable_wizard_hinder_settlement_scout_settlement|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,wh_dlc08_skill_node_set_nor_kihar,,1,wizard,false,false,,,,wh3_main_ie_nor_kihar_campaign_actions_dummy,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla,Actions [HIDDEN],,battle_attack.png,0,0,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_wizard_hinder_settlement_steal_technology,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla|wh2_main_effect_agent_action_enable_wizard_hinder_settlement_steal_technology|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,wh_dlc08_skill_node_set_nor_kihar,,1,wizard,false,false,,,,wh3_main_ie_nor_kihar_campaign_actions_dummy,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla,Actions [HIDDEN],,battle_attack.png,0,0,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh3_main_effect_agent_action_enable_wizard_passive_spread_corruption_sla,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla|wh3_main_effect_agent_action_enable_wizard_passive_spread_corruption_sla|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Legendary Sorcerer,Legendary_Sorcerer,hero,wh_dlc08_nor_kihar,wizard,wizard,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh3_dlc20_nor_dolgan|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_chs_chaos_challenger_slaanesh|wh_dlc08_chs_chaos_challenger_slaanesh_qb|wh_dlc08_nor_norsca|wh_dlc08_nor_wintertooth,false,true,true,false,false,true,,,wh_dlc08_skill_node_set_nor_kihar,,1,wizard,false,false,,,,wh3_main_ie_nor_kihar_campaign_actions_dummy,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla,Actions [HIDDEN],,battle_attack.png,0,0,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh3_main_effect_agent_action_passive_spread_corruption_slaanesh_effect,Slaanesh corruption: %+n,,character_to_province_any,2,campaign,0,true,corruption_slaanesh.png,corruption_slaanesh.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc20_skill_all_dummy_agent_actions_chs_sorcerer_msla|wh3_main_effect_agent_action_passive_spread_corruption_slaanesh_effect|1|character_to_province_any
