record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc27_nor_sayl_the_faithless
node_set,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,wh3_dlc27_skill_node_set_nor_sayl,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc27_skill_node_set_nor_sayl
node,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,wh3_dlc27_skill_node_set_nor_sayl,,1,general,false,false,,,,wh3_dlc27_skill_node_nor_sayl_unique_1,wh3_dlc27_skill_nor_sayl_unique_1,Backstabbing Sorcery,It is not until the most opportune moment that Sayl reveals to his enemies that their occult power was in fact in his hands all along.,wh3_dlc27_character_passive_backstabbing_sorcery.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_nor_sayl_unique_1
skill_level,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,wh3_dlc27_skill_node_set_nor_sayl,,1,general,false,false,,,,wh3_dlc27_skill_node_nor_sayl_unique_1,wh3_dlc27_skill_nor_sayl_unique_1,Backstabbing Sorcery,It is not until the most opportune moment that Sayl reveals to his enemies that their occult power was in fact in his hands all along.,wh3_dlc27_character_passive_backstabbing_sorcery.png,0,1,0,0,true,0,1,1,Backstabbing Sorcery,It is not until the most opportune moment that Sayl reveals to his enemies that their occult power was in fact in his hands all along.,11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_nor_sayl_unique_1|1|||
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,wh3_dlc27_skill_node_set_nor_sayl,,1,general,false,false,,,,wh3_dlc27_skill_node_nor_sayl_unique_1,wh3_dlc27_skill_nor_sayl_unique_1,Backstabbing Sorcery,It is not until the most opportune moment that Sayl reveals to his enemies that their occult power was in fact in his hands all along.,wh3_dlc27_character_passive_backstabbing_sorcery.png,0,1,0,0,true,0,1,1,Backstabbing Sorcery,It is not until the most opportune moment that Sayl reveals to his enemies that their occult power was in fact in his hands all along.,,,,,,wh_main_effect_force_stat_magic_resistance_bad,Spell resistance: %n%,,character_to_force_enemy_provincewide,-20,battle,580,false,resistance_magic.png,resistance_magic.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_nor_sayl_unique_1|wh_main_effect_force_stat_magic_resistance_bad|1|character_to_force_enemy_provincewide
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,wh3_dlc27_skill_node_set_nor_sayl,,1,general,false,false,,,,wh3_dlc27_skill_node_nor_sayl_unique_1,wh3_dlc27_skill_nor_sayl_unique_1,Backstabbing Sorcery,It is not until the most opportune moment that Sayl reveals to his enemies that their occult power was in fact in his hands all along.,wh3_dlc27_character_passive_backstabbing_sorcery.png,0,1,0,0,true,0,1,1,Backstabbing Sorcery,It is not until the most opportune moment that Sayl reveals to his enemies that their occult power was in fact in his hands all along.,,,,,,wh3_dlc27_effect_ability_backstabbing_sorcery,"Passive ability: ""Backstabbing Sorcery""",,character_to_character_own,1,battle,1,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_nor_sayl_unique_1|wh3_dlc27_effect_ability_backstabbing_sorcery|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,wh3_dlc27_skill_node_set_nor_sayl,,1,general,false,false,,,,wh3_dlc27_skill_node_nor_sayl_unique_1,wh3_dlc27_skill_nor_sayl_unique_1,Backstabbing Sorcery,It is not until the most opportune moment that Sayl reveals to his enemies that their occult power was in fact in his hands all along.,wh3_dlc27_character_passive_backstabbing_sorcery.png,0,1,0,0,true,0,1,1,Backstabbing Sorcery,It is not until the most opportune moment that Sayl reveals to his enemies that their occult power was in fact in his hands all along.,,,,,,wh3_main_effect_winds_of_magic_pool_cap_enemy,Enemy Winds of Magic power reserve capacity: %+n,,character_to_force_enemy_provincewide,-10,campaign,3,false,magic_campaign.png,magic_campaign.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_nor_sayl_unique_1|wh3_main_effect_winds_of_magic_pool_cap_enemy|1|character_to_force_enemy_provincewide
node,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,wh3_dlc27_skill_node_set_nor_sayl,,1,general,false,false,,,,wh3_dlc27_skill_node_nor_sayl_magic_0,wh2_main_skill_magic_shadow_enfeebling_foe_lord,The Enfeebling Foe,When cast this spell enfeebles enemy minds; they feel the crushing weight of reality bearing down upon them.,wh_dlc05_spell_shadow_the_enfeebling_foe.png,0,2,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_nor_sayl_magic_0
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,wh3_dlc27_skill_node_set_nor_sayl,,1,general,false,false,,,,wh3_dlc27_skill_node_nor_sayl_magic_0,wh2_main_skill_magic_shadow_enfeebling_foe_lord,The Enfeebling Foe,When cast this spell enfeebles enemy minds; they feel the crushing weight of reality bearing down upon them.,wh_dlc05_spell_shadow_the_enfeebling_foe.png,0,2,0,0,true,0,2,1,The Enfeebling Foe,When cast this spell enfeebles enemy minds; they feel the crushing weight of reality bearing down upon them.,,,,,,wh_dlc05_effect_ability_cooldown_enfeebling_foe,"Cooldown: %+n% to ""The Enfeebling Foe""",,character_to_character_own,-30,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_magic_shadow_enfeebling_foe_lord|wh_dlc05_effect_ability_cooldown_enfeebling_foe|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Sayl The Faithless,Sayl_The_Faithless,legendary_lord,wh3_dlc27_nor_sayl_the_faithless,general,general,wh3_dlc27_nor_sayl,true,false,true,true,false,true,,legendary_lords,wh3_dlc27_skill_node_set_nor_sayl,,1,general,false,false,,,,wh3_dlc27_skill_node_nor_sayl_magic_0,wh2_main_skill_magic_shadow_enfeebling_foe_lord,The Enfeebling Foe,When cast this spell enfeebles enemy minds; they feel the crushing weight of reality bearing down upon them.,wh_dlc05_spell_shadow_the_enfeebling_foe.png,0,2,0,0,true,0,2,1,The Enfeebling Foe,When cast this spell enfeebles enemy minds; they feel the crushing weight of reality bearing down upon them.,,,,,,wh2_main_effect_ability_overcast_melkoths_enfeebling_foe,"Overcast spell: ""The Enfeebling Foe Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_magic_shadow_enfeebling_foe_lord|wh2_main_effect_ability_overcast_melkoths_enfeebling_foe|1|character_to_character_own
