record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc25_nur_bray_shaman_wild_chieftain
node_set,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain,,1,wizard,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain
node,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain,,1,wizard,false,false,,,,wh3_dlc25_skill_node_nur_bray_shaman_wild_chieftain_mount_tuskgor_chariot,wh3_dlc25_skill_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",mount_tuskgor_chariot.png,0,0,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_nur_bray_shaman_wild_chieftain_mount_tuskgor_chariot
skill_level,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain,,1,wizard,false,false,,,,wh3_dlc25_skill_node_nur_bray_shaman_wild_chieftain_mount_tuskgor_chariot,wh3_dlc25_skill_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",mount_tuskgor_chariot.png,0,0,0,0,true,11,1,1,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot|1|||
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain,,1,wizard,false,false,,,,wh3_dlc25_skill_node_nur_bray_shaman_wild_chieftain_mount_tuskgor_chariot,wh3_dlc25_skill_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",mount_tuskgor_chariot.png,0,0,0,0,true,11,1,1,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",,,,,,wh2_dlc17_effect_enable_mount_tuskgor_chariot,Mount: Tuskgor Chariot,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot|wh2_dlc17_effect_enable_mount_tuskgor_chariot|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain,,1,wizard,false,false,,,,wh3_dlc25_skill_node_nur_bray_shaman_wild_chieftain_mount_tuskgor_chariot,wh3_dlc25_skill_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot,Tuskgor Chariot,"Pugnacious and stubborn, the war beasts that pull these ramshackle chariots are grotesque combinations of great boar and mighty ram.",mount_tuskgor_chariot.png,0,0,0,0,true,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc25_anc_mount_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot,Tuskgor Chariot,wh2_dlc17_anc_mount_tuskgor_chariot,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_dlc25_skill_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot|wh3_dlc25_anc_mount_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot|1
node,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain,,1,wizard,false,false,,,,wh3_dlc25_skill_node_nur_bray_shaman_chieftain_personal_0,wh3_dlc25_skill_nur_chief_beastman_mutants,Calling All Mutants!,"The mutants that cower in humanity's forests are drawn to Tamurkhan's banner, such is his reputation for strength.",character_diplomacy.png,0,1,0,0,true,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_nur_bray_shaman_chieftain_personal_0
skill_level,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain,,1,wizard,false,false,,,,wh3_dlc25_skill_node_nur_bray_shaman_chieftain_personal_0,wh3_dlc25_skill_nur_chief_beastman_mutants,Calling All Mutants!,"The mutants that cower in humanity's forests are drawn to Tamurkhan's banner, such is his reputation for strength.",character_diplomacy.png,0,1,0,0,true,9,1,1,Calling All Mutants!,"The mutants that cower in humanity's forests are drawn to Tamurkhan's banner, such is his reputation for strength.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_skill_nur_chief_beastman_mutants|1|||
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain,,1,wizard,false,false,,,,wh3_dlc25_skill_node_nur_bray_shaman_chieftain_personal_0,wh3_dlc25_skill_nur_chief_beastman_mutants,Calling All Mutants!,"The mutants that cower in humanity's forests are drawn to Tamurkhan's banner, such is his reputation for strength.",character_diplomacy.png,0,1,0,0,true,9,1,1,Calling All Mutants!,"The mutants that cower in humanity's forests are drawn to Tamurkhan's banner, such is his reputation for strength.",,,,,,wh_dlc03_faction_political_diplomacy_mod_beastmen,Diplomatic relations: %+n with Beastmen,,faction_to_faction_own_unseen,15,campaign,5,true,diplomacy.png,diplomacy.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_nur_chief_beastman_mutants|wh_dlc03_faction_political_diplomacy_mod_beastmen|1|faction_to_faction_own_unseen
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Bray-Shaman (Wild),Bray_Shaman_Wild,hero,wh3_dlc25_nur_bray_shaman_wild_chieftain,wizard,wizard,wh3_dlc25_nur_tamurkhan,false,true,true,false,false,true,,,wh3_dlc25_skill_node_set_nur_bray_shaman_wild_chieftain,,1,wizard,false,false,,,,wh3_dlc25_skill_node_nur_bray_shaman_chieftain_personal_0,wh3_dlc25_skill_nur_chief_beastman_mutants,Calling All Mutants!,"The mutants that cower in humanity's forests are drawn to Tamurkhan's banner, such is his reputation for strength.",character_diplomacy.png,0,1,0,0,true,9,1,1,Calling All Mutants!,"The mutants that cower in humanity's forests are drawn to Tamurkhan's banner, such is his reputation for strength.",,,,,,wh2_main_effect_province_growth_characters_factionwide,Growth: %+n,,character_to_province_own_factionwide,5,campaign,30,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_skill_nur_chief_beastman_mutants|wh2_main_effect_province_growth_characters_factionwide|1|character_to_province_own_factionwide
