record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc25_nur_kayzk_the_befouled
node_set,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled
node,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_personal_0,wh3_dlc25_nur_kayzk_personal_0,Body Mass,"A huge and powerful figure, Kayzk dwarfs his enemies, unmoving in the face of their every attack.",character_health.png,0,1,0,0,true,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_nur_kayzk_the_befouled_personal_0
skill_level,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_personal_0,wh3_dlc25_nur_kayzk_personal_0,Body Mass,"A huge and powerful figure, Kayzk dwarfs his enemies, unmoving in the face of their every attack.",character_health.png,0,1,0,0,true,7,1,1,Body Mass,"A huge and powerful figure, Kayzk dwarfs his enemies, unmoving in the face of their every attack.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_nur_kayzk_personal_0|1|||
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_personal_0,wh3_dlc25_nur_kayzk_personal_0,Body Mass,"A huge and powerful figure, Kayzk dwarfs his enemies, unmoving in the face of their every attack.",character_health.png,0,1,0,0,true,7,1,1,Body Mass,"A huge and powerful figure, Kayzk dwarfs his enemies, unmoving in the face of their every attack.",,,,,,wh_main_effect_character_stat_unit_health,Hit points: %+n%,,character_to_character_own,10,both,90,true,health_character.png,health_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_nur_kayzk_personal_0|wh_main_effect_character_stat_unit_health|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_personal_0,wh3_dlc25_nur_kayzk_personal_0,Body Mass,"A huge and powerful figure, Kayzk dwarfs his enemies, unmoving in the face of their every attack.",character_health.png,0,1,0,0,true,7,1,1,Body Mass,"A huge and powerful figure, Kayzk dwarfs his enemies, unmoving in the face of their every attack.",,,,,,wh3_main_effect_character_stat_unit_mass_percentage_mod,Unit mass: %+n%,,character_to_character_own,10,battle,130,true,mass_character.png,mass_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_nur_kayzk_personal_0|wh3_main_effect_character_stat_unit_mass_percentage_mod|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_self_01,wh_main_skill_all_all_self_blade_master_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_blade_master}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_blade_master}},character_attack.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_nur_kayzk_the_befouled_self_01
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_self_01,wh_main_skill_all_all_self_blade_master_starter,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_blade_master}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_blade_master}},character_attack.png,0,2,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh_main_skill_all_all_self_blade_master}},{{tr:character_skills_localised_description_wh_main_skill_all_all_self_blade_master}},,,,,,wh_main_effect_character_stat_melee_attack,Melee attack: %+n,,character_to_character_own,5,both,130,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_all_self_blade_master_starter|wh_main_effect_character_stat_melee_attack|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_battle_0,wh3_dlc25_nur_kayzk_battle_0,Faster & Harder,"Harder, faster, more aggressive!",battle_charge.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc25_skill_node_nur_kayzk_the_befouled_battle_0
skill_level,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_battle_0,wh3_dlc25_nur_kayzk_battle_0,Faster & Harder,"Harder, faster, more aggressive!",battle_charge.png,0,4,0,0,true,0,1,1,Faster & Harder,"Harder, faster, more aggressive!",7,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc25_nur_kayzk_battle_0|1|||
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_battle_0,wh3_dlc25_nur_kayzk_battle_0,Faster & Harder,"Harder, faster, more aggressive!",battle_charge.png,0,4,0,0,true,0,1,1,Faster & Harder,"Harder, faster, more aggressive!",,,,,,wh_dlc03_effect_tech_movement_speed_all,Speed: %+n% for all units,,agent_to_parent_army_own,10,battle,115,true,battle_movement.png,battle_movement.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_nur_kayzk_battle_0|wh_dlc03_effect_tech_movement_speed_all|1|agent_to_parent_army_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc25_skill_node_nur_kayzk_the_befouled_battle_0,wh3_dlc25_nur_kayzk_battle_0,Faster & Harder,"Harder, faster, more aggressive!",battle_charge.png,0,4,0,0,true,0,1,1,Faster & Harder,"Harder, faster, more aggressive!",,,,,,wh2_dlc17_effect_charge_bonus_for_all,Charge bonus: %+n% for all units,,agent_to_parent_army_own,15,battle,501,true,charge.png,charge.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc25_nur_kayzk_battle_0|wh2_dlc17_effect_charge_bonus_for_all|1|agent_to_parent_army_own
node,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc20_skill_node_chs_exalted_hero_mnur_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc20_skill_node_chs_exalted_hero_mnur_campaign_01
skill_level,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc20_skill_node_chs_exalted_hero_mnur_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_training|2|||
skill_level,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc20_skill_node_chs_exalted_hero_mnur_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,3,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_training|3|||
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc20_skill_node_chs_exalted_hero_mnur_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,1,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,,,,,,wh2_main_effect_agent_action_assist_army_training_buff,[[col:yellow]]{{tr:agent_action_name_training}}[[/col]] action: Unit experience gain is increased by an additional %n%,[[col:yellow]]{{tr:agent_action_name_training}}[[/col]] (Assist Army)\\nIncreases experience gain for units serving in the parent army.,character_to_character_own,10,campaign,7,true,experience.png,experience.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_assist_army_training|wh2_main_effect_agent_action_assist_army_training_buff|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc20_skill_node_chs_exalted_hero_mnur_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,,,,,,wh2_main_effect_agent_action_assist_army_training_buff,[[col:yellow]]{{tr:agent_action_name_training}}[[/col]] action: Unit experience gain is increased by an additional %n%,[[col:yellow]]{{tr:agent_action_name_training}}[[/col]] (Assist Army)\\nIncreases experience gain for units serving in the parent army.,character_to_character_own,20,campaign,7,true,experience.png,experience.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_assist_army_training|wh2_main_effect_agent_action_assist_army_training_buff|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Nurgle,nurgle,wh3_main_sc_nur_nurgle,Kayzk The Befouled,Kayzk_The_Befouled,hero,wh3_dlc25_nur_kayzk_the_befouled,champion,champion,wh3_dlc25_nur_epidemius|wh3_dlc25_nur_tamurkhan|wh3_main_nur_poxmakers_of_nurgle,false,true,true,false,false,false,,,wh3_dlc25_skill_node_set_nur_kayzk_the_befouled,,1,champion,false,false,,,,wh3_dlc20_skill_node_chs_exalted_hero_mnur_campaign_01,wh2_main_skill_all_hero_assist_army_training,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,campaign_experience.png,0,5,0,0,true,0,3,3,{{tr:agent_action_name_training}},This champion extols discipline and fear away from the battlefield as much as on it.,,,,,,wh2_main_effect_agent_action_assist_army_training_buff,[[col:yellow]]{{tr:agent_action_name_training}}[[/col]] action: Unit experience gain is increased by an additional %n%,[[col:yellow]]{{tr:agent_action_name_training}}[[/col]] (Assist Army)\\nIncreases experience gain for units serving in the parent army.,character_to_character_own,30,campaign,7,true,experience.png,experience.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_assist_army_training|wh2_main_effect_agent_action_assist_army_training_buff|3|character_to_character_own
