record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc26_ogr_bragg_the_gutsman
node_set,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman,,1,champion,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman
node,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman,,1,champion,false,false,,,,wh3_main_skill_node_ogr_tyrant_generic_6,wh3_main_skill_ogr_lord_battle_bellower,Bellower,"A Bellower’s voice is as deep as it loud, carrying across the battlefield and encouraging unbridled carnage.",character_general_ability.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_ogr_tyrant_generic_6
effect,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman,,1,champion,false,false,,,,wh3_main_skill_node_ogr_tyrant_generic_6,wh3_main_skill_ogr_lord_battle_bellower,Bellower,"A Bellower’s voice is as deep as it loud, carrying across the battlefield and encouraging unbridled carnage.",character_general_ability.png,0,0,0,0,true,0,1,1,Bellower,"A Bellower’s voice is as deep as it loud, carrying across the battlefield and encouraging unbridled carnage.",,,,,,wh_main_effect_character_stat_aura_leadership_effect,Character's aura leadership effect: %+n,Aura. Any unit standing within this character's aura in battle will receive a [[img:icon_morale]][[/img]]leadership bonus.,character_to_character_own,5,battle,260,true,morale_character.png,morale_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_ogr_lord_battle_bellower|wh_main_effect_character_stat_aura_leadership_effect|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman,,1,champion,false,false,,,,wh3_main_skill_node_ogr_tyrant_generic_6,wh3_main_skill_ogr_lord_battle_bellower,Bellower,"A Bellower’s voice is as deep as it loud, carrying across the battlefield and encouraging unbridled carnage.",character_general_ability.png,0,0,0,0,true,0,1,1,Bellower,"A Bellower’s voice is as deep as it loud, carrying across the battlefield and encouraging unbridled carnage.",,,,,,wh_main_effect_character_stat_leadership_aura_size,Leadership aura size: %+n%,Aura. Any unit standing within this character's aura in battle will receive a [[img:icon_morale]][[/img]]leadership bonus.,character_to_character_own,20,battle,260,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_ogr_lord_battle_bellower|wh_main_effect_character_stat_leadership_aura_size|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman,,1,champion,false,false,,,,wh3_dlc26_skill_node_ogr_bragg_the_gutsman_unique_01,wh3_dlc26_ogr_bragg_the_gutsman_head_lopper,Head-Lopper,"Presented with his first blade as a whelp to swing about with wild abandon, Bragg has always shown a great affinity for decapitation.",character_attack.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc26_skill_node_ogr_bragg_the_gutsman_unique_01
skill_level,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman,,1,champion,false,false,,,,wh3_dlc26_skill_node_ogr_bragg_the_gutsman_unique_01,wh3_dlc26_ogr_bragg_the_gutsman_head_lopper,Head-Lopper,"Presented with his first blade as a whelp to swing about with wild abandon, Bragg has always shown a great affinity for decapitation.",character_attack.png,0,1,0,0,true,0,1,1,Head-Lopper,"Presented with his first blade as a whelp to swing about with wild abandon, Bragg has always shown a great affinity for decapitation.",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc26_ogr_bragg_the_gutsman_head_lopper|1|||
effect,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman,,1,champion,false,false,,,,wh3_dlc26_skill_node_ogr_bragg_the_gutsman_unique_01,wh3_dlc26_ogr_bragg_the_gutsman_head_lopper,Head-Lopper,"Presented with his first blade as a whelp to swing about with wild abandon, Bragg has always shown a great affinity for decapitation.",character_attack.png,0,1,0,0,true,0,1,1,Head-Lopper,"Presented with his first blade as a whelp to swing about with wild abandon, Bragg has always shown a great affinity for decapitation.",,,,,,wh_main_effect_attribute_enable_causes_terror,Attribute: Causes Terror,,character_to_character_own,1,both,320,true,attribute_causes_terror.png,attribute_causes_terror.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_ogr_bragg_the_gutsman_head_lopper|wh_main_effect_attribute_enable_causes_terror|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman,,1,champion,false,false,,,,wh3_dlc26_skill_node_ogr_bragg_the_gutsman_unique_01,wh3_dlc26_ogr_bragg_the_gutsman_head_lopper,Head-Lopper,"Presented with his first blade as a whelp to swing about with wild abandon, Bragg has always shown a great affinity for decapitation.",character_attack.png,0,1,0,0,true,0,1,1,Head-Lopper,"Presented with his first blade as a whelp to swing about with wild abandon, Bragg has always shown a great affinity for decapitation.",,,,,,wh_main_effect_character_stat_melee_attack,Melee attack: %+n,,character_to_character_own,10,both,130,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc26_ogr_bragg_the_gutsman_head_lopper|wh_main_effect_character_stat_melee_attack|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Ogre Kingdoms,ogre_kingdoms,wh3_main_sc_ogr_ogre_kingdoms,Bragg The Gutsman,Bragg_The_Gutsman,hero,wh3_dlc26_ogr_bragg_the_gutsman,champion,champion,wh3_dlc26_ogr_golgfag|wh3_main_ogr_disciples_of_the_maw|wh3_main_ogr_goldtooth,false,true,true,false,false,false,,,wh3_dlc26_skill_node_set_ogr_bragg_the_gutsman,,1,champion,false,false,,,,wh3_dlc26_skill_node_ogr_bragg_the_gutsman_self_0,wh3_main_skill_ogr_self_unstoppable_force,Unstoppable Force,No enemy is immovable when in the path of a furious Ogre's charge.,character_charge.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc26_skill_node_ogr_bragg_the_gutsman_self_0
