record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_main_skv_lord_skrolk
node_set,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_skv_lord_skrolk,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_main_skill_node_set_skv_lord_skrolk
node,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_skv_lord_skrolk,,1,general,false,false,,,,wh2_main_skill_node_skv_lord_skrolk_unique_1,wh2_main_skill_skv_skrolk_unique_loathsome,Loathsome Appearance,The hideous countenance that this one presents is an affront to nature and a true sign of the Great Horned Rat's limitless power.,causes_terror.png,0,1,0,0,true,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_skv_lord_skrolk_unique_1
skill_level,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_skv_lord_skrolk,,1,general,false,false,,,,wh2_main_skill_node_skv_lord_skrolk_unique_1,wh2_main_skill_skv_skrolk_unique_loathsome,Loathsome Appearance,The hideous countenance that this one presents is an affront to nature and a true sign of the Great Horned Rat's limitless power.,causes_terror.png,0,1,0,0,true,5,1,1,Loathsome Appearance,The hideous countenance that this one presents is an affront to nature and a true sign of the Great Horned Rat's limitless power.,5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_skv_skrolk_unique_loathsome|1|||
effect,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_skv_lord_skrolk,,1,general,false,false,,,,wh2_main_skill_node_skv_lord_skrolk_unique_1,wh2_main_skill_skv_skrolk_unique_loathsome,Loathsome Appearance,The hideous countenance that this one presents is an affront to nature and a true sign of the Great Horned Rat's limitless power.,causes_terror.png,0,1,0,0,true,5,1,1,Loathsome Appearance,The hideous countenance that this one presents is an affront to nature and a true sign of the Great Horned Rat's limitless power.,,,,,,wh_main_effect_attribute_enable_causes_terror,Attribute: Causes Terror,,character_to_character_own,1,both,320,true,attribute_causes_terror.png,attribute_causes_terror.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_skv_skrolk_unique_loathsome|wh_main_effect_attribute_enable_causes_terror|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_skv_lord_skrolk,,1,general,false,false,,,,wh2_main_skill_node_skv_lord_skrolk_combat_0,wh2_main_skill_skv_combat_tail_weapon,Tail Weapon,"Whether by attachment or mutation, something nasty and spiky on your tail has got to bring no little advantage in battle.",character_attack.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_skv_lord_skrolk_combat_0
effect,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_skv_lord_skrolk,,1,general,false,false,,,,wh2_main_skill_node_skv_lord_skrolk_combat_0,wh2_main_skill_skv_combat_tail_weapon,Tail Weapon,"Whether by attachment or mutation, something nasty and spiky on your tail has got to bring no little advantage in battle.",character_attack.png,0,2,0,0,true,0,1,1,Tail Weapon,"Whether by attachment or mutation, something nasty and spiky on your tail has got to bring no little advantage in battle.",,,,,,wh_main_effect_character_stat_melee_attack,Melee attack: %+n,,character_to_character_own,3,both,130,true,melee_character.png,melee_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_skv_combat_tail_weapon|wh_main_effect_character_stat_melee_attack|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_skv_lord_skrolk,,1,general,false,false,,,,wh2_main_skill_node_skv_lord_skrolk_combat_0,wh2_main_skill_skv_combat_tail_weapon,Tail Weapon,"Whether by attachment or mutation, something nasty and spiky on your tail has got to bring no little advantage in battle.",character_attack.png,0,2,0,0,true,0,1,1,Tail Weapon,"Whether by attachment or mutation, something nasty and spiky on your tail has got to bring no little advantage in battle.",,,,,,wh_main_effect_character_stat_weapon_strength,Weapon strength: %+n%,,character_to_character_own,4,both,160,true,weapon_damage_character.png,weapon_damage_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_skv_combat_tail_weapon|wh_main_effect_character_stat_weapon_strength|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_skv_lord_skrolk,,1,general,false,false,,,,wh2_main_skill_node_skv_lord_skrolk_magic_0,wh2_main_skill_all_magic_plague_01_pestilent_breath,Pestilent Breath,,wh2_main_spell_plague_pestilent_breath.png,0,3,0,0,true,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_skv_lord_skrolk_magic_0
effect,warhammer_3,8.1.1,24237342,Skaven,skaven,wh2_main_sc_skv_skaven,Lord Skrolk,Lord_Skrolk,legendary_lord,wh2_main_skv_lord_skrolk,general,general,wh2_dlc13_skv_skaven_invasion|wh2_main_skv_clan_pestilens|wh2_main_skv_clan_pestilens_separatists|wh2_main_skv_grey_seer_clan|wh2_main_skv_skaven|wh2_main_skv_skaven_qb1|wh2_main_skv_skaven_qb2|wh2_main_skv_skaven_qb3|wh2_main_skv_skaven_qb4,true,false,true,true,false,true,,legendary_lords,wh2_main_skill_node_set_skv_lord_skrolk,,1,general,false,false,,,,wh2_main_skill_node_skv_lord_skrolk_magic_0,wh2_main_skill_all_magic_plague_01_pestilent_breath,Pestilent Breath,,wh2_main_spell_plague_pestilent_breath.png,0,3,0,0,true,0,2,1,Pestilent Breath,,,,,,,wh2_main_effect_ability_cooldown_pestilent_breath,"Cooldown: %+n% to ""Pestilent Breath""",,character_to_character_own,-30,both,293,false,magic_cooldown.png,magic_cooldown.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_magic_plague_01_pestilent_breath|wh2_main_effect_ability_cooldown_pestilent_breath|1|character_to_character_own
