record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_main_sla_cultist
node_set,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_main_skill_node_set_sla_cultist,,1,dignitary,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_main_skill_node_set_sla_cultist
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_main_skill_node_set_sla_cultist,,1,dignitary,false,false,,,,wh3_main_skill_node_sla_cultist_mount_chaos_steed,wh3_main_skill_sla_cultist_mount_chaos_steed,Chaos Steed,"The dread steeds of Chaos are more than mere horses, but creatures tainted by Daemon blood, said to be gifts from the Dark Gods themselves.",mount_chaos_steed.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_sla_cultist_mount_chaos_steed
skill_level,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_main_skill_node_set_sla_cultist,,1,dignitary,false,false,,,,wh3_main_skill_node_sla_cultist_mount_chaos_steed,wh3_main_skill_sla_cultist_mount_chaos_steed,Chaos Steed,"The dread steeds of Chaos are more than mere horses, but creatures tainted by Daemon blood, said to be gifts from the Dark Gods themselves.",mount_chaos_steed.png,0,0,0,0,true,0,1,1,Chaos Steed,"The dread steeds of Chaos are more than mere horses, but creatures tainted by Daemon blood, said to be gifts from the Dark Gods themselves.",3,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_sla_cultist_mount_chaos_steed|1|||
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_main_skill_node_set_sla_cultist,,1,dignitary,false,false,,,,wh3_main_skill_node_sla_cultist_mount_chaos_steed,wh3_main_skill_sla_cultist_mount_chaos_steed,Chaos Steed,"The dread steeds of Chaos are more than mere horses, but creatures tainted by Daemon blood, said to be gifts from the Dark Gods themselves.",mount_chaos_steed.png,0,0,0,0,true,0,1,1,Chaos Steed,"The dread steeds of Chaos are more than mere horses, but creatures tainted by Daemon blood, said to be gifts from the Dark Gods themselves.",,,,,,wh_main_effect_enable_mount_chaos_steed,Mount: Chaos Steed,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_cultist_mount_chaos_steed|wh_main_effect_enable_mount_chaos_steed|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_main_skill_node_set_sla_cultist,,1,dignitary,false,false,,,,wh3_main_skill_node_sla_cultist_mount_chaos_steed,wh3_main_skill_sla_cultist_mount_chaos_steed,Chaos Steed,"The dread steeds of Chaos are more than mere horses, but creatures tainted by Daemon blood, said to be gifts from the Dark Gods themselves.",mount_chaos_steed.png,0,0,0,0,true,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_main_anc_mount_sla_cultist_chaos_steed,Chaos Steed,wh_main_anc_mount_chaos_steed,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh3_main_skill_sla_cultist_mount_chaos_steed|wh3_main_anc_mount_sla_cultist_chaos_steed|1
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_main_skill_node_set_sla_cultist,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_sla_cultist_personal_1,wh3_dlc27_skill_sla_cultist_personal_1,Mistress of Disciples,"To those who fight and those who feed Slaanesh's desire for excess, a powerful mistress is the closest they can get to the Dark Prince's presence.",campaign_devotees.png,0,1,0,0,true,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_sla_cultist_personal_1
skill_level,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_main_skill_node_set_sla_cultist,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_sla_cultist_personal_1,wh3_dlc27_skill_sla_cultist_personal_1,Mistress of Disciples,"To those who fight and those who feed Slaanesh's desire for excess, a powerful mistress is the closest they can get to the Dark Prince's presence.",campaign_devotees.png,0,1,0,0,true,11,1,1,Mistress of Disciples,"To those who fight and those who feed Slaanesh's desire for excess, a powerful mistress is the closest they can get to the Dark Prince's presence.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_sla_cultist_personal_1|1|||
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_main_skill_node_set_sla_cultist,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_sla_cultist_personal_1,wh3_dlc27_skill_sla_cultist_personal_1,Mistress of Disciples,"To those who fight and those who feed Slaanesh's desire for excess, a powerful mistress is the closest they can get to the Dark Prince's presence.",campaign_devotees.png,0,1,0,0,true,11,1,1,Mistress of Disciples,"To those who fight and those who feed Slaanesh's desire for excess, a powerful mistress is the closest they can get to the Dark Prince's presence.",,,,,,wh_main_effect_economy_gdp_mod_all,Income from all buildings: %+n%,,character_to_region_own,6,campaign,162,true,income.png,income.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_cultist_personal_1|wh_main_effect_economy_gdp_mod_all|1|character_to_region_own
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Cultist of Slaanesh,Cultist_of_Slaanesh,hero,wh3_main_sla_cultist,dignitary,dignitary,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_main_skill_node_set_sla_cultist,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_sla_cultist_personal_1,wh3_dlc27_skill_sla_cultist_personal_1,Mistress of Disciples,"To those who fight and those who feed Slaanesh's desire for excess, a powerful mistress is the closest they can get to the Dark Prince's presence.",campaign_devotees.png,0,1,0,0,true,11,1,1,Mistress of Disciples,"To those who fight and those who feed Slaanesh's desire for excess, a powerful mistress is the closest they can get to the Dark Prince's presence.",,,,,,wh_main_effect_force_stat_leadership_enemy_unit,Enemy leadership: %+n,,character_to_force_enemy_provincewide,-3,battle,411,false,morale.png,morale.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_cultist_personal_1|wh_main_effect_force_stat_leadership_enemy_unit|1|character_to_force_enemy_provincewide
