record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc27_sla_druchii_anointed
node_set,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_dlc27_sla_druchii_anointed,,1,runesmith,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc27_sla_druchii_anointed
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_dlc27_sla_druchii_anointed,,1,runesmith,false,false,,,,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7,wh3_dlc27_skill_sla_druchii_anointed_unique_7,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",wh_main_unit_passive_frenzy.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7
skill_level,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_dlc27_sla_druchii_anointed,,1,runesmith,false,false,,,,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7,wh3_dlc27_skill_sla_druchii_anointed_unique_7,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",wh_main_unit_passive_frenzy.png,0,1,0,0,true,0,1,1,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",13,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_sla_druchii_anointed_unique_7|1|||
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_dlc27_sla_druchii_anointed,,1,runesmith,false,false,,,,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7,wh3_dlc27_skill_sla_druchii_anointed_unique_7,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",wh_main_unit_passive_frenzy.png,0,1,0,0,true,0,1,1,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",,,,,,wh_main_effect_force_stat_vigour_loss_reduction,Vigour loss reduction: %+n%,,character_to_character_own,-33,battle,101,false,vigour.png,vigour.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_druchii_anointed_unique_7|wh_main_effect_force_stat_vigour_loss_reduction|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_dlc27_sla_druchii_anointed,,1,runesmith,false,false,,,,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7,wh3_dlc27_skill_sla_druchii_anointed_unique_7,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",wh_main_unit_passive_frenzy.png,0,1,0,0,true,0,1,1,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",,,,,,wh3_dlc27_effect_enable_frenzy_sla_devotees,"Passive ability: ""Frenzy"" for Devotees of Slaanesh units",,agent_to_parent_army_own,1,campaign,101,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_druchii_anointed_unique_7|wh3_dlc27_effect_enable_frenzy_sla_devotees|1|agent_to_parent_army_own
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_dlc27_sla_druchii_anointed,,1,runesmith,false,false,,,,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7,wh3_dlc27_skill_sla_druchii_anointed_unique_7,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",wh_main_unit_passive_frenzy.png,0,1,0,0,true,0,1,1,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",,,,,,wh3_dlc27_effect_enable_murderous_euphoria,"Passive ability: ""Murderous Euphoria""",,character_to_character_own,1,campaign,101,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_druchii_anointed_unique_7|wh3_dlc27_effect_enable_murderous_euphoria|1|character_to_character_own
skill_lock,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_dlc27_sla_druchii_anointed,,1,runesmith,false,false,,,,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7,wh3_dlc27_skill_sla_druchii_anointed_unique_7,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",wh_main_unit_passive_frenzy.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc27_skill_sla_druchii_anointed_unique_8,The Umbral Pall,1,,,,,,,,character_skill_nodes_skill_locks_tables,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7|wh3_dlc27_skill_sla_druchii_anointed_unique_8|1
skill_lock,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_dlc27_sla_druchii_anointed,,1,runesmith,false,false,,,,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7,wh3_dlc27_skill_sla_druchii_anointed_unique_7,Devoted Murderers,"A single-minded, almost paradoxically ascetic devotion to the Dark Prince is the hallmark of the Druchii Anointed.",wh_main_unit_passive_frenzy.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc27_skill_sla_druchii_anointed_unique_9,Banished One,1,,,,,,,,character_skill_nodes_skill_locks_tables,wh3_dlc27_skill_node_sla_druchii_anointed_unique_7|wh3_dlc27_skill_sla_druchii_anointed_unique_9|1
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Druchii Anointed,Druchii_Anointed,hero,wh3_dlc27_sla_druchii_anointed,runesmith,runesmith,wh2_main_def_cult_of_pleasure|wh3_dlc20_sla_keepers_of_bliss|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_subtle_torture,false,false,true,true,true,false,,,wh3_dlc27_sla_druchii_anointed,,1,runesmith,false,false,,,,wh3_dlc27_skill_node_sla_druchii_anointed_magic_starter,wh3_dlc27_skill_sla_druchii_anointed_unique_1,Dark Knowledge,The Druchii Anointed possess none of other mortals' loathing towards Chaos magic or fear for how it may twist them.,character_magic.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_sla_druchii_anointed_magic_starter
