record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_main_sla_exalted_keeper_of_secrets_shadow
node_set,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow,,1,general,false,false,,,,wh3_main_skill_node_sla_exalted_keeper_of_secrets_shadow_unique_0,wh3_main_skill_sla_exalted_keeper_of_secrets_unique_feasting_on_fear,Feasting on Fear,,wh3_main_lord_passive_feasting_on_fear.png,0,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_node_sla_exalted_keeper_of_secrets_shadow_unique_0
skill_level,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow,,1,general,false,false,,,,wh3_main_skill_node_sla_exalted_keeper_of_secrets_shadow_unique_0,wh3_main_skill_sla_exalted_keeper_of_secrets_unique_feasting_on_fear,Feasting on Fear,,wh3_main_lord_passive_feasting_on_fear.png,0,0,0,0,true,0,1,1,Feasting on Fear,,5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_sla_exalted_keeper_of_secrets_unique_feasting_on_fear|1|||
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow,,1,general,false,false,,,,wh3_main_skill_node_sla_exalted_keeper_of_secrets_shadow_unique_0,wh3_main_skill_sla_exalted_keeper_of_secrets_unique_feasting_on_fear,Feasting on Fear,,wh3_main_lord_passive_feasting_on_fear.png,0,0,0,0,true,0,1,1,Feasting on Fear,,,,,,,wh3_main_effect_ability_enable_feasting_on_fear,"Passive ability: ""Feasting on Fear""",,character_to_character_own,1,battle,310,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_exalted_keeper_of_secrets_unique_feasting_on_fear|wh3_main_effect_ability_enable_feasting_on_fear|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_exalted_keeper_of_secrets_shadow_personal_1,wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_1,The Secret to Excess,"A secret closely kept: Slaanesh's warriors need not tire, nor stop. It is up to a Keeper to disclose it or conceal it, as whim dictates.",wh2_skill_perfect_vigour.png,0,1,0,0,true,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_sla_exalted_keeper_of_secrets_shadow_personal_1
skill_level,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_exalted_keeper_of_secrets_shadow_personal_1,wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_1,The Secret to Excess,"A secret closely kept: Slaanesh's warriors need not tire, nor stop. It is up to a Keeper to disclose it or conceal it, as whim dictates.",wh2_skill_perfect_vigour.png,0,1,0,0,true,5,1,1,The Secret to Excess,"A secret closely kept: Slaanesh's warriors need not tire, nor stop. It is up to a Keeper to disclose it or conceal it, as whim dictates.",5,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_1|1|||
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_exalted_keeper_of_secrets_shadow_personal_1,wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_1,The Secret to Excess,"A secret closely kept: Slaanesh's warriors need not tire, nor stop. It is up to a Keeper to disclose it or conceal it, as whim dictates.",wh2_skill_perfect_vigour.png,0,1,0,0,true,5,1,1,The Secret to Excess,"A secret closely kept: Slaanesh's warriors need not tire, nor stop. It is up to a Keeper to disclose it or conceal it, as whim dictates.",,,,,,wh_main_effect_force_stat_charge_bonus_pct,Charge bonus: %+n%,,general_to_force_own,12,battle,500,true,charge.png,charge.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_1|wh_main_effect_force_stat_charge_bonus_pct|1|general_to_force_own
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_exalted_keeper_of_secrets_shadow_personal_1,wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_1,The Secret to Excess,"A secret closely kept: Slaanesh's warriors need not tire, nor stop. It is up to a Keeper to disclose it or conceal it, as whim dictates.",wh2_skill_perfect_vigour.png,0,1,0,0,true,5,1,1,The Secret to Excess,"A secret closely kept: Slaanesh's warriors need not tire, nor stop. It is up to a Keeper to disclose it or conceal it, as whim dictates.",,,,,,wh2_dlc10_effect_attribute_enable_perfect_vigour,Attribute: Perfect Vigour,,general_to_force_own,1,both,320,true,attribute_fatigue_immune.png,attribute_fatigue_immune.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_1|wh2_dlc10_effect_attribute_enable_perfect_vigour|1|general_to_force_own
skill_lock,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,Exalted Keeper of Secrets (Shadows),Exalted_Keeper_of_Secrets_Shadows,lord,wh3_main_sla_exalted_keeper_of_secrets_shadow,general,general,wh3_dlc20_sla_keepers_of_bliss|wh3_dlc25_sla_slaanesh_invasion|wh3_dlc27_sla_masque_of_slaanesh|wh3_dlc27_sla_the_tormentors|wh3_main_sla_exquisite_pain|wh3_main_sla_rapturous_excess|wh3_main_sla_seducers_of_slaanesh|wh3_main_sla_slaanesh_qb1|wh3_main_sla_slaanesh_rebels|wh3_main_sla_subtle_torture,false,false,true,true,false,true,wh_dlc05_lore_shadows,wh3_main_sla_exalted_keeper_of_secrets,wh3_main_skill_node_set_sla_exalted_keeper_of_secrets_shadow,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_exalted_keeper_of_secrets_shadow_personal_1,wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_1,The Secret to Excess,"A secret closely kept: Slaanesh's warriors need not tire, nor stop. It is up to a Keeper to disclose it or conceal it, as whim dictates.",wh2_skill_perfect_vigour.png,0,1,0,0,true,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_2,An Artful Purpose,1,,,,,,,,character_skill_nodes_skill_locks_tables,wh3_dlc27_skill_node_sla_exalted_keeper_of_secrets_shadow_personal_1|wh3_dlc27_skill_sla_exalted_keeper_of_secrets_shared_army_2|1
