record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh3_dlc27_sla_masque_of_slaanesh
node_set,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_sla_the_masque,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh3_dlc27_skill_node_set_sla_the_masque
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_sla_the_masque,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_masque_unique_1,wh3_dlc27_skill_sla_masque_unique_1,Chanson of Caging,"A tantalising snippet of a song no one else can hear... An enticing movement just out of the corner of one eye… What was I meant to be doing, again?...",wh3_dlc27_lord_abilities_chanson_of_caging.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_sla_masque_unique_1
skill_level,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_sla_the_masque,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_masque_unique_1,wh3_dlc27_skill_sla_masque_unique_1,Chanson of Caging,"A tantalising snippet of a song no one else can hear... An enticing movement just out of the corner of one eye… What was I meant to be doing, again?...",wh3_dlc27_lord_abilities_chanson_of_caging.png,0,1,0,0,true,0,1,1,Chanson of Caging,"A tantalising snippet of a song no one else can hear... An enticing movement just out of the corner of one eye… What was I meant to be doing, again?...",11,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_sla_masque_unique_1|1|||
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_sla_the_masque,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_masque_unique_1,wh3_dlc27_skill_sla_masque_unique_1,Chanson of Caging,"A tantalising snippet of a song no one else can hear... An enticing movement just out of the corner of one eye… What was I meant to be doing, again?...",wh3_dlc27_lord_abilities_chanson_of_caging.png,0,1,0,0,true,0,1,1,Chanson of Caging,"A tantalising snippet of a song no one else can hear... An enticing movement just out of the corner of one eye… What was I meant to be doing, again?...",,,,,,wh_main_effect_force_all_campaign_movement_range_bad,Campaign movement range: %+n%,{{tr:campaign_movement_range_additional_tooltip}},character_to_force_enemy_provincewide,-15,campaign,1,false,campaign_movement.png,campaign_movement.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_masque_unique_1|wh_main_effect_force_all_campaign_movement_range_bad|1|character_to_force_enemy_provincewide
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_sla_the_masque,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_masque_unique_1,wh3_dlc27_skill_sla_masque_unique_1,Chanson of Caging,"A tantalising snippet of a song no one else can hear... An enticing movement just out of the corner of one eye… What was I meant to be doing, again?...",wh3_dlc27_lord_abilities_chanson_of_caging.png,0,1,0,0,true,0,1,1,Chanson of Caging,"A tantalising snippet of a song no one else can hear... An enticing movement just out of the corner of one eye… What was I meant to be doing, again?...",,,,,,wh_main_effect_force_all_campaign_replenishment_rate,Casualty replenishment rate: %+n%,{{tr:replenishment_additional_tooltip}},general_to_force_own,3,campaign,101,true,replenishment.png,replenishment.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_masque_unique_1|wh_main_effect_force_all_campaign_replenishment_rate|1|general_to_force_own
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_sla_the_masque,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_masque_unique_1,wh3_dlc27_skill_sla_masque_unique_1,Chanson of Caging,"A tantalising snippet of a song no one else can hear... An enticing movement just out of the corner of one eye… What was I meant to be doing, again?...",wh3_dlc27_lord_abilities_chanson_of_caging.png,0,1,0,0,true,0,1,1,Chanson of Caging,"A tantalising snippet of a song no one else can hear... An enticing movement just out of the corner of one eye… What was I meant to be doing, again?...",,,,,,wh3_dlc27_effect_ability_chanson_of_caging,"Ability: ""Chanson of Caging""",,character_to_character_own,1,battle,270,true,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_sla_masque_unique_1|wh3_dlc27_effect_ability_chanson_of_caging|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_sla_the_masque,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_masque_combat_0,wh3_main_skill_sla_all_combat_speed,Rapid Ruination,"Swift flashes of an agile form and razor-sharp blades are all this Daemon Lord's victims see of him, but by then it's already far, far too late.",character_speed.png,0,2,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_sla_masque_combat_0
effect,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_sla_the_masque,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_masque_combat_0,wh3_main_skill_sla_all_combat_speed,Rapid Ruination,"Swift flashes of an agile form and razor-sharp blades are all this Daemon Lord's victims see of him, but by then it's already far, far too late.",character_speed.png,0,2,0,0,true,0,1,1,Rapid Ruination,"Swift flashes of an agile form and razor-sharp blades are all this Daemon Lord's victims see of him, but by then it's already far, far too late.",,,,,,wh_main_effect_character_stat_speed,Speed: %+n%,,character_to_character_own,12,both,120,true,battle_movement_character.png,battle_movement_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_sla_all_combat_speed|wh_main_effect_character_stat_speed|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Slaanesh,slaanesh,wh3_main_sc_sla_slaanesh,The Masque of Slaanesh,The_Masque_of_Slaanesh,legendary_lord,wh3_dlc27_sla_masque_of_slaanesh,general,general,wh3_dlc27_sla_masque_of_slaanesh,true,false,true,true,false,false,,legendary_lords,wh3_dlc27_skill_node_set_sla_the_masque,,1,general,false,false,,,,wh3_dlc27_skill_node_sla_masque_army_0,wh_main_skill_all_lord_battle_inspiring_presence,Inspiring Presence,"There are Lords that radiate power, confidence and fear, inspiring their followers to great or terrible acts.",battle_morale.png,0,4,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_sla_masque_army_0
