record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc09_tmb_khatep
node_set,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,wh2_dlc09_skill_node_set_tmb_khatep,,1,general,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc09_skill_node_set_tmb_khatep
node,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,wh2_dlc09_skill_node_set_tmb_khatep,,1,general,false,false,,,,wh2_dlc09_skill_tmb_khatep_god_blessing_1,wh2_dlc09_skill_tmb_god_blessing_1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",wh2_dlc09_geheb.png,0,0,0,0,true,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc09_skill_tmb_khatep_god_blessing_1
skill_level,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,wh2_dlc09_skill_node_set_tmb_khatep,,1,general,false,false,,,,wh2_dlc09_skill_tmb_khatep_god_blessing_1,wh2_dlc09_skill_tmb_god_blessing_1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",wh2_dlc09_geheb.png,0,0,0,0,true,9,1,1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc09_skill_tmb_god_blessing_1|1|||
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,wh2_dlc09_skill_node_set_tmb_khatep,,1,general,false,false,,,,wh2_dlc09_skill_tmb_khatep_god_blessing_1,wh2_dlc09_skill_tmb_god_blessing_1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",wh2_dlc09_geheb.png,0,0,0,0,true,9,1,1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",,,,,,wh_main_effect_force_army_campaign_attrition_all_resistance,Attrition: %+n% casualties suffered from all attrition,,general_to_force_own,-25,campaign,100,false,attrition.png,attrition.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc09_skill_tmb_god_blessing_1|wh_main_effect_force_army_campaign_attrition_all_resistance|1|general_to_force_own
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,wh2_dlc09_skill_node_set_tmb_khatep,,1,general,false,false,,,,wh2_dlc09_skill_tmb_khatep_god_blessing_1,wh2_dlc09_skill_tmb_god_blessing_1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",wh2_dlc09_geheb.png,0,0,0,0,true,9,1,1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",,,,,,wh2_dlc09_effect_force_stat_melee_attack_ushabti_bow,Melee attack: %+n for Ushabti and Ushabti (Great Bows) units,,general_to_force_own,5,battle,431,true,melee.png,melee.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc09_skill_tmb_god_blessing_1|wh2_dlc09_effect_force_stat_melee_attack_ushabti_bow|1|general_to_force_own
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,wh2_dlc09_skill_node_set_tmb_khatep,,1,general,false,false,,,,wh2_dlc09_skill_tmb_khatep_god_blessing_1,wh2_dlc09_skill_tmb_god_blessing_1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",wh2_dlc09_geheb.png,0,0,0,0,true,9,1,1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",,,,,,wh2_dlc09_effect_force_stat_melee_defence_tmb_ushabti_bow,Melee defence: %+n for Ushabti and Ushabti (Great Bows) units,,general_to_force_own,5,battle,451,true,defence.png,defence.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc09_skill_tmb_god_blessing_1|wh2_dlc09_effect_force_stat_melee_defence_tmb_ushabti_bow|1|general_to_force_own
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,wh2_dlc09_skill_node_set_tmb_khatep,,1,general,false,false,,,,wh2_dlc09_skill_tmb_khatep_god_blessing_1,wh2_dlc09_skill_tmb_god_blessing_1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",wh2_dlc09_geheb.png,0,0,0,0,true,9,1,1,Geheb the God of Earth,"They stand staring into the sun for eternity, the physical embodiment of the everlasting gods. Terrible ye who looked into their divine forms!",,,,,,wh2_dlc09_effect_unit_xp_levels_tmb_ushabti,Recruit rank: %+n for Ushabti units,,general_to_force_own,2,campaign,120,true,experience.png,experience.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc09_skill_tmb_god_blessing_1|wh2_dlc09_effect_unit_xp_levels_tmb_ushabti|1|general_to_force_own
node,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,wh2_dlc09_skill_node_set_tmb_khatep,,1,general,false,false,,,,wh2_dlc09_skill_tmb_khatep_unique_0,wh2_dlc09_skill_tmb_khatep_unique_0,Reanimator,"Killed him? No, I did not - I gave him life!",character_morale.png,0,1,0,0,true,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc09_skill_tmb_khatep_unique_0
skill_level,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Grand Hierophant Khatep,Grand_Hierophant_Khatep,legendary_lord,wh2_dlc09_tmb_khatep,general,general,wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_tomb_kings,true,false,true,true,false,true,,legendary_lords,wh2_dlc09_skill_node_set_tmb_khatep,,1,general,false,false,,,,wh2_dlc09_skill_tmb_khatep_unique_0,wh2_dlc09_skill_tmb_khatep_unique_0,Reanimator,"Killed him? No, I did not - I gave him life!",character_morale.png,0,1,0,0,true,9,1,1,Reanimator,"Killed him? No, I did not - I gave him life!",7,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc09_skill_tmb_khatep_unique_0|1|||
