record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
character,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agent_subtypes_tables,wh2_dlc09_tmb_liche_priest_light
node_set,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,wh2_dlc09_skill_node_set_tmb_liche_priest_light,,1,wizard,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_node_sets_tables,wh2_dlc09_skill_node_set_tmb_liche_priest_light
node,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,wh2_dlc09_skill_node_set_tmb_liche_priest_light,,1,wizard,false,false,,,,wh2_dlc09_skill_tmb_liche_priest_light_mount_0,wh2_dlc09_skill_tmb_wizard_unique_liche_priest_light_skeletal_steed,Skeletal Steed,"Long-dead destriers, awakened to serve their Unliving masters far beyond death.",mount_skeletal_steed_tmb.png,0,0,0,0,true,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc09_skill_tmb_liche_priest_light_mount_0
skill_level,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,wh2_dlc09_skill_node_set_tmb_liche_priest_light,,1,wizard,false,false,,,,wh2_dlc09_skill_tmb_liche_priest_light_mount_0,wh2_dlc09_skill_tmb_wizard_unique_liche_priest_light_skeletal_steed,Skeletal Steed,"Long-dead destriers, awakened to serve their Unliving masters far beyond death.",mount_skeletal_steed_tmb.png,0,0,0,0,true,6,1,1,Skeletal Steed,"Long-dead destriers, awakened to serve their Unliving masters far beyond death.",6,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_dlc09_skill_tmb_wizard_unique_liche_priest_light_skeletal_steed|1|||
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,wh2_dlc09_skill_node_set_tmb_liche_priest_light,,1,wizard,false,false,,,,wh2_dlc09_skill_tmb_liche_priest_light_mount_0,wh2_dlc09_skill_tmb_wizard_unique_liche_priest_light_skeletal_steed,Skeletal Steed,"Long-dead destriers, awakened to serve their Unliving masters far beyond death.",mount_skeletal_steed_tmb.png,0,0,0,0,true,6,1,1,Skeletal Steed,"Long-dead destriers, awakened to serve their Unliving masters far beyond death.",,,,,,wh_main_effect_enable_mount_skeletal_steed,Mount: Skeletal Steed,,character_to_character_own,1,both,50,true,mount.png,mount.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_dlc09_skill_tmb_wizard_unique_liche_priest_light_skeletal_steed|wh_main_effect_enable_mount_skeletal_steed|1|character_to_character_own
ancillary_grant,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,wh2_dlc09_skill_node_set_tmb_liche_priest_light,,1,wizard,false,false,,,,wh2_dlc09_skill_tmb_liche_priest_light_mount_0,wh2_dlc09_skill_tmb_wizard_unique_liche_priest_light_skeletal_steed,Skeletal Steed,"Long-dead destriers, awakened to serve their Unliving masters far beyond death.",mount_skeletal_steed_tmb.png,0,0,0,0,true,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh2_dlc09_anc_mount_tmb_liche_priest_light_skeletal_steed,Skeletal Steed,wh2_dlc09_anc_mount_skeleton_steed_tmb,mount,,,,character_skill_level_to_ancillaries_junctions_tables,wh2_dlc09_skill_tmb_wizard_unique_liche_priest_light_skeletal_steed|wh2_dlc09_anc_mount_tmb_liche_priest_light_skeletal_steed|1
node,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,wh2_dlc09_skill_node_set_tmb_liche_priest_light,,1,wizard,false,false,,,,wh3_main_skill_tmb_liche_priest_light_channelling,wh3_main_skill_tmb_liche_priest_light,Conflagrant Invocation,"Blistering in their intensity, invocations of the Sun God sear blinding visions of the Great Land's restored splendour – just as Ptra ordained.",character_magic.png,0,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_main_skill_tmb_liche_priest_light_channelling
skill_level,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,wh2_dlc09_skill_node_set_tmb_liche_priest_light,,1,wizard,false,false,,,,wh3_main_skill_tmb_liche_priest_light_channelling,wh3_main_skill_tmb_liche_priest_light,Conflagrant Invocation,"Blistering in their intensity, invocations of the Sun God sear blinding visions of the Great Land's restored splendour – just as Ptra ordained.",character_magic.png,0,1,0,0,true,0,1,1,Conflagrant Invocation,"Blistering in their intensity, invocations of the Sun God sear blinding visions of the Great Land's restored splendour – just as Ptra ordained.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_tmb_liche_priest_light|1|||
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,wh2_dlc09_skill_node_set_tmb_liche_priest_light,,1,wizard,false,false,,,,wh3_main_skill_tmb_liche_priest_light_channelling,wh3_main_skill_tmb_liche_priest_light,Conflagrant Invocation,"Blistering in their intensity, invocations of the Sun God sear blinding visions of the Great Land's restored splendour – just as Ptra ordained.",character_magic.png,0,1,0,0,true,0,1,1,Conflagrant Invocation,"Blistering in their intensity, invocations of the Sun God sear blinding visions of the Great Land's restored splendour – just as Ptra ordained.",,,,,,wh_main_effect_character_stat_miscast,Miscast base chance: %+n%,,character_to_character_own,-15,battle,298,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_tmb_liche_priest_light|wh_main_effect_character_stat_miscast|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Tomb Kings,tomb_kings,wh2_dlc09_sc_tmb_tomb_kings,Liche Priest (Light),Liche_Priest_Light,hero,wh2_dlc09_tmb_liche_priest_light,wizard,wizard,wh2_dlc09_tmb_dune_kingdoms|wh2_dlc09_tmb_exiles_of_nehek|wh2_dlc09_tmb_followers_of_nagash|wh2_dlc09_tmb_khemri|wh2_dlc09_tmb_lybaras|wh2_dlc09_tmb_numas|wh2_dlc09_tmb_rakaph_dynasty|wh2_dlc09_tmb_the_sentinels|wh2_dlc09_tmb_tomb_kings|wh2_dlc09_tmb_tomb_kings_rebels|wh3_main_tmb_deserters_of_khatep,false,false,true,true,true,true,,,wh2_dlc09_skill_node_set_tmb_liche_priest_light,,1,wizard,false,false,,,,wh3_main_skill_tmb_liche_priest_light_channelling,wh3_main_skill_tmb_liche_priest_light,Conflagrant Invocation,"Blistering in their intensity, invocations of the Sun God sear blinding visions of the Great Land's restored splendour – just as Ptra ordained.",character_magic.png,0,1,0,0,true,0,1,1,Conflagrant Invocation,"Blistering in their intensity, invocations of the Sun God sear blinding visions of the Great Land's restored splendour – just as Ptra ordained.",,,,,,wh3_main_effect_ability_cooldown_lore_of_light,Cooldown: %+n% to Lore of Light spells,,character_to_character_own,-10,both,293,false,magic_character.png,magic_cooldown_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_tmb_liche_priest_light|wh3_main_effect_ability_cooldown_lore_of_light|1|character_to_character_own
